Fold,Label,Prob,Preds
1,1,0.5686571,1
1,1,0.6174952,1
1,1,0.57875764,1
1,1,0.6015986,1
1,1,0.6416564,1
1,1,0.64257824,1
1,1,0.5915033,1
1,1,0.5148703,1
1,1,0.6114626,1
1,1,0.6228962,1
1,1,0.5186288,1
1,1,0.571966,1
1,1,0.5524457,1
1,1,0.6560329,1
1,1,0.59946185,1
1,1,0.6006642,1
1,1,0.6069838,1
1,1,0.6896178,1
1,1,0.7713728,1
1,1,0.6305543,1
1,1,0.6206718,1
1,1,0.67036027,1
1,1,0.62620056,1
1,1,0.54148215,1
1,1,0.6320493,1
1,1,0.6736969,1
1,1,0.6062973,1
1,1,0.6949693,1
1,1,0.754297,1
1,1,0.6844941,1
1,1,0.7009597,1
1,1,0.63115513,1
1,1,0.6527503,1
1,1,0.6927131,1
1,1,0.65396106,1
1,1,0.6963558,1
1,1,0.4510776,0
1,1,0.51566905,1
1,1,0.40778556,0
1,1,0.54722375,1
1,1,0.46270302,0
1,1,0.56002223,1
1,1,0.56948495,1
1,1,0.5636331,1
1,1,0.5885287,1
1,1,0.6486235,1
1,1,0.6354249,1
1,1,0.68811166,1
1,1,0.5407551,1
1,1,0.5199392,1
1,1,0.4838705,0
1,1,0.5602778,1
1,0,0.5971109,1
1,0,0.46016532,0
1,0,0.49664965,0
1,0,0.54474807,1
1,0,0.55537754,1
1,0,0.5069922,1
1,0,0.5359627,1
1,0,0.6472687,1
1,0,0.61073697,1
1,0,0.5941325,1
1,0,0.5687236,1
1,0,0.4613639,0
1,1,0.48332453,0
1,1,0.54744816,1
1,1,0.49172008,0
1,1,0.4524437,0
1,1,0.4975387,0
1,1,0.4377914,0
1,1,0.46098915,0
1,1,0.5327517,1
1,1,0.5957459,1
1,1,0.5576686,1
1,1,0.53480726,1
1,1,0.62795925,1
1,1,0.7108881,1
1,1,0.71073973,1
1,1,0.68070763,1
1,1,0.7534387,1
1,1,0.72789747,1
1,1,0.7153149,1
1,1,0.7360207,1
1,1,0.7534985,1
1,1,0.70240617,1
1,0,0.743165,1
1,0,0.6996233,1
1,0,0.70850825,1
1,0,0.73788565,1
1,0,0.7249529,1
1,0,0.73389983,1
1,0,0.7201539,1
1,0,0.7517739,1
1,0,0.7291684,1
1,0,0.7814499,1
1,0,0.6402389,1
1,1,0.7398168,1
1,1,0.7273173,1
1,1,0.7042693,1
1,1,0.7535357,1
1,1,0.7956192,1
1,0,0.7425387,1
1,0,0.71517456,1
1,0,0.7551539,1
1,0,0.7075689,1
1,0,0.59107804,1
1,0,0.6731393,1
1,0,0.71226484,1
1,0,0.6754427,1
1,0,0.6796344,1
1,0,0.6943214,1
1,0,0.7747338,1
1,0,0.7496814,1
1,0,0.73013484,1
1,0,0.7373034,1
1,0,0.73911476,1
1,0,0.7353631,1
1,0,0.7156756,1
1,0,0.59859353,1
1,0,0.65929466,1
1,0,0.664915,1
1,0,0.6128908,1
1,0,0.6058306,1
1,0,0.55132705,1
1,1,0.63931936,1
1,1,0.6555994,1
1,1,0.62764776,1
1,1,0.7620014,1
1,1,0.70762736,1
1,1,0.78980166,1
1,1,0.7408622,1
1,1,0.7744039,1
1,1,0.7680854,1
1,0,0.7593514,1
1,0,0.7497785,1
1,0,0.7120359,1
1,0,0.7807754,1
1,0,0.7022573,1
1,0,0.6935577,1
1,0,0.6837199,1
1,0,0.6918465,1
1,0,0.6491879,1
1,0,0.6944075,1
1,0,0.70663464,1
1,0,0.70140356,1
1,0,0.6925797,1
1,0,0.69506717,1
1,0,0.64360803,1
1,0,0.63089603,1
1,0,0.692997,1
1,0,0.6770179,1
1,0,0.6636303,1
1,0,0.68387437,1
1,0,0.69845504,1
1,0,0.7000592,1
1,0,0.73992527,1
1,0,0.7369619,1
1,0,0.7734925,1
1,0,0.7415089,1
1,0,0.752193,1
1,0,0.7378929,1
1,0,0.73450327,1
1,0,0.75833625,1
1,0,0.73568857,1
1,0,0.74143285,1
1,0,0.7640726,1
1,0,0.77260286,1
1,0,0.8173112,1
1,0,0.75193745,1
1,0,0.7566479,1
1,0,0.7512537,1
1,1,0.6972488,1
1,1,0.6768771,1
1,1,0.61128974,1
1,1,0.57625645,1
1,1,0.6255077,1
1,1,0.62569094,1
1,1,0.6234497,1
1,1,0.6646798,1
1,1,0.5974016,1
1,0,0.6623486,1
1,0,0.65583795,1
1,0,0.61674654,1
1,0,0.65017784,1
1,0,0.6317823,1
1,0,0.69140303,1
1,0,0.6572991,1
1,0,0.7092239,1
1,0,0.67744863,1
1,0,0.7450846,1
1,0,0.69705737,1
1,0,0.68167907,1
1,0,0.5596457,1
1,0,0.48226073,0
1,0,0.5310597,1
1,0,0.574291,1
