Fold,Label,Prob,Preds
1,0,0.91969997,1
1,0,0.9672115,1
1,0,0.8535405,1
1,0,0.76876837,1
1,0,0.87249196,1
1,0,0.8191347,1
1,0,0.717002,1
1,0,0.7301141,1
1,0,0.79350233,1
1,0,0.8010651,1
1,0,0.72970307,1
1,0,0.82100195,1
1,0,0.7169747,1
1,0,0.7055052,1
1,0,0.85535973,1
1,0,0.8008824,1
1,0,0.84761524,1
1,0,0.78148603,1
1,0,0.7239622,1
1,0,0.81043154,1
1,0,0.81770885,1
1,0,0.8702455,1
1,0,0.7003656,1
1,0,0.8140625,1
1,0,0.71369517,1
1,0,0.8804809,1
1,0,0.84733784,1
1,0,0.340956,0
1,0,0.4015666,0
1,0,0.42049107,0
1,0,0.13181664,0
1,0,0.82254946,1
1,0,0.441464,0
1,0,0.96335196,1
1,0,0.94140416,1
1,0,0.96524787,1
1,0,0.9255774,1
1,0,0.9978453,1
1,0,0.95374316,1
1,0,0.9709995,1
1,0,0.9761297,1
1,0,0.95384943,1
1,0,0.966113,1
1,0,0.8718773,1
1,0,0.76391214,1
1,0,0.21646334,0
1,0,0.761527,1
1,0,0.7488735,1
1,0,0.06303665,0
1,0,0.16594185,0
1,0,0.9760147,1
1,0,0.8304552,1
1,0,0.35426927,0
1,0,0.6041269,1
1,0,0.7263389,1
1,0,0.69640857,1
1,0,0.8284756,1
1,0,0.5534146,1
1,0,0.92246735,1
1,0,0.13370274,0
1,0,0.20670134,0
1,0,0.17772277,0
1,0,0.05562048,0
1,0,0.11588443,0
1,0,0.07095986,0
1,0,0.010721721,0
1,0,0.010001024,0
1,0,0.13981065,0
1,0,0.022994934,0
1,0,0.78947234,1
1,0,0.76010287,1
1,0,0.61219966,1
1,0,0.67455876,1
1,0,0.74591875,1
1,0,0.61817694,1
1,0,0.5434462,1
1,0,0.7631638,1
1,0,0.8349453,1
1,0,0.7028164,1
1,0,0.68309516,1
1,0,0.6701536,1
1,0,0.81017274,1
1,0,0.4660114,0
1,0,0.74456984,1
1,0,0.6035355,1
1,0,0.7472682,1
1,0,0.29701516,0
1,0,0.84917456,1
1,0,0.9470349,1
1,0,0.9429161,1
1,0,0.96461564,1
1,0,0.99458116,1
1,0,0.9959026,1
1,0,0.98417354,1
1,0,0.9438825,1
1,0,0.99551386,1
1,0,0.93240476,1
1,0,0.9694179,1
1,0,0.9446003,1
1,0,0.83806205,1
1,0,0.88041025,1
1,0,0.9904751,1
1,0,0.9718554,1
1,0,0.9970024,1
1,0,0.99068767,1
1,0,0.9947655,1
1,0,0.89238954,1
1,0,0.99502987,1
1,0,0.96918654,1
1,0,0.9346377,1
1,0,0.9712695,1
1,0,0.9697085,1
1,0,0.753211,1
1,0,0.76980036,1
1,0,0.4194352,0
1,0,0.5710749,1
1,0,0.62289596,1
1,0,0.40147728,0
1,0,0.92584854,1
1,0,0.87680817,1
1,0,0.58321524,1
1,0,0.5318684,1
1,0,0.620655,1
1,0,0.7026115,1
1,0,0.3844563,0
1,0,0.79900897,1
1,0,0.64267594,1
1,0,0.6172359,1
1,0,0.9561801,1
1,0,0.674684,1
1,0,0.7872678,1
1,0,0.8911078,1
1,0,0.6917964,1
1,0,0.2406333,0
1,0,0.37054336,0
1,0,0.5444905,1
1,0,0.48074028,0
1,0,0.3379903,0
1,0,0.6512275,1
1,0,0.8573144,1
1,0,0.3552918,0
1,0,0.25950044,0
1,0,0.5590028,1
1,0,0.45499292,0
1,0,0.0874154,0
1,0,0.44620165,0
1,0,0.57246095,1
1,0,0.3912573,0
1,0,0.51164484,1
1,0,0.22484419,0
1,0,0.2876217,0
1,0,0.46949747,0
1,0,0.6308238,1
1,0,0.57744855,1
1,0,0.38881522,0
1,0,0.4910332,0
1,0,0.2910259,0
1,0,0.5118087,1
1,0,0.59356505,1
1,0,0.67721206,1
1,0,0.88982904,1
1,0,0.2613436,0
1,0,0.116771236,0
1,0,0.05503008,0
1,0,0.50057834,1
1,0,0.40720025,0
1,0,0.03537145,0
1,0,0.45353937,0
1,1,0.6154441,1
1,1,0.71064764,1
1,1,0.599189,1
1,1,0.76826185,1
1,1,0.6594715,1
1,1,0.94905734,1
1,1,0.8821816,1
1,1,0.9664579,1
1,1,0.93525636,1
1,1,0.81507665,1
1,1,0.8290192,1
1,1,0.7304602,1
1,1,0.8872853,1
1,1,0.5340539,1
1,1,0.82421786,1
1,0,0.66161466,1
1,0,0.7887096,1
1,0,0.60765207,1
1,0,0.7543719,1
1,0,0.7279872,1
1,0,0.77462804,1
1,0,0.72216237,1
1,0,0.66627526,1
1,0,0.6589632,1
1,0,0.7058989,1
1,0,0.6213425,1
1,0,0.6275269,1
1,0,0.76287293,1
1,0,0.68498135,1
1,0,0.6361474,1
1,0,0.5996463,1
1,0,0.7335994,1
1,0,0.6691318,1
1,0,0.5998604,1
1,0,0.601756,1
1,0,0.6214357,1
1,0,0.5934952,1
1,0,0.6492838,1
1,0,0.57771003,1
1,0,0.54214793,1
1,0,0.4951698,0
1,0,0.46088815,0
1,0,0.4409492,0
1,0,0.44752023,0
1,0,0.6380741,1
1,0,0.5607368,1
1,0,0.55246717,1
1,0,0.5882364,1
1,0,0.6140527,1
1,0,0.59223956,1
1,0,0.7319275,1
1,0,0.7869402,1
1,0,0.8008543,1
1,0,0.84581304,1
1,0,0.67807627,1
1,0,0.8144314,1
1,0,0.5952387,1
1,0,0.6722676,1
1,0,0.7545215,1
1,0,0.6055026,1
1,0,0.83678204,1
1,0,0.6390008,1
1,0,0.63164735,1
1,0,0.83382374,1
1,0,0.6006422,1
1,0,0.81613487,1
1,0,0.78332925,1
1,0,0.68365294,1
1,0,0.6477174,1
1,1,0.7226075,1
1,1,0.7218105,1
1,1,0.54264134,1
1,1,0.71095055,1
1,1,0.6905581,1
1,1,0.83710086,1
1,1,0.8416826,1
1,1,0.8168249,1
1,1,0.6219376,1
1,1,0.60154366,1
1,1,0.7309203,1
1,1,0.745646,1
1,1,0.723235,1
1,1,0.78475595,1
1,1,0.46643507,0
1,0,0.79441607,1
1,0,0.7202002,1
1,0,0.41002378,0
1,0,0.77085054,1
1,0,0.96207994,1
1,0,0.96820664,1
1,0,0.97851276,1
1,0,0.9941737,1
1,0,0.9963922,1
1,0,0.98269457,1
1,0,0.97026664,1
1,0,0.99544734,1
1,0,0.8741998,1
1,0,0.9741154,1
1,0,0.9422889,1
1,0,0.82131803,1
1,0,0.8957715,1
1,0,0.98744243,1
1,0,0.96989137,1
1,0,0.9943456,1
1,0,0.99420244,1
1,0,0.993526,1
1,0,0.90465844,1
1,0,0.996136,1
1,0,0.974,1
1,0,0.9012315,1
1,0,0.9693043,1
1,0,0.9673002,1
1,0,0.5747911,1
1,0,0.616011,1
1,0,0.4084309,0
1,0,0.5661441,1
1,0,0.6785451,1
1,0,0.43540838,0
1,0,0.91952705,1
1,0,0.8719351,1
1,0,0.5784626,1
1,0,0.5323337,1
1,0,0.49905625,0
1,0,0.6459026,1
1,0,0.38642508,0
1,0,0.7218223,1
1,0,0.5587425,1
1,0,0.59066033,1
1,0,0.9639581,1
1,0,0.6316857,1
1,0,0.8299728,1
1,0,0.9449328,1
1,0,0.794988,1
1,0,0.17234753,0
1,0,0.28816733,0
1,0,0.43889248,0
1,0,0.48935574,0
1,0,0.30157217,0
1,0,0.5893512,1
1,0,0.86477846,1
1,0,0.4788792,0
1,0,0.26497373,0
1,0,0.59716034,1
1,0,0.4900421,0
1,0,0.07601939,0
1,0,0.46470866,0
1,0,0.59778655,1
1,0,0.4681635,0
1,0,0.485051,0
1,0,0.15494023,0
1,0,0.31260678,0
1,0,0.42670348,0
1,0,0.5626684,1
1,0,0.61375254,1
1,0,0.45441422,0
1,0,0.54079753,1
1,0,0.29946622,0
1,0,0.49867013,0
1,0,0.55077404,1
1,0,0.6701886,1
1,0,0.906665,1
1,0,0.30537716,0
1,0,0.112047814,0
1,0,0.053898964,0
1,0,0.42678553,0
1,0,0.32146195,0
1,0,0.035598483,0
1,0,0.5038114,1
1,1,0.5428291,1
1,1,0.71792847,1
1,1,0.60922,1
1,1,0.7119759,1
1,1,0.68382275,1
1,1,0.92253417,1
1,1,0.9080383,1
1,1,0.9771791,1
1,1,0.9425,1
1,1,0.84351295,1
1,1,0.8303569,1
1,1,0.72923744,1
1,1,0.9162218,1
1,1,0.59883034,1
1,1,0.79173976,1
1,0,0.6305252,1
1,0,0.7405709,1
1,0,0.59805185,1
1,0,0.6988462,1
1,0,0.66598684,1
1,0,0.75136864,1
1,0,0.6652496,1
1,0,0.66271603,1
1,0,0.5675593,1
1,0,0.60190016,1
1,0,0.55300057,1
1,0,0.5781992,1
1,0,0.7245164,1
1,0,0.6551127,1
1,0,0.56828785,1
1,0,0.56361026,1
1,0,0.6954563,1
1,0,0.5857582,1
1,0,0.54424554,1
1,0,0.5784972,1
1,0,0.5286853,1
1,0,0.53659,1
1,0,0.54181206,1
1,0,0.5491434,1
1,0,0.45305583,0
1,0,0.47419125,0
1,0,0.37086987,0
1,0,0.3324895,0
1,0,0.43889076,0
