Fold,Label,Prob,Preds
1,1,0.77252644,1
1,1,0.6426041,1
1,1,0.7005233,1
1,1,0.7051354,1
1,1,0.7143773,1
1,1,0.6808862,1
1,1,0.745409,1
1,1,0.8013117,1
1,1,0.6675087,1
1,1,0.5899076,1
1,1,0.6221592,1
1,1,0.63232636,1
1,1,0.60236096,1
1,1,0.66166514,1
1,1,0.6308847,1
1,1,0.5743146,1
1,1,0.66340965,1
1,1,0.55745673,1
1,1,0.7003553,1
1,1,0.57657355,1
1,1,0.59588635,1
1,1,0.5296526,1
1,1,0.61882704,1
1,1,0.6201159,1
1,1,0.6118874,1
1,1,0.64918095,1
1,1,0.6442538,1
1,1,0.54405475,1
1,1,0.62113446,1
1,1,0.54370403,1
1,1,0.55081224,1
1,1,0.4978705,0
1,1,0.52975476,1
1,1,0.55757344,1
1,1,0.50945145,1
1,1,0.5576806,1
1,1,0.55290127,1
1,1,0.52416575,1
1,1,0.5770731,1
1,1,0.5484082,1
1,1,0.59260345,1
1,1,0.6179972,1
1,1,0.5676282,1
1,1,0.6413119,1
1,1,0.70923615,1
1,1,0.5690106,1
1,1,0.51025313,1
1,1,0.6403854,1
1,1,0.5638305,1
1,1,0.59474885,1
1,1,0.6659229,1
1,1,0.5448748,1
1,1,0.553951,1
1,1,0.54695064,1
1,1,0.5439789,1
1,1,0.54454446,1
1,1,0.55852973,1
1,1,0.5353872,1
1,1,0.53489214,1
1,1,0.55612993,1
1,1,0.5014668,1
1,1,0.54911333,1
1,1,0.58957106,1
1,1,0.56648266,1
1,1,0.6107809,1
1,1,0.6564373,1
1,1,0.5234681,1
1,1,0.58496785,1
1,1,0.6312977,1
1,1,0.6144986,1
1,1,0.6149477,1
1,1,0.69545734,1
1,1,0.6411615,1
1,1,0.67662454,1
1,1,0.6384622,1
1,1,0.59945816,1
1,1,0.68774295,1
1,1,0.6031735,1
1,1,0.5553158,1
1,1,0.58486456,1
1,1,0.59582794,1
1,1,0.68813837,1
1,1,0.5703759,1
1,1,0.5873181,1
1,1,0.59389126,1
1,1,0.6043965,1
1,1,0.60701764,1
1,1,0.579218,1
1,1,0.68003345,1
1,1,0.56507695,1
1,1,0.5598176,1
1,1,0.5733105,1
1,1,0.51005685,1
1,1,0.5425075,1
1,1,0.5597057,1
1,1,0.5204415,1
1,1,0.5615765,1
1,1,0.54993665,1
1,1,0.49986792,0
1,1,0.57011133,1
1,1,0.54675764,1
1,1,0.57924575,1
1,1,0.6138118,1
1,1,0.60206676,1
1,1,0.62613994,1
1,1,0.6825791,1
1,1,0.5601244,1
1,1,0.53791845,1
1,1,0.6317559,1
1,1,0.56702816,1
1,1,0.5775545,1
1,1,0.6086871,1
1,1,0.5516477,1
1,1,0.5192642,1
1,1,0.5272751,1
1,1,0.5287808,1
1,1,0.5264522,1
1,1,0.5478329,1
1,1,0.5287513,1
1,1,0.54761446,1
1,1,0.56096053,1
1,1,0.49342367,0
1,1,0.56501275,1
1,1,0.5837692,1
1,1,0.5383396,1
1,1,0.58208174,1
1,1,0.65429455,1
1,1,0.56524235,1
1,1,0.6009421,1
1,1,0.60965014,1
1,1,0.58619356,1
1,1,0.61740416,1
1,1,0.71807754,1
1,1,0.63308024,1
1,1,0.6051165,1
1,1,0.6286687,1
1,1,0.582565,1
1,1,0.6659697,1
1,1,0.5289152,1
1,1,0.53807133,1
1,1,0.56509596,1
1,1,0.5724343,1
1,1,0.6553929,1
1,1,0.5439328,1
1,1,0.5440211,1
1,1,0.5500526,1
1,1,0.54800767,1
1,1,0.54448783,1
1,1,0.53715014,1
1,1,0.62104523,1
1,1,0.5007297,1
1,1,0.5800293,1
1,1,0.5347247,1
1,1,0.56084394,1
1,1,0.5741846,1
1,1,0.5369363,1
1,1,0.5827606,1
1,1,0.58354384,1
1,1,0.59203273,1
1,1,0.6142032,1
1,1,0.61421186,1
1,1,0.6379831,1
1,1,0.61364704,1
1,1,0.65280974,1
1,1,0.6094971,1
1,1,0.56375635,1
1,1,0.5755278,1
1,1,0.60615265,1
1,1,0.58705306,1
1,1,0.5885242,1
1,1,0.5997897,1
1,1,0.58748734,1
1,1,0.5146388,1
1,1,0.5538946,1
1,1,0.56568545,1
1,1,0.5547647,1
1,1,0.5161106,1
1,1,0.50254905,1
1,1,0.56218433,1
1,1,0.48562184,0
1,1,0.5483541,1
1,1,0.63814163,1
1,1,0.556488,1
1,1,0.54908353,1
1,1,0.523033,1
1,1,0.55873024,1
1,1,0.6075708,1
1,1,0.51990783,1
1,1,0.6104616,1
1,1,0.55285066,1
1,1,0.49885952,0
1,1,0.506699,1
1,1,0.56404895,1
1,1,0.53933954,1
1,1,0.50616807,1
1,1,0.5553002,1
1,1,0.58543193,1
1,1,0.5814815,1
1,1,0.5946225,1
1,1,0.60337615,1
1,1,0.6128381,1
1,1,0.6062396,1
1,1,0.6233704,1
1,1,0.5960547,1
1,1,0.55929893,1
1,1,0.5857762,1
1,1,0.6086345,1
1,1,0.5783919,1
1,1,0.59386474,1
1,1,0.6056497,1
1,1,0.57922816,1
1,1,0.50821006,1
1,1,0.5370873,1
1,1,0.53092945,1
1,1,0.53250396,1
1,1,0.49196404,0
1,1,0.48156637,0
1,1,0.5617739,1
1,1,0.47237182,0
1,1,0.5401472,1
1,1,0.625212,1
1,1,0.53355086,1
1,1,0.5505033,1
1,1,0.54086363,1
1,1,0.5242439,1
1,1,0.5860044,1
1,1,0.4971938,0
1,1,0.5914205,1
1,1,0.5226562,1
1,1,0.6596559,1
1,1,0.66226244,1
1,1,0.639332,1
1,1,0.6331754,1
1,1,0.6057007,1
1,1,0.55231297,1
1,1,0.6903529,1
1,1,0.6099315,1
1,1,0.56640005,1
1,1,0.5857952,1
1,1,0.57638973,1
1,1,0.59805053,1
1,1,0.5875146,1
1,1,0.57466555,1
1,1,0.62492746,1
1,1,0.6019751,1
1,1,0.64517975,1
1,1,0.63129294,1
1,1,0.66977376,1
1,1,0.6642931,1
1,1,0.61651564,1
1,1,0.64394534,1
1,1,0.67499036,1
1,1,0.6251462,1
1,1,0.6060647,1
1,1,0.6052981,1
1,1,0.6145994,1
1,1,0.68649465,1
1,1,0.6974043,1
1,1,0.68968284,1
1,1,0.6916287,1
1,1,0.6601799,1
1,1,0.5915699,1
1,1,0.6976789,1
1,1,0.6530302,1
1,1,0.6157082,1
1,1,0.64335704,1
1,1,0.5981172,1
1,1,0.62201446,1
1,1,0.6098433,1
1,1,0.6153452,1
1,1,0.6586032,1
1,1,0.63513637,1
1,1,0.67523646,1
1,1,0.66450477,1
1,1,0.7082253,1
1,1,0.69158673,1
1,1,0.65541077,1
1,1,0.6673321,1
1,1,0.69645315,1
1,1,0.6446832,1
1,1,0.6362129,1
1,1,0.62752944,1
1,1,0.64755887,1
1,1,0.5926667,1
1,1,0.62688786,1
1,1,0.6622414,1
1,1,0.6445011,1
1,1,0.6161595,1
1,1,0.7265582,1
1,1,0.56411564,1
1,1,0.6321119,1
1,1,0.6855922,1
1,1,0.65280116,1
1,1,0.6775412,1
1,1,0.6022758,1
1,1,0.75627047,1
1,1,0.59801024,1
1,1,0.7091447,1
1,1,0.62914616,1
1,1,0.51262325,1
1,1,0.66712826,1
1,1,0.62128276,1
1,1,0.5865949,1
1,1,0.7175405,1
1,1,0.6042442,1
1,1,0.63969535,1
1,1,0.62724274,1
1,0,0.6095529,1
1,0,0.6425627,1
1,0,0.61745846,1
1,0,0.61134344,1
1,0,0.6349628,1
1,0,0.5984067,1
1,0,0.64589155,1
1,0,0.60146636,1
1,0,0.6718718,1
1,0,0.7727213,1
1,0,0.68315,1
1,0,0.7053937,1
1,0,0.6320312,1
1,0,0.6332177,1
1,0,0.6592694,1
1,0,0.67907023,1
1,1,0.67313397,1
1,1,0.6898001,1
1,1,0.6509283,1
1,1,0.6696664,1
1,1,0.66715723,1
1,1,0.6185402,1
1,1,0.69868433,1
1,1,0.65529114,1
1,1,0.68344045,1
1,1,0.60441023,1
1,0,0.5870172,1
1,0,0.6386637,1
1,0,0.57998836,1
1,0,0.60687774,1
1,0,0.6032032,1
1,0,0.6677661,1
1,0,0.58871216,1
1,0,0.6705965,1
1,0,0.6565108,1
1,0,0.64644015,1
1,0,0.6580603,1
1,0,0.6905383,1
1,0,0.5070079,1
1,0,0.6328238,1
1,0,0.71996343,1
1,0,0.5489,1
1,0,0.5225367,1
1,0,0.58160955,1
1,0,0.629963,1
1,0,0.53609574,1
1,0,0.6544438,1
1,0,0.65501696,1
1,0,0.6477432,1
1,0,0.74057376,1
1,0,0.6651029,1
1,0,0.65584064,1
1,0,0.6648451,1
1,0,0.6951011,1
1,0,0.6900032,1
1,0,0.64196205,1
1,0,0.67389005,1
1,0,0.7492345,1
1,0,0.6913365,1
1,0,0.6058435,1
1,0,0.7289059,1
1,0,0.737273,1
1,0,0.6725309,1
1,0,0.6726685,1
1,0,0.64444727,1
1,0,0.6987867,1
1,0,0.6590791,1
1,0,0.5885296,1
1,0,0.56236315,1
1,0,0.6912394,1
1,0,0.62600356,1
1,0,0.59774745,1
1,0,0.5949201,1
1,0,0.5342892,1
1,0,0.56016904,1
1,0,0.5357268,1
1,0,0.6169608,1
1,0,0.66401464,1
1,0,0.69232666,1
1,0,0.6646334,1
1,0,0.6288973,1
1,0,0.6634676,1
1,0,0.5516901,1
1,0,0.61600864,1
1,0,0.5640924,1
1,0,0.6075083,1
1,0,0.53643715,1
1,0,0.6333803,1
1,0,0.5710891,1
1,0,0.55937797,1
1,0,0.56831133,1
1,0,0.5946899,1
1,0,0.515044,1
1,0,0.54008096,1
1,0,0.5776489,1
1,0,0.5086423,1
1,0,0.5619485,1
1,0,0.5586343,1
1,0,0.53770673,1
1,0,0.601888,1
1,0,0.5683945,1
1,0,0.6251028,1
1,0,0.6406039,1
1,0,0.59836763,1
1,0,0.65501785,1
1,0,0.7410377,1
1,0,0.60571367,1
1,0,0.752409,1
1,0,0.6297091,1
1,0,0.7055376,1
1,0,0.6370417,1
1,0,0.591763,1
1,0,0.67296714,1
1,0,0.77094537,1
1,0,0.63635564,1
1,0,0.6211239,1
1,0,0.6326822,1
1,0,0.6071245,1
1,0,0.48232037,0
1,0,0.5402191,1
1,0,0.5737446,1
1,0,0.51921785,1
1,0,0.6473137,1
1,0,0.5907983,1
1,0,0.6016668,1
1,0,0.66835374,1
1,0,0.5521843,1
1,0,0.5692845,1
1,0,0.5430444,1
1,0,0.5418473,1
1,0,0.5576364,1
1,0,0.5026096,1
1,0,0.5646366,1
1,0,0.56018764,1
1,0,0.52681714,1
1,0,0.619121,1
1,0,0.60356635,1
1,0,0.59741765,1
1,0,0.5574495,1
1,0,0.6242957,1
1,0,0.5993125,1
1,0,0.56971407,1
1,0,0.62096244,1
1,0,0.7345882,1
1,0,0.58832127,1
1,0,0.77113473,1
1,0,0.65730375,1
1,0,0.6327156,1
1,0,0.62639385,1
1,0,0.58700126,1
1,0,0.6239961,1
1,0,0.6133942,1
1,0,0.6110999,1
1,0,0.6373374,1
1,0,0.63588375,1
1,0,0.6314588,1
1,0,0.56877404,1
1,0,0.5291268,1
1,0,0.5669548,1
1,0,0.43556845,0
1,0,0.5254569,1
1,0,0.5175691,1
1,0,0.53552824,1
1,0,0.5539721,1
1,0,0.5257149,1
1,0,0.56486,1
1,0,0.525719,1
1,0,0.5665842,1
1,0,0.6048903,1
1,0,0.5979845,1
1,0,0.60047656,1
1,0,0.6332974,1
1,0,0.5409303,1
1,0,0.5589285,1
1,0,0.66786104,1
1,0,0.589481,1
1,0,0.5686579,1
1,0,0.6067941,1
1,0,0.5847057,1
1,0,0.6301178,1
1,0,0.6721034,1
1,0,0.53994566,1
1,0,0.73958755,1
1,0,0.67531854,1
1,0,0.6940467,1
1,0,0.64569527,1
1,0,0.6308801,1
1,0,0.5982305,1
1,0,0.5874767,1
1,0,0.6284422,1
1,0,0.5627643,1
1,0,0.6277988,1
1,0,0.6376502,1
1,0,0.55964595,1
1,0,0.6224511,1
1,0,0.631114,1
1,0,0.5762781,1
1,0,0.57745373,1
1,0,0.66036826,1
1,0,0.55325913,1
1,0,0.6041285,1
