Fold,Label,Prob,Preds
1,1,0.68806493,1
1,1,0.6166212,1
1,1,0.6414904,1
1,1,0.6453117,1
1,1,0.6623659,1
1,1,0.6594257,1
1,1,0.6722394,1
1,1,0.7508178,1
1,1,0.63160753,1
1,1,0.6066032,1
1,1,0.60977906,1
1,1,0.62860346,1
1,1,0.60687727,1
1,1,0.6581945,1
1,1,0.6459958,1
1,1,0.58640075,1
1,1,0.6750405,1
1,1,0.5570531,1
1,1,0.6638264,1
1,1,0.5960783,1
1,1,0.59062856,1
1,1,0.5552401,1
1,1,0.6440079,1
1,1,0.6118955,1
1,1,0.6224381,1
1,1,0.63328797,1
1,1,0.6472861,1
1,1,0.5780391,1
1,1,0.6273026,1
1,1,0.5677839,1
1,1,0.5586307,1
1,1,0.5365446,1
1,1,0.5516337,1
1,1,0.5771405,1
1,1,0.5117459,1
1,1,0.56011635,1
1,1,0.56279546,1
1,1,0.5484492,1
1,1,0.5996917,1
1,1,0.5629386,1
1,1,0.5976889,1
1,1,0.60416406,1
1,1,0.59953266,1
1,1,0.6568309,1
1,1,0.6954495,1
1,1,0.58748484,1
1,1,0.56849235,1
1,1,0.6624735,1
1,1,0.54874974,1
1,1,0.5771112,1
1,1,0.6459289,1
1,1,0.5702256,1
1,1,0.55094415,1
1,1,0.5653883,1
1,1,0.56063306,1
1,1,0.5610473,1
1,1,0.57303643,1
1,1,0.541974,1
1,1,0.5649269,1
1,1,0.5831792,1
1,1,0.5077668,1
1,1,0.5556078,1
1,1,0.56306297,1
1,1,0.56943864,1
1,1,0.58349544,1
1,1,0.6569978,1
1,1,0.5304615,1
1,1,0.59183633,1
1,1,0.6196655,1
1,1,0.59983027,1
1,1,0.59979063,1
1,1,0.6970926,1
1,1,0.62898713,1
1,1,0.6462797,1
1,1,0.6312504,1
1,1,0.5682681,1
1,1,0.66070867,1
1,1,0.5979884,1
1,1,0.55972505,1
1,1,0.57291925,1
1,1,0.60345894,1
1,1,0.6567887,1
1,1,0.57518476,1
1,1,0.5756463,1
1,1,0.58311933,1
1,1,0.60041475,1
1,1,0.59861547,1
1,1,0.5596899,1
1,1,0.64379555,1
1,1,0.5512782,1
1,1,0.5720659,1
1,1,0.57179224,1
1,1,0.54072887,1
1,1,0.5599271,1
1,1,0.5680254,1
1,1,0.5283701,1
1,1,0.5603513,1
1,1,0.5721356,1
1,1,0.5262128,1
1,1,0.58511746,1
1,1,0.57076806,1
1,1,0.5814105,1
1,1,0.5992628,1
1,1,0.6060171,1
1,1,0.6606251,1
1,1,0.6784668,1
1,1,0.5764978,1
1,1,0.56312317,1
1,1,0.6368473,1
1,1,0.5318094,1
1,1,0.5758098,1
1,1,0.59622526,1
1,1,0.56683326,1
1,1,0.53180385,1
1,1,0.542462,1
1,1,0.5605846,1
1,1,0.5429593,1
1,1,0.55599976,1
1,1,0.546614,1
1,1,0.57523394,1
1,1,0.59904844,1
1,1,0.5214019,1
1,1,0.5708536,1
1,1,0.5696081,1
1,1,0.5517182,1
1,1,0.5793204,1
1,1,0.6464766,1
1,1,0.56935704,1
1,1,0.6088098,1
1,1,0.6147037,1
1,1,0.57109,1
1,1,0.5958477,1
1,1,0.7137638,1
1,1,0.6316759,1
1,1,0.62040776,1
1,1,0.6386296,1
1,1,0.5553512,1
1,1,0.6596795,1
1,1,0.54618675,1
1,1,0.5383534,1
1,1,0.567608,1
1,1,0.5910802,1
1,1,0.63890034,1
1,1,0.5554274,1
1,1,0.54693216,1
1,1,0.55048513,1
1,1,0.5572753,1
1,1,0.5636408,1
1,1,0.5366943,1
1,1,0.60049534,1
1,1,0.52826655,1
1,1,0.5728979,1
1,1,0.5507297,1
1,1,0.52058053,1
1,1,0.58528787,1
1,1,0.54700685,1
1,1,0.58552355,1
1,1,0.5928084,1
1,1,0.6013062,1
1,1,0.5777201,1
1,1,0.6127621,1
1,1,0.6090135,1
1,1,0.5876536,1
1,1,0.6387031,1
1,1,0.607281,1
1,1,0.57106715,1
1,1,0.56959116,1
1,1,0.60815996,1
1,1,0.59710604,1
1,1,0.6014614,1
1,1,0.5857235,1
1,1,0.6110448,1
1,1,0.57296944,1
1,1,0.56772244,1
1,1,0.5954266,1
1,1,0.5758666,1
1,1,0.5512845,1
1,1,0.51042396,1
1,1,0.57237893,1
1,1,0.52897215,1
1,1,0.5572604,1
1,1,0.62865657,1
1,1,0.58526796,1
1,1,0.5653382,1
1,1,0.5516994,1
1,1,0.52971303,1
1,1,0.5996725,1
1,1,0.5442549,1
1,1,0.603171,1
1,1,0.5946988,1
1,1,0.5958216,1
1,1,0.5637655,1
1,1,0.56397164,1
1,1,0.56856567,1
1,1,0.52455807,1
1,1,0.57726985,1
1,1,0.6010864,1
1,1,0.60745347,1
1,1,0.5673371,1
1,1,0.5991606,1
1,1,0.601191,1
1,1,0.60072726,1
1,1,0.598922,1
1,1,0.5858313,1
1,1,0.56472504,1
1,1,0.55967575,1
1,1,0.6139174,1
1,1,0.58662283,1
1,1,0.6059812,1
1,1,0.58321154,1
1,1,0.6015622,1
1,1,0.5550498,1
1,1,0.5598403,1
1,1,0.56702054,1
1,1,0.5400492,1
1,1,0.53596205,1
1,1,0.48574555,0
1,1,0.5762185,1
1,1,0.50194794,1
1,1,0.5503568,1
1,1,0.6115369,1
1,1,0.55818605,1
1,1,0.5672633,1
1,1,0.55589056,1
1,1,0.51607597,1
1,1,0.57806605,1
1,1,0.53603673,1
1,1,0.5990542,1
1,1,0.58266306,1
1,1,0.67217326,1
1,1,0.6582185,1
1,1,0.6421913,1
1,1,0.624992,1
1,1,0.61375546,1
1,1,0.5789039,1
1,1,0.71580774,1
1,1,0.6418256,1
1,1,0.6018712,1
1,1,0.63424397,1
1,1,0.60938054,1
1,1,0.63530946,1
1,1,0.601321,1
1,1,0.5903241,1
1,1,0.6565459,1
1,1,0.63164234,1
1,1,0.66825897,1
1,1,0.6528282,1
1,1,0.69196653,1
1,1,0.6658134,1
1,1,0.63669974,1
1,1,0.6466598,1
1,1,0.7008436,1
1,1,0.6552734,1
1,1,0.6330567,1
1,1,0.6437242,1
1,1,0.62806195,1
1,1,0.68632334,1
1,1,0.6913169,1
1,1,0.6884557,1
1,1,0.65897715,1
1,1,0.65074277,1
1,1,0.5955006,1
1,1,0.7259202,1
1,1,0.66138655,1
1,1,0.63693315,1
1,1,0.6711232,1
1,1,0.6304498,1
1,1,0.6561422,1
1,1,0.61966956,1
1,1,0.62139934,1
1,1,0.67514294,1
1,1,0.6510025,1
1,1,0.68280685,1
1,1,0.67700464,1
1,1,0.7151505,1
1,1,0.6938193,1
1,1,0.65471387,1
1,1,0.65923756,1
1,1,0.70976293,1
1,1,0.6628287,1
1,1,0.6487828,1
1,1,0.6590642,1
1,1,0.6456711,1
1,1,0.6274259,1
1,1,0.5994632,1
1,1,0.62657046,1
1,1,0.6409153,1
1,1,0.57504696,1
1,1,0.7119859,1
1,1,0.5711445,1
1,1,0.63775486,1
1,1,0.6655066,1
1,1,0.62085515,1
1,1,0.6643497,1
1,1,0.5662211,1
1,1,0.72990686,1
1,1,0.6051442,1
1,1,0.6547562,1
1,1,0.62686,1
1,1,0.5376976,1
1,1,0.65461516,1
1,1,0.59429353,1
1,1,0.5857321,1
1,1,0.6829772,1
1,1,0.5790589,1
1,1,0.59088457,1
1,1,0.5888888,1
1,0,0.61116683,1
1,0,0.5977923,1
1,0,0.5938342,1
1,0,0.5673854,1
1,0,0.63607985,1
1,0,0.5905081,1
1,0,0.6254716,1
1,0,0.61268353,1
1,0,0.63066685,1
1,0,0.7510521,1
1,0,0.63759404,1
1,0,0.6846806,1
1,0,0.6173701,1
1,0,0.6155498,1
1,0,0.6253387,1
1,0,0.63144976,1
1,1,0.6275994,1
1,1,0.6609548,1
1,1,0.6161522,1
1,1,0.64080787,1
1,1,0.6191277,1
1,1,0.60572374,1
1,1,0.67150944,1
1,1,0.6165163,1
1,1,0.6418449,1
1,1,0.6023,1
1,0,0.57929534,1
