Fold,Label,Prob,Preds
1,1,0.39344823,0
1,1,0.44237944,0
1,1,0.5059624,1
1,1,0.5139809,1
1,1,0.52294594,1
1,1,0.7685534,1
1,1,0.89293325,1
1,1,0.9047406,1
1,1,0.4936518,0
1,1,0.41765508,0
1,1,0.42915714,0
1,1,0.38088632,0
1,1,0.38088632,0
1,1,0.45437118,0
1,1,0.41362825,0
1,1,0.41362825,0
1,1,0.29635492,0
1,1,0.46291912,0
1,1,0.5174379,1
1,1,0.5473785,1
1,1,0.5301322,1
1,1,0.5047074,1
1,1,0.5047074,1
1,1,0.5162192,1
1,1,0.5213219,1
1,1,0.5205896,1
1,1,0.4954298,0
1,1,0.48627308,0
1,1,0.46541736,0
1,1,0.46541736,0
1,1,0.44642588,0
1,1,0.4419361,0
1,1,0.44879937,0
1,1,0.45297703,0
1,1,0.44879937,0
1,1,0.43173385,0
1,1,0.4003002,0
1,1,0.5265752,1
1,1,0.5469115,1
1,1,0.5278305,1
1,1,0.4898884,0
1,1,0.50249434,1
1,1,0.47787312,0
1,1,0.4722162,0
1,1,0.8849352,1
1,1,0.85493976,1
1,1,0.8479267,1
1,1,0.8030504,1
1,1,0.776817,1
1,1,0.64912945,1
1,1,0.6334957,1
1,1,0.57894766,1
1,1,0.4973018,0
1,1,0.4384811,0
1,1,0.4384811,0
1,1,0.38880047,0
1,1,0.35413915,0
1,1,0.34366325,0
1,1,0.31885755,0
1,1,0.35438332,0
1,1,0.37346494,0
1,1,0.50493056,1
1,1,0.4476004,0
1,1,0.4023204,0
1,1,0.36452758,0
1,1,0.36452758,0
1,1,0.4403166,0
1,1,0.44200554,0
1,1,0.44550356,0
1,1,0.41245636,0
1,1,0.5919269,1
1,1,0.5807896,1
1,1,0.4109958,0
1,1,0.4109958,0
1,1,0.39130634,0
1,1,0.40267146,0
1,1,0.4129357,0
1,1,0.4129357,0
1,1,0.43958232,0
1,1,0.41222405,0
1,1,0.47228578,0
1,1,0.44331264,0
1,1,0.47613725,0
1,1,0.46506533,0
1,1,0.47050822,0
1,1,0.45418784,0
1,1,0.47398987,0
1,1,0.4612572,0
1,1,0.3126952,0
1,1,0.53033173,1
1,1,0.54863346,1
1,1,0.51109624,1
1,1,0.51109624,1
1,1,0.5307683,1
1,1,0.50702,1
1,1,0.5639846,1
1,1,0.5334065,1
1,1,0.5554019,1
1,1,0.48191854,0
1,1,0.4589602,0
1,1,0.4722162,0
1,1,0.4722162,0
1,1,0.4734762,0
1,1,0.42576277,0
1,1,0.4722162,0
1,1,0.5124983,1
1,1,0.48424694,0
1,1,0.5103606,1
1,1,0.4737165,0
1,1,0.5496679,1
1,1,0.5103437,1
1,1,0.47951332,0
1,1,0.4438718,0
1,1,0.46253857,0
1,1,0.44861528,0
1,1,0.44861528,0
1,1,0.41223302,0
1,1,0.4520636,0
1,1,0.4520636,0
1,1,0.41920134,0
1,1,0.42121595,0
1,1,0.55440366,1
1,1,0.673469,1
1,1,0.7130088,1
1,1,0.6690612,1
1,1,0.6401572,1
1,1,0.4691362,0
1,1,0.40772733,0
1,1,0.4913579,0
1,1,0.5391091,1
1,1,0.68135774,1
1,1,0.70574075,1
1,1,0.677399,1
1,1,0.6889562,1
1,1,0.8242696,1
1,1,0.83652997,1
1,1,0.6514304,1
1,1,0.70155996,1
1,1,0.6443127,1
1,1,0.6012335,1
1,1,0.56703055,1
1,1,0.5841885,1
1,1,0.63813996,1
1,1,0.69829416,1
1,0,0.6456027,1
1,0,0.61847955,1
1,0,0.6348045,1
1,0,0.6537966,1
1,0,0.63991386,1
1,1,0.7023428,1
1,1,0.6808835,1
1,1,0.6808835,1
1,1,0.66429216,1
1,1,0.65088063,1
1,1,0.5767229,1
1,1,0.5435274,1
1,1,0.56271785,1
1,1,0.43112686,0
1,1,0.40602237,0
1,1,0.5000361,1
1,1,0.5043405,1
1,1,0.32947227,0
1,1,0.44014946,0
1,1,0.3523179,0
1,1,0.30176264,0
1,1,0.23339595,0
1,0,0.7474427,1
1,0,0.7332489,1
1,0,0.7474427,1
1,0,0.682443,1
1,0,0.65765303,1
1,0,0.60322595,1
1,0,0.6199372,1
1,0,0.6393786,1
1,0,0.68655354,1
1,0,0.6500021,1
1,0,0.60778713,1
1,0,0.6242899,1
1,0,0.6435359,1
1,0,0.6237751,1
1,1,0.6746911,1
1,1,0.71673316,1
1,1,0.67315483,1
1,1,0.63969254,1
1,1,0.63576406,1
1,1,0.60922825,1
1,1,0.6479768,1
1,1,0.6810135,1
1,1,0.664563,1
1,1,0.6834393,1
1,1,0.6258977,1
1,1,0.7023314,1
1,1,0.59261435,1
1,1,0.59261435,1
1,1,0.4806998,0
1,1,0.51269555,1
1,1,0.41513035,0
1,1,0.41513035,0
1,1,0.39130634,0
1,1,0.40267146,0
1,1,0.4129357,0
