Fold,Label,Prob,Preds
1,0,0.92401385,1
1,0,0.9667066,1
1,0,0.89487714,1
1,0,0.8639316,1
1,0,0.91007537,1
1,0,0.8897463,1
1,0,0.8428097,1
1,0,0.84794486,1
1,0,0.8690422,1
1,0,0.8274455,1
1,0,0.8412242,1
1,0,0.8909478,1
1,0,0.8339641,1
1,0,0.8384853,1
1,0,0.9186962,1
1,0,0.88154125,1
1,0,0.9095619,1
1,0,0.8737085,1
1,0,0.8591526,1
1,0,0.85336083,1
1,0,0.8600966,1
1,0,0.9301895,1
1,0,0.84765625,1
1,0,0.8716475,1
1,0,0.80817604,1
1,0,0.92104954,1
1,0,0.90400934,1
1,0,0.3928546,0
1,0,0.5943729,1
1,0,0.78055483,1
1,0,0.43929112,0
1,0,0.92429453,1
1,0,0.66615695,1
1,0,0.9546047,1
1,0,0.93009895,1
1,0,0.9772339,1
1,0,0.9262898,1
1,0,0.9960687,1
1,0,0.8408209,1
1,0,0.9569325,1
1,0,0.9777272,1
1,0,0.96098423,1
1,0,0.96561617,1
1,0,0.8401022,1
1,0,0.81992286,1
1,0,0.58135706,1
1,0,0.88290197,1
1,0,0.8183018,1
1,0,0.2380224,0
1,0,0.21348104,0
1,0,0.93264747,1
1,0,0.9125057,1
1,0,0.5891399,1
1,0,0.73535174,1
1,0,0.8304357,1
1,0,0.8395733,1
1,0,0.87761974,1
1,0,0.86960346,1
1,0,0.9419994,1
1,0,0.37104046,0
1,0,0.5771525,1
1,0,0.5577219,1
1,0,0.18199258,0
1,0,0.36473784,0
1,0,0.22356063,0
1,0,0.07324183,0
1,0,0.077248275,0
1,0,0.5331965,1
1,0,0.10638984,0
1,0,0.88150734,1
1,0,0.89401215,1
1,0,0.8295945,1
1,0,0.8231117,1
1,0,0.8763395,1
1,0,0.76796955,1
1,0,0.8482034,1
1,0,0.8938176,1
1,0,0.9112432,1
1,0,0.8573707,1
1,0,0.8785801,1
1,0,0.8524967,1
1,0,0.93130267,1
1,0,0.6693199,1
1,0,0.91005665,1
1,0,0.60367775,1
1,0,0.65069807,1
1,0,0.30537283,0
1,0,0.7700231,1
1,0,0.9359015,1
1,0,0.8895258,1
1,0,0.9412294,1
1,0,0.99450654,1
1,0,0.9934316,1
1,0,0.9843121,1
1,0,0.945559,1
1,0,0.99429095,1
1,0,0.9178574,1
1,0,0.97224426,1
1,0,0.9539218,1
1,0,0.9193937,1
1,0,0.8959108,1
1,0,0.98854524,1
1,0,0.96640277,1
1,0,0.99738353,1
1,0,0.9880086,1
1,0,0.98814595,1
1,0,0.85760593,1
1,0,0.9892152,1
1,0,0.98455447,1
1,0,0.92013234,1
1,0,0.9718463,1
1,0,0.98516905,1
1,0,0.923682,1
1,0,0.8677068,1
1,0,0.508689,1
1,0,0.6821515,1
1,0,0.7073902,1
1,0,0.6614566,1
1,0,0.95066637,1
1,0,0.91696864,1
1,0,0.69565415,1
1,0,0.7722753,1
1,0,0.6266025,1
1,0,0.67390305,1
1,0,0.46221608,0
1,0,0.8519881,1
1,0,0.6388596,1
1,0,0.7184025,1
1,0,0.9524104,1
1,0,0.71861875,1
1,0,0.77200615,1
1,0,0.94244397,1
1,0,0.83503777,1
1,0,0.4847667,0
1,0,0.6218138,1
1,0,0.7806409,1
1,0,0.69963545,1
1,0,0.47826818,0
1,0,0.58345973,1
1,0,0.8160211,1
1,0,0.3774896,0
1,0,0.32250345,0
1,0,0.69847345,1
1,0,0.52892315,1
1,0,0.14661029,0
1,0,0.67585677,1
1,0,0.6878455,1
1,0,0.33775812,0
1,0,0.46623287,0
1,0,0.21801327,0
1,0,0.20911571,0
1,0,0.4714748,0
1,0,0.72198385,1
1,0,0.61089027,1
1,0,0.55709946,1
1,0,0.6504041,1
1,0,0.48168123,0
1,0,0.70617515,1
1,0,0.82990116,1
1,0,0.8150632,1
1,0,0.94304776,1
1,0,0.48639566,0
1,0,0.22420628,0
1,0,0.08072298,0
1,0,0.6178292,1
1,0,0.45253253,0
1,0,0.050692786,0
1,0,0.41625246,0
1,1,0.6593489,1
1,1,0.9207643,1
1,1,0.76142216,1
1,1,0.9058463,1
1,1,0.85008013,1
1,1,0.9776252,1
1,1,0.9657719,1
1,1,0.96501654,1
1,1,0.95561135,1
1,1,0.94109327,1
1,1,0.9157603,1
1,1,0.8898746,1
1,1,0.96219647,1
1,1,0.8544297,1
1,1,0.9168632,1
1,0,0.832894,1
1,0,0.8937113,1
1,0,0.7706072,1
1,0,0.8829176,1
1,0,0.8513494,1
1,0,0.83533084,1
1,0,0.8738734,1
1,0,0.8275004,1
1,0,0.82244456,1
1,0,0.8307239,1
1,0,0.80757594,1
1,0,0.77339673,1
1,0,0.862473,1
1,0,0.81725526,1
1,0,0.8141269,1
1,0,0.74439317,1
1,0,0.842658,1
1,0,0.8227862,1
1,0,0.7586117,1
1,0,0.7738921,1
1,0,0.7787548,1
1,0,0.8123085,1
1,0,0.8317331,1
1,0,0.8005272,1
1,0,0.7660976,1
1,0,0.6839328,1
1,0,0.6919857,1
1,0,0.6612265,1
1,0,0.66433495,1
1,0,0.7940544,1
1,0,0.75618243,1
1,0,0.7683844,1
1,0,0.78040487,1
1,0,0.7994863,1
1,0,0.77493715,1
1,0,0.82999814,1
1,0,0.86595714,1
1,0,0.8760814,1
1,0,0.9204827,1
1,0,0.82996523,1
1,0,0.8974383,1
1,0,0.79526997,1
1,0,0.81885016,1
1,0,0.8615843,1
1,0,0.73207456,1
1,0,0.9020452,1
1,0,0.80599445,1
1,0,0.80386996,1
1,0,0.88676596,1
1,0,0.77905333,1
1,0,0.8917253,1
1,0,0.8624995,1
1,0,0.82001716,1
1,0,0.8158142,1
1,1,0.84430647,1
1,1,0.8332392,1
1,1,0.7587919,1
1,1,0.8467611,1
1,1,0.82637745,1
1,1,0.89626247,1
1,1,0.88550717,1
1,1,0.89512056,1
1,1,0.8048673,1
1,1,0.78194404,1
1,1,0.8595417,1
1,1,0.87932366,1
1,1,0.8657681,1
1,1,0.8946593,1
1,1,0.6011757,1
1,0,0.78045714,1
1,0,0.61825246,1
1,0,0.34211862,0
1,0,0.6733477,1
1,0,0.9470578,1
1,0,0.9378664,1
1,0,0.9591327,1
1,0,0.99461246,1
1,0,0.992677,1
1,0,0.9828841,1
1,0,0.96456295,1
1,0,0.9950794,1
1,0,0.866124,1
1,0,0.9769843,1
1,0,0.955425,1
1,0,0.9000478,1
1,0,0.8968543,1
1,0,0.98563725,1
1,0,0.96023047,1
1,0,0.9939926,1
1,0,0.99305046,1
1,0,0.98711234,1
1,0,0.85981005,1
1,0,0.99110925,1
1,0,0.9882117,1
1,0,0.8817212,1
1,0,0.97126555,1
1,0,0.9838271,1
1,0,0.8828579,1
1,0,0.80687964,1
1,0,0.49394274,0
1,0,0.690531,1
1,0,0.72861415,1
1,0,0.6883677,1
1,0,0.94434464,1
1,0,0.91478944,1
1,0,0.73651564,1
1,0,0.7749108,1
1,0,0.5072205,1
1,0,0.60041386,1
1,0,0.44041687,0
1,0,0.75958896,1
1,0,0.5596254,1
1,0,0.6772852,1
1,0,0.95250654,1
1,0,0.66586417,1
1,0,0.7915896,1
1,0,0.962821,1
1,0,0.88113815,1
1,0,0.37747377,0
1,0,0.5158901,1
1,0,0.7249256,1
1,0,0.6860382,1
1,0,0.45571494,0
1,0,0.5305959,1
1,0,0.8534429,1
1,0,0.4632826,0
1,0,0.3210596,0
1,0,0.7339107,1
1,0,0.5827645,1
1,0,0.14343736,0
1,0,0.6843451,1
1,0,0.714291,1
1,0,0.35519737,0
1,0,0.4795583,0
1,0,0.14492919,0
1,0,0.22029689,0
1,0,0.41950542,0
1,0,0.64673316,1
1,0,0.62135404,1
1,0,0.5771364,1
1,0,0.6915877,1
1,0,0.4835259,0
1,0,0.67621475,1
1,0,0.7945024,1
1,0,0.7945563,1
1,0,0.94535017,1
1,0,0.55055994,1
1,0,0.2376618,0
1,0,0.07867137,0
1,0,0.5526286,1
1,0,0.40583432,0
1,0,0.05534574,0
1,0,0.47593144,0
1,1,0.58511186,1
1,1,0.91505176,1
1,1,0.75970685,1
1,1,0.9038855,1
1,1,0.87714154,1
1,1,0.9665953,1
1,1,0.97019887,1
1,1,0.97436255,1
1,1,0.95818204,1
1,1,0.9419157,1
1,1,0.9036558,1
1,1,0.8808664,1
1,1,0.9690608,1
1,1,0.8660033,1
1,1,0.90057176,1
1,0,0.8150339,1
1,0,0.8720126,1
1,0,0.7895241,1
1,0,0.84972686,1
1,0,0.8274808,1
1,0,0.82644993,1
1,0,0.839892,1
1,0,0.8294598,1
1,0,0.78611577,1
1,0,0.79905677,1
1,0,0.7777565,1
1,0,0.7611646,1
1,0,0.8550864,1
1,0,0.8137149,1
1,0,0.7943428,1
1,0,0.74752533,1
1,0,0.8424007,1
1,0,0.79690415,1
1,0,0.7320561,1
1,0,0.75994897,1
1,0,0.7399106,1
1,0,0.7801852,1
1,0,0.79528195,1
1,0,0.8078947,1
1,0,0.7192449,1
1,0,0.70044804,1
1,0,0.618029,1
1,0,0.55389893,1
1,0,0.65567666,1
1,0,0.73852533,1
1,0,0.6937036,1
1,0,0.72327805,1
1,0,0.7536837,1
1,0,0.78953826,1
1,0,0.8039264,1
1,0,0.84006065,1
1,0,0.86816394,1
1,0,0.87181526,1
1,0,0.91092104,1
1,0,0.82665074,1
1,0,0.89478254,1
1,0,0.7774605,1
1,0,0.8366862,1
1,0,0.84436965,1
1,0,0.7001585,1
1,0,0.8803348,1
1,0,0.81717247,1
1,0,0.8285351,1
1,0,0.8766093,1
1,0,0.7766174,1
1,0,0.90046763,1
1,0,0.8284388,1
1,0,0.7838379,1
1,0,0.78686476,1
1,1,0.82522935,1
1,1,0.8324178,1
1,1,0.76702046,1
1,1,0.8095723,1
1,1,0.83540225,1
1,1,0.88094455,1
1,1,0.8646709,1
1,1,0.89399606,1
1,1,0.7827854,1
1,1,0.7985622,1
1,1,0.87611586,1
1,1,0.8873828,1
1,1,0.85604554,1
1,1,0.87503976,1
1,1,0.6487943,1
1,0,0.7856675,1
1,0,0.9198268,1
1,0,0.837712,1
1,0,0.8943943,1
1,0,0.90992236,1
1,0,0.8907164,1
1,0,0.7955895,1
1,0,0.8441794,1
1,0,0.8693829,1
1,0,0.7620335,1
1,0,0.8662535,1
1,0,0.82510537,1
1,0,0.81310195,1
1,0,0.8446121,1
1,0,0.92729795,1
1,0,0.9936585,1
1,0,0.9841188,1
1,0,0.98949194,1
1,0,0.98282546,1
1,0,0.9714588,1
1,0,0.9826508,1
1,0,0.9910144,1
1,0,0.98088706,1
1,0,0.9881098,1
1,0,0.99253076,1
1,0,0.9833725,1
1,0,0.98868495,1
1,0,0.9877604,1
1,0,0.9910505,1
1,0,0.98519623,1
1,0,0.95066243,1
1,0,0.8343805,1
1,0,0.89732754,1
1,0,0.8165928,1
1,0,0.9261594,1
1,0,0.82180786,1
1,0,0.8630086,1
1,0,0.8496401,1
1,0,0.67885774,1
1,0,0.79368025,1
1,0,0.864651,1
1,0,0.816379,1
1,0,0.81275344,1
1,0,0.7232031,1
1,0,0.8978953,1
1,0,0.8516711,1
1,0,0.74523044,1
1,0,0.9048121,1
1,0,0.88434666,1
1,0,0.81951445,1
1,0,0.78468174,1
1,0,0.83582515,1
1,0,0.89748293,1
1,0,0.80249584,1
1,0,0.88197,1
1,0,0.8881948,1
1,0,0.8385254,1
1,0,0.892809,1
1,0,0.78530675,1
1,0,0.8096345,1
1,0,0.8146349,1
1,0,0.8317843,1
1,0,0.87559474,1
1,0,0.7422989,1
1,0,0.8457634,1
1,0,0.86623377,1
1,0,0.889948,1
1,0,0.92252564,1
1,0,0.9050184,1
1,0,0.90618086,1
1,0,0.7739606,1
1,0,0.83216834,1
1,0,0.8054215,1
1,0,0.74596703,1
1,0,0.8209879,1
1,0,0.8365682,1
1,0,0.6751202,1
1,0,0.69639236,1
1,0,0.8440249,1
1,0,0.77963793,1
1,0,0.660221,1
1,0,0.71810323,1
1,0,0.805972,1
1,0,0.8120159,1
1,0,0.71409464,1
1,0,0.81879705,1
1,0,0.83485585,1
1,0,0.78706396,1
1,0,0.7313454,1
1,0,0.6907367,1
1,0,0.5507367,1
1,0,0.703623,1
1,0,0.8421502,1
1,0,0.7916536,1
1,0,0.84792435,1
1,0,0.76692295,1
1,0,0.6933361,1
1,0,0.606964,1
1,0,0.5911646,1
1,0,0.81408155,1
1,0,0.67354786,1
1,0,0.525838,1
1,0,0.7180683,1
1,0,0.74991137,1
1,0,0.7513906,1
1,0,0.8253214,1
1,0,0.89474875,1
1,0,0.8438709,1
1,0,0.8019487,1
1,0,0.89360446,1
1,0,0.8310486,1
1,0,0.8513564,1
1,0,0.7636818,1
1,0,0.8394317,1
1,0,0.83160406,1
1,0,0.7869528,1
1,0,0.79844534,1
1,0,0.77130634,1
1,0,0.78102624,1
1,0,0.8596844,1
1,0,0.90589523,1
1,0,0.8115364,1
1,0,0.82516193,1
1,0,0.8700981,1
1,0,0.7176503,1
1,0,0.74608624,1
1,0,0.73904014,1
1,0,0.7904448,1
1,0,0.7884675,1
1,0,0.877195,1
1,0,0.7899303,1
1,0,0.82460773,1
1,0,0.7373879,1
1,0,0.7394495,1
1,0,0.71675414,1
1,0,0.60110605,1
1,0,0.5436904,1
1,0,0.35888493,0
1,0,0.62330997,1
1,0,0.5261755,1
1,0,0.60270965,1
1,0,0.827332,1
1,0,0.5664421,1
1,0,0.75750375,1
1,0,0.87135375,1
1,0,0.85990834,1
1,0,0.9474603,1
1,0,0.91944534,1
1,0,0.8221185,1
1,0,0.75910115,1
1,0,0.9524901,1
