Fold,Label,Prob,Preds
1,1,0.46619895,0
1,1,0.42866427,0
1,1,0.41953486,0
1,1,0.4131428,0
1,1,0.37505022,0
1,1,0.42988157,0
1,1,0.40592575,0
1,1,0.4556204,0
1,1,0.412459,0
1,1,0.41776097,0
1,1,0.44073355,0
1,1,0.36956435,0
1,1,0.40026063,0
1,1,0.351377,0
1,1,0.3939711,0
1,1,0.38663736,0
1,1,0.3865893,0
1,1,0.3865893,0
1,1,0.41065735,0
1,1,0.37439695,0
1,1,0.34028187,0
1,1,0.35026965,0
1,1,0.37974963,0
1,1,0.4102563,0
1,1,0.41289258,0
1,1,0.36660632,0
1,1,0.3485815,0
1,1,0.3301459,0
1,1,0.3008956,0
1,1,0.32101864,0
1,1,0.32101864,0
1,1,0.4755167,0
1,1,0.53165,1
1,1,0.5879503,1
1,1,0.59756297,1
1,1,0.5897208,1
1,1,0.5915929,1
1,1,0.66283196,1
1,1,0.6667083,1
1,1,0.706162,1
1,1,0.7414547,1
1,1,0.8049365,1
1,1,0.8190458,1
1,1,0.80056894,1
1,1,0.777278,1
1,1,0.77185386,1
1,1,0.79349077,1
1,1,0.7568268,1
1,1,0.4385418,0
1,1,0.4567452,0
1,1,0.42655858,0
1,1,0.42167822,0
1,1,0.39686286,0
1,1,0.42062408,0
1,1,0.3849039,0
1,1,0.37282726,0
1,1,0.35680255,0
1,1,0.38760486,0
1,1,0.39990848,0
1,1,0.40676787,0
1,1,0.40676787,0
1,1,0.38692212,0
1,1,0.2355724,0
1,1,0.2165617,0
1,1,0.20725812,0
1,1,0.21637441,0
1,1,0.21478453,0
1,1,0.20943898,0
1,1,0.24501099,0
1,1,0.23058806,0
1,1,0.22305106,0
1,1,0.21212147,0
1,1,0.24086972,0
1,1,0.24086972,0
1,1,0.23211786,0
1,1,0.24780267,0
1,1,0.28496236,0
1,1,0.28585726,0
1,1,0.32266706,0
1,1,0.32725543,0
1,1,0.32624754,0
1,1,0.36308694,0
1,1,0.36703384,0
1,1,0.3329901,0
1,1,0.32223067,0
1,1,0.35257027,0
1,1,0.34772116,0
1,1,0.38348496,0
1,1,0.41462508,0
1,1,0.40514898,0
1,1,0.43592605,0
1,1,0.39864352,0
1,1,0.3324885,0
1,1,0.3117677,0
1,1,0.28850478,0
1,1,0.26761636,0
1,1,0.2818243,0
1,1,0.2699274,0
1,1,0.26786408,0
1,1,0.28684914,0
1,1,0.31891835,0
1,1,0.3316256,0
1,1,0.4257036,0
1,1,0.36725256,0
1,1,0.36725256,0
1,1,0.36360794,0
1,1,0.40243256,0
1,1,0.36564714,0
1,1,0.36786088,0
1,1,0.40290755,0
1,1,0.3871074,0
1,1,0.47351068,0
1,1,0.43438914,0
1,1,0.48000628,0
1,1,0.4839279,0
1,1,0.4839279,0
1,1,0.4403334,0
1,1,0.4579989,0
1,1,0.47575733,0
1,1,0.4856459,0
1,1,0.5034136,1
1,1,0.34557834,0
1,1,0.32650554,0
1,1,0.29314318,0
1,1,0.30584612,0
1,1,0.30584612,0
1,1,0.2739356,0
1,1,0.27195612,0
1,1,0.27281383,0
1,1,0.3010179,0
1,1,0.33905834,0
1,1,0.3147689,0
1,1,0.29257676,0
1,1,0.30665845,0
1,1,0.32167327,0
1,1,0.32286417,0
1,1,0.30252036,0
1,1,0.34529456,0
1,1,0.4000334,0
1,1,0.36571038,0
1,1,0.33206543,0
1,1,0.38141632,0
1,1,0.3634527,0
1,1,0.34847215,0
1,1,0.33975148,0
1,1,0.40916649,0
1,1,0.46095872,0
1,1,0.5132233,1
1,1,0.48336178,0
1,1,0.42655987,0
1,1,0.4280947,0
1,1,0.4280947,0
1,1,0.4031399,0
1,1,0.40133363,0
1,1,0.358482,0
1,1,0.36355498,0
1,1,0.34662724,0
1,1,0.37442085,0
1,1,0.4038953,0
1,1,0.36679018,0
1,1,0.3447438,0
1,1,0.3512194,0
1,1,0.32355157,0
1,1,0.36185184,0
1,1,0.38694182,0
1,1,0.34876406,0
1,1,0.35983574,0
1,1,0.36053365,0
1,1,0.3200249,0
1,0,0.5078953,1
1,0,0.5116847,1
1,0,0.512316,1
1,0,0.512316,1
1,0,0.4713728,0
1,0,0.4713728,0
1,0,0.4713728,0
1,0,0.47924355,0
1,0,0.43881348,0
1,0,0.4735535,0
1,0,0.4360089,0
1,0,0.42030564,0
1,0,0.4737249,0
1,0,0.42030564,0
1,0,0.44228524,0
1,0,0.4478745,0
1,0,0.48198572,0
1,0,0.48920348,0
1,0,0.53955865,1
1,0,0.5481682,1
1,0,0.5481682,1
1,0,0.50706804,1
1,0,0.52906466,1
1,0,0.56659836,1
1,0,0.55003905,1
1,0,0.59621185,1
1,0,0.5475169,1
1,0,0.56645864,1
1,0,0.6037273,1
1,0,0.5631782,1
1,0,0.5650222,1
1,0,0.521316,1
1,0,0.5387696,1
1,0,0.55918086,1
1,0,0.55224824,1
1,0,0.55224824,1
1,0,0.58965623,1
1,0,0.5672532,1
1,0,0.5334402,1
1,0,0.5580489,1
1,0,0.55678064,1
1,0,0.5826125,1
1,0,0.61118776,1
1,0,0.63025856,1
1,0,0.669178,1
1,0,0.63280857,1
1,0,0.65444463,1
1,0,0.6149007,1
1,0,0.5917802,1
1,0,0.61553526,1
1,0,0.54059964,1
1,0,0.5654013,1
1,0,0.5499455,1
1,0,0.5177034,1
1,0,0.53087294,1
1,0,0.4911177,0
1,0,0.4911177,0
1,0,0.5168705,1
1,0,0.54538894,1
1,0,0.52439386,1
1,0,0.53549,1
1,0,0.57375616,1
1,0,0.54310316,1
1,0,0.54310316,1
1,0,0.5607648,1
1,0,0.5607648,1
1,0,0.5607648,1
1,0,0.5607648,1
1,0,0.5376713,1
1,0,0.5376713,1
1,0,0.57227147,1
1,0,0.5407965,1
1,0,0.5104235,1
1,0,0.5061845,1
1,0,0.5542344,1
1,0,0.56205857,1
1,0,0.5250423,1
1,0,0.5084333,1
1,0,0.500286,1
1,0,0.4760752,0
1,0,0.500286,1
1,0,0.40266585,0
1,0,0.41424197,0
1,0,0.4481029,0
1,0,0.39641964,0
1,1,0.5119859,1
1,1,0.47694945,0
1,1,0.49750653,0
1,1,0.49750653,0
1,1,0.49750653,0
1,1,0.49750653,0
1,1,0.47708824,0
1,1,0.4259116,0
1,1,0.44246393,0
1,1,0.4211513,0
1,1,0.40469342,0
1,1,0.4211513,0
1,1,0.38094345,0
1,1,0.31294426,0
1,1,0.27243975,0
1,1,0.25577766,0
1,1,0.29932046,0
1,1,0.28419763,0
1,1,0.24039222,0
1,1,0.22602206,0
1,1,0.21076617,0
1,1,0.22185755,0
1,1,0.19021676,0
1,1,0.21679173,0
1,1,0.179737,0
1,1,0.1886995,0
1,1,0.21748139,0
1,1,0.22035563,0
1,1,0.32928947,0
1,1,0.37911904,0
1,1,0.41431567,0
1,1,0.3644666,0
1,1,0.34420282,0
1,1,0.32617018,0
1,1,0.34195518,0
1,1,0.3392717,0
1,1,0.37443522,0
1,1,0.3887522,0
1,1,0.3618469,0
1,1,0.2935266,0
1,1,0.29139206,0
1,1,0.15452176,0
1,1,0.19046342,0
1,1,0.20300765,0
1,1,0.21109043,0
1,1,0.2506766,0
1,1,0.28940415,0
1,1,0.3331638,0
1,1,0.3126544,0
1,1,0.41251525,0
1,1,0.38934627,0
1,1,0.39109802,0
1,1,0.3567887,0
1,1,0.28803518,0
1,1,0.29607624,0
1,1,0.2528186,0
1,1,0.2517104,0
1,1,0.26998553,0
1,1,0.2797937,0
1,1,0.39366326,0
1,1,0.4018077,0
1,1,0.38939485,0
1,1,0.38140774,0
1,1,0.33866245,0
1,1,0.38832453,0
1,1,0.34822664,0
1,1,0.31860977,0
1,1,0.32363722,0
1,1,0.34916952,0
1,1,0.37700418,0
1,1,0.3606513,0
1,1,0.37649035,0
1,1,0.37179884,0
1,1,0.3274108,0
1,1,0.3659791,0
1,1,0.3657357,0
1,1,0.37906003,0
1,1,0.36999506,0
1,1,0.3840315,0
1,1,0.36049244,0
1,1,0.41586897,0
1,0,0.37393886,0
1,0,0.37366328,0
1,0,0.37195924,0
1,0,0.33972347,0
1,0,0.31000724,0
1,0,0.28696728,0
1,0,0.3261196,0
1,0,0.31671515,0
1,0,0.3796115,0
1,0,0.39917848,0
1,0,0.38487402,0
1,0,0.37752262,0
1,1,0.34491715,0
1,1,0.3809258,0
1,1,0.41831467,0
1,1,0.39400384,0
1,1,0.36931965,0
1,1,0.3502064,0
1,1,0.364626,0
1,1,0.38158777,0
1,1,0.40689018,0
1,1,0.38776326,0
1,1,0.38763806,0
1,1,0.40065765,0
1,1,0.38289225,0
1,1,0.36668187,0
1,1,0.37896532,0
1,1,0.42581436,0
1,1,0.4304886,0
1,1,0.36853507,0
1,1,0.39052337,0
1,1,0.41348165,0
1,1,0.41040477,0
1,0,0.429299,0
1,0,0.43382132,0
1,0,0.41795373,0
1,0,0.39438182,0
1,0,0.36941227,0
1,0,0.32191387,0
1,0,0.3538492,0
1,0,0.35805282,0
1,0,0.34279367,0
1,0,0.34279367,0
1,0,0.34444508,0
1,1,0.36533716,0
1,1,0.3502168,0
1,1,0.35526568,0
1,1,0.34029475,0
1,1,0.34029475,0
1,0,0.3049844,0
1,0,0.32481885,0
1,0,0.30666676,0
1,0,0.32622072,0
1,0,0.3514243,0
1,0,0.31433463,0
1,0,0.3736958,0
1,0,0.39734638,0
1,0,0.3500528,0
1,0,0.35034695,0
1,0,0.36472794,0
1,0,0.37675187,0
1,0,0.4131156,0
1,0,0.4226596,0
1,0,0.38529742,0
1,0,0.3978557,0
1,0,0.36262318,0
1,0,0.39174297,0
1,0,0.37362647,0
1,0,0.35920727,0
1,0,0.418777,0
1,0,0.38109657,0
1,0,0.3934418,0
1,1,0.41906545,0
1,1,0.3999342,0
1,1,0.3999342,0
1,1,0.42958105,0
1,1,0.3866058,0
1,1,0.42014357,0
1,1,0.42014357,0
1,1,0.4000717,0
1,1,0.42359275,0
1,0,0.3549766,0
1,0,0.3387919,0
1,0,0.34751883,0
1,0,0.30201268,0
1,0,0.33715582,0
1,0,0.27898413,0
1,0,0.23708476,0
1,0,0.23056994,0
1,0,0.21059884,0
1,0,0.19995447,0
1,0,0.17697094,0
1,0,0.18739687,0
1,0,0.23151623,0
1,0,0.23128548,0
1,0,0.21500945,0
1,0,0.2659093,0
1,0,0.2703603,0
1,0,0.2703603,0
1,0,0.25373197,0
1,0,0.24848041,0
1,0,0.33090773,0
1,0,0.36879557,0
1,0,0.38287792,0
1,0,0.38164046,0
1,0,0.40965328,0
1,0,0.39150298,0
1,0,0.39150298,0
1,0,0.41925222,0
1,0,0.43662474,0
1,0,0.45676622,0
1,0,0.48603553,0
1,0,0.4700825,0
1,0,0.42765254,0
1,0,0.39669785,0
1,0,0.40991682,0
1,0,0.34564418,0
1,0,0.3465007,0
1,0,0.3492288,0
1,1,0.3314001,0
1,1,0.3352471,0
1,1,0.36035055,0
1,1,0.36035055,0
1,1,0.3732029,0
1,1,0.38151726,0
1,1,0.3494006,0
1,1,0.34720263,0
1,1,0.3535935,0
1,0,0.40615118,0
1,0,0.42594054,0
1,0,0.4448309,0
1,0,0.47272125,0
1,0,0.4545562,0
1,0,0.37591174,0
1,0,0.3244335,0
