Fold,Label,Prob,Preds
1,0,0.6299345,1
1,0,0.57932746,1
1,0,0.44766676,0
1,0,0.3518026,0
1,0,0.6676493,1
1,0,0.3642993,0
1,0,0.58213794,1
1,0,0.23223238,0
1,0,0.25324073,0
1,0,0.19452617,0
1,0,0.43463695,0
1,0,0.25927916,0
1,0,0.45514187,0
1,0,0.6883573,1
1,0,0.5942554,1
1,0,0.49093172,0
1,0,0.7052643,1
1,0,0.81555325,1
1,0,0.52536875,1
1,0,0.5249793,1
1,0,0.7736332,1
1,0,0.7972744,1
1,0,0.76756656,1
1,0,0.49882624,0
1,0,0.82328457,1
1,0,0.68473136,1
1,0,0.738191,1
1,0,0.8981397,1
1,0,0.22351094,0
1,0,0.34404513,0
1,0,0.22017054,0
1,0,0.34536934,0
1,0,0.867506,1
1,0,0.46810558,0
1,0,0.61311024,1
1,0,0.5166955,1
1,0,0.43816426,0
1,0,0.41706797,0
1,0,0.18278278,0
1,0,0.36399585,0
1,0,0.3321997,0
1,0,0.4038982,0
1,0,0.11065042,0
1,0,0.112184815,0
1,0,0.14084646,0
1,0,0.108718336,0
1,0,0.3727814,0
1,0,0.16754179,0
1,0,0.35266548,0
1,0,0.12478275,0
1,0,0.06962861,0
1,0,0.2129225,0
1,0,0.12933154,0
1,0,0.10735311,0
1,0,0.42440525,0
1,0,0.22376941,0
1,0,0.29971963,0
1,0,0.7230001,1
1,0,0.37669095,0
1,0,0.32881194,0
1,0,0.3138949,0
1,0,0.44016564,0
1,0,0.38716748,0
1,0,0.6489909,1
1,0,0.6377341,1
1,0,0.26283175,0
1,0,0.2134746,0
1,0,0.3480306,0
1,0,0.17372562,0
1,0,0.7291152,1
1,0,0.45496705,0
1,0,0.22137202,0
1,0,0.27758664,0
1,0,0.39465708,0
1,0,0.32440242,0
1,0,0.08538579,0
1,0,0.3739737,0
1,0,0.48893365,0
1,0,0.113949865,0
1,0,0.25209928,0
1,0,0.4416962,0
1,0,0.6578223,1
1,0,0.6361357,1
1,0,0.58884,1
1,0,0.40269965,0
1,0,0.101041734,0
1,0,0.34362203,0
1,0,0.12955372,0
1,0,0.22808053,0
1,0,0.35183644,0
1,0,0.65970486,1
1,0,0.32615504,0
1,0,0.5830441,1
1,0,0.49293914,0
1,0,0.32461467,0
1,0,0.07836466,0
1,0,0.32877856,0
1,0,0.23748225,0
1,0,0.15398657,0
1,0,0.44004336,0
1,0,0.72208065,1
1,0,0.6566493,1
1,0,0.89447296,1
1,0,0.7308443,1
1,0,0.75728977,1
1,0,0.5665827,1
1,0,0.59356976,1
1,0,0.26358002,0
1,0,0.60149366,1
1,0,0.58176446,1
1,0,0.19403934,0
1,0,0.5984918,1
1,0,0.66947293,1
1,0,0.44998798,0
1,0,0.558559,1
1,0,0.5218434,1
1,0,0.82885325,1
1,0,0.5318196,1
1,0,0.5785664,1
1,0,0.9324575,1
1,0,0.657306,1
1,0,0.6289369,1
1,0,0.60663944,1
1,0,0.4103568,0
1,0,0.37084427,0
1,0,0.46607035,0
1,0,0.6410675,1
1,0,0.6275916,1
1,0,0.6701599,1
1,0,0.6561676,1
1,0,0.7156534,1
1,0,0.58835965,1
1,0,0.41770482,0
1,0,0.30169356,0
1,0,0.60619676,1
1,0,0.7738215,1
1,0,0.7102365,1
1,0,0.77775615,1
1,0,0.7639625,1
1,0,0.6506002,1
1,0,0.3694068,0
1,0,0.31949663,0
1,0,0.74147797,1
1,0,0.25402692,0
1,0,0.46365273,0
1,0,0.59569883,1
1,0,0.47897553,0
1,0,0.366752,0
1,0,0.58033335,1
1,0,0.8576832,1
1,0,0.8495599,1
1,0,0.79001456,1
1,0,0.9089374,1
1,0,0.9186756,1
1,0,0.93036675,1
1,0,0.7223916,1
1,0,0.8274709,1
1,0,0.7807812,1
1,0,0.79720044,1
1,0,0.61131465,1
1,0,0.6673299,1
1,0,0.53757674,1
1,0,0.78402287,1
1,0,0.41058895,0
1,0,0.33285385,0
1,0,0.3958758,0
1,0,0.52514565,1
1,0,0.45267716,0
1,1,0.46811643,0
1,1,0.2787405,0
1,1,0.44151565,0
1,1,0.35634422,0
1,1,0.13887098,0
1,1,0.31749803,0
1,1,0.05964076,0
1,1,0.28034177,0
1,1,0.15733247,0
1,1,0.18310942,0
1,1,0.27825743,0
1,1,0.21987647,0
1,1,0.38910553,0
1,1,0.15149924,0
1,1,0.47539997,0
1,0,0.5677884,1
1,0,0.7018806,1
1,0,0.76987165,1
1,0,0.69957066,1
1,0,0.8573176,1
1,0,0.7158306,1
1,0,0.626102,1
1,0,0.6634791,1
1,0,0.56434786,1
1,0,0.43666804,0
1,0,0.58226275,1
1,0,0.6382363,1
1,0,0.35126245,0
1,0,0.50557554,1
1,0,0.5949286,1
1,0,0.74756944,1
1,0,0.6143883,1
1,0,0.66232365,1
1,0,0.7228589,1
1,0,0.36262006,0
1,0,0.419079,0
1,0,0.4516025,0
1,0,0.430412,0
1,0,0.55288637,1
1,0,0.2902791,0
1,0,0.18882614,0
1,0,0.37488347,0
1,0,0.48694003,0
1,0,0.37669256,0
1,0,0.36478922,0
1,0,0.14269745,0
1,0,0.3733475,0
1,0,0.32097992,0
1,0,0.20511748,0
1,0,0.47784773,0
1,0,0.43076393,0
1,0,0.5146609,1
1,0,0.24273145,0
1,0,0.54172933,1
1,0,0.28773457,0
1,0,0.4442708,0
1,0,0.70335495,1
1,0,0.3616971,0
1,0,0.2693926,0
1,0,0.21353853,0
1,0,0.2587187,0
1,0,0.37847996,0
1,0,0.45406216,0
1,0,0.6375018,1
1,0,0.45828226,0
1,0,0.5471407,1
1,0,0.7812344,1
1,0,0.81250566,1
1,0,0.7399157,1
1,1,0.41104904,0
1,1,0.48007467,0
1,1,0.36437604,0
1,1,0.6464232,1
1,1,0.64798254,1
1,1,0.57178384,1
1,1,0.4926603,0
1,1,0.38046625,0
1,1,0.4775937,0
1,1,0.34857327,0
1,1,0.5754609,1
1,1,0.66294616,1
1,1,0.47616744,0
1,1,0.8719666,1
1,1,0.79966843,1
1,0,0.38620615,0
1,0,0.11972976,0
1,0,0.41560918,0
1,0,0.18325944,0
1,0,0.22738357,0
1,0,0.34745306,0
1,0,0.65375197,1
1,0,0.2954538,0
1,0,0.63946366,1
1,0,0.61886114,1
1,0,0.3184147,0
1,0,0.14578189,0
1,0,0.41451624,0
1,0,0.38563582,0
1,0,0.19873561,0
1,0,0.4168176,0
1,0,0.71167785,1
1,0,0.6262862,1
1,0,0.8886924,1
1,0,0.66638505,1
1,0,0.7394181,1
1,0,0.56951153,1
1,0,0.6317244,1
1,0,0.28806862,0
1,0,0.6588331,1
1,0,0.63681614,1
1,0,0.23481332,0
1,0,0.7297147,1
1,0,0.7131875,1
1,0,0.52214426,1
1,0,0.51672065,1
1,0,0.49087903,0
1,0,0.7570824,1
1,0,0.4878781,0
1,0,0.57459575,1
1,0,0.8940309,1
1,0,0.67316467,1
1,0,0.6113506,1
1,0,0.6018163,1
1,0,0.39076504,0
1,0,0.44742686,0
1,0,0.47709075,0
1,0,0.639345,1
1,0,0.6373558,1
1,0,0.65603954,1
1,0,0.6195626,1
1,0,0.7134111,1
1,0,0.6356137,1
1,0,0.4599707,0
1,0,0.3513362,0
1,0,0.6450791,1
1,0,0.7939848,1
1,0,0.7140085,1
1,0,0.76723176,1
1,0,0.77222013,1
1,0,0.64271957,1
1,0,0.41400534,0
1,0,0.38976187,0
1,0,0.6859986,1
1,0,0.32998613,0
1,0,0.4902097,0
1,0,0.58705187,1
1,0,0.5151862,1
1,0,0.4597372,0
1,0,0.59909797,1
1,0,0.8473326,1
1,0,0.84260255,1
1,0,0.8149231,1
1,0,0.9055689,1
1,0,0.90356004,1
1,0,0.8963772,1
1,0,0.7566566,1
1,0,0.8406194,1
1,0,0.8027596,1
1,0,0.81218874,1
1,0,0.61734706,1
1,0,0.6464929,1
1,0,0.5648393,1
1,0,0.7512028,1
1,0,0.47391385,0
1,0,0.35471633,0
1,0,0.39549464,0
1,0,0.566238,1
1,0,0.48532066,0
1,1,0.45933753,0
1,1,0.323499,0
1,1,0.5419229,1
1,1,0.38019928,0
1,1,0.2003777,0
1,1,0.37218034,0
1,1,0.058405835,0
1,1,0.28933623,0
1,1,0.17510214,0
1,1,0.21196997,0
1,1,0.3835951,0
1,1,0.24704438,0
1,1,0.42926422,0
1,1,0.1776057,0
1,1,0.5234189,1
1,0,0.56232,1
1,0,0.63871205,1
1,0,0.71982807,1
1,0,0.6639884,1
1,0,0.76611984,1
1,0,0.6235951,1
1,0,0.5785366,1
1,0,0.6404135,1
1,0,0.57708514,1
1,0,0.44883612,0
1,0,0.5362038,1
1,0,0.5915881,1
1,0,0.39040104,0
1,0,0.55364424,1
1,0,0.5408099,1
1,0,0.66657233,1
1,0,0.5905702,1
1,0,0.5921519,1
1,0,0.6332515,1
1,0,0.3769377,0
1,0,0.45651254,0
1,0,0.4556067,0
1,0,0.41454813,0
1,0,0.458014,0
1,0,0.3458003,0
1,0,0.2915123,0
1,0,0.4484541,0
1,0,0.47860104,0
1,0,0.34778395,0
1,0,0.42644307,0
1,0,0.25728193,0
1,0,0.41214755,0
1,0,0.3584577,0
1,0,0.29285645,0
1,0,0.46553364,0
1,0,0.44659367,0
1,0,0.5224849,1
1,0,0.4056082,0
1,0,0.6061561,1
1,0,0.35130242,0
1,0,0.5651053,1
1,0,0.71520287,1
1,0,0.5220993,1
1,0,0.33757946,0
1,0,0.35529757,0
1,0,0.3146819,0
1,0,0.42317504,0
1,0,0.53926295,1
1,0,0.60372347,1
1,0,0.4061754,0
1,0,0.52620584,1
1,0,0.67901486,1
1,0,0.90525293,1
1,0,0.8562414,1
1,1,0.4707264,0
1,1,0.51354176,1
1,1,0.41535783,0
1,1,0.63008463,1
1,1,0.6629578,1
1,1,0.5288171,1
1,1,0.49682108,0
1,1,0.4134944,0
1,1,0.42174158,0
1,1,0.37934393,0
1,1,0.54820263,1
1,1,0.61741036,1
1,1,0.42691022,0
1,1,0.8728541,1
1,1,0.75350285,1
1,0,0.6682061,1
1,0,0.49539384,0
1,0,0.52117294,1
1,0,0.74938446,1
1,0,0.79509723,1
1,0,0.5563517,1
1,0,0.45983353,0
1,0,0.7000231,1
1,0,0.58972436,1
1,0,0.6660667,1
1,0,0.7782937,1
1,0,0.600406,1
1,0,0.6222476,1
1,0,0.41573355,0
1,0,0.68322515,1
1,0,0.84045464,1
1,0,0.8944268,1
1,0,0.67943263,1
1,0,0.9001683,1
1,0,0.8931543,1
1,0,0.93982655,1
1,0,0.9589213,1
1,0,0.9520111,1
1,0,0.96290547,1
1,0,0.94520956,1
1,0,0.9332138,1
1,0,0.8994589,1
1,0,0.9736198,1
1,0,0.9635587,1
1,0,0.90188587,1
1,0,0.7766684,1
1,0,0.7189307,1
1,0,0.8377376,1
1,0,0.8528479,1
1,0,0.7322254,1
1,0,0.5354212,1
1,0,0.77627534,1
1,0,0.8522958,1
1,0,0.74099195,1
1,0,0.33157358,0
1,0,0.6530512,1
1,0,0.8311853,1
1,0,0.73018533,1
1,0,0.5218067,1
1,0,0.86858255,1
1,0,0.79477847,1
1,0,0.8386154,1
1,0,0.8366301,1
1,0,0.8527808,1
1,0,0.8577015,1
1,0,0.9340292,1
1,0,0.960968,1
1,0,0.90013343,1
1,0,0.928371,1
1,0,0.90163034,1
1,0,0.7760251,1
1,0,0.8881761,1
1,0,0.7767791,1
1,0,0.7968224,1
1,0,0.88949835,1
1,0,0.80836415,1
1,0,0.8149771,1
1,0,0.8423367,1
1,0,0.67328525,1
1,0,0.82018054,1
1,0,0.7897328,1
1,0,0.9217358,1
1,0,0.89916927,1
1,0,0.8863499,1
1,0,0.90533954,1
1,0,0.9124722,1
1,0,0.9532082,1
1,0,0.85621816,1
1,0,0.8781601,1
1,0,0.5436101,1
1,0,0.6953998,1
1,0,0.65196174,1
1,0,0.7112455,1
1,0,0.64710253,1
1,0,0.56389594,1
1,0,0.5453545,1
1,0,0.69727993,1
1,0,0.65496725,1
1,0,0.5849729,1
1,0,0.6500772,1
1,0,0.5959136,1
1,0,0.8469614,1
1,0,0.6680156,1
1,0,0.58475596,1
1,0,0.38831118,0
1,0,0.548348,1
1,0,0.65256083,1
1,0,0.42061988,0
1,0,0.74153286,1
1,0,0.77277964,1
1,0,0.6675167,1
1,0,0.74379104,1
1,0,0.63139325,1
1,0,0.57279545,1
1,0,0.505012,1
1,0,0.4312549,0
1,0,0.42462808,0
1,0,0.5470418,1
1,0,0.62410545,1
1,0,0.7390822,1
1,0,0.62909687,1
1,0,0.61429614,1
1,0,0.66483986,1
1,0,0.80350274,1
1,0,0.92818165,1
1,0,0.83595455,1
1,0,0.84955114,1
1,0,0.60929894,1
1,0,0.6368488,1
1,0,0.84101343,1
1,0,0.9447651,1
1,0,0.94336987,1
1,0,0.9043571,1
1,0,0.94802696,1
1,0,0.9215095,1
1,0,0.82837695,1
1,0,0.8546017,1
1,0,0.795444,1
1,0,0.7519505,1
1,0,0.7389974,1
1,0,0.5544973,1
1,0,0.3998482,0
1,0,0.826543,1
1,0,0.49831218,0
1,0,0.32127735,0
1,0,0.34649262,0
1,0,0.21746211,0
1,0,0.5218249,1
1,0,0.17119782,0
1,0,0.09671966,0
1,0,0.0722137,0
1,0,0.12795387,0
1,0,0.3948364,0
1,0,0.41721514,0
1,0,0.40824017,0
1,0,0.60720146,1
1,0,0.7572034,1
1,0,0.6306857,1
1,0,0.7980413,1
1,0,0.8480576,1
1,0,0.8559547,1
1,0,0.9343409,1
1,0,0.8653663,1
1,0,0.8691926,1
1,0,0.91596407,1
1,0,0.76607984,1
1,0,0.63505346,1
1,0,0.63108397,1
1,0,0.66837656,1
1,0,0.5032265,1
1,0,0.6824311,1
1,0,0.43378264,0
1,0,0.6289069,1
1,0,0.61192334,1
1,0,0.7567414,1
1,0,0.86601514,1
1,0,0.80601704,1
1,0,0.75088745,1
1,0,0.83306336,1
1,0,0.84931254,1
1,0,0.8996707,1
1,0,0.60990655,1
1,0,0.92570746,1
1,0,0.82128483,1
1,0,0.6059674,1
1,0,0.777827,1
1,0,0.58944166,1
1,0,0.6840953,1
1,0,0.84083813,1
1,0,0.6675255,1
1,0,0.6450978,1
1,0,0.69690585,1
1,0,0.6315563,1
1,0,0.72066766,1
1,0,0.75108063,1
1,0,0.82458216,1
1,0,0.8378328,1
1,0,0.7215966,1
1,0,0.6639694,1
1,0,0.6501711,1
1,0,0.73686814,1
1,0,0.7446242,1
1,0,0.5971924,1
1,0,0.71308255,1
1,0,0.93630546,1
1,0,0.8606492,1
1,0,0.83952975,1
1,0,0.7621221,1
1,0,0.5458655,1
1,0,0.538483,1
1,0,0.6786231,1
1,0,0.8213978,1
1,0,0.61101645,1
1,0,0.7694737,1
1,0,0.7555667,1
1,0,0.8421661,1
1,0,0.86677575,1
