Fold,Label,Prob,Preds
1,0,0.4750535,0
1,0,0.38516533,0
1,0,0.39490327,0
1,0,0.40335593,0
1,0,0.39582366,0
1,0,0.40415654,0
1,0,0.41996354,0
1,0,0.4215766,0
1,0,0.416543,0
1,0,0.39499718,0
1,0,0.39700603,0
1,0,0.43090397,0
1,1,0.43694,0
1,1,0.4167447,0
1,1,0.420623,0
1,1,0.33944145,0
1,1,0.3408403,0
1,1,0.3513969,0
1,1,0.36201516,0
1,1,0.35172144,0
1,1,0.50217104,1
1,1,0.48097208,0
1,1,0.52175164,1
1,1,0.50479645,1
1,1,0.51329273,1
1,1,0.5224061,1
1,1,0.53266424,1
1,1,0.53476024,1
1,1,0.5706673,1
1,1,0.5417912,1
1,1,0.56399727,1
1,1,0.5450638,1
1,1,0.5521885,1
1,0,0.53086066,1
1,0,0.5283778,1
1,0,0.55514926,1
1,0,0.5330178,1
1,0,0.5550902,1
1,0,0.5588109,1
1,0,0.56542593,1
1,0,0.5655236,1
1,0,0.55129707,1
1,0,0.5612063,1
1,0,0.5876687,1
1,1,0.53173023,1
1,1,0.5535266,1
1,1,0.53917223,1
1,1,0.5576222,1
1,1,0.58794385,1
1,0,0.5830212,1
1,0,0.5667883,1
1,0,0.5944241,1
1,0,0.56175613,1
1,0,0.5171858,1
1,0,0.54843223,1
1,0,0.5580521,1
1,0,0.5568158,1
1,0,0.53110164,1
1,0,0.5690574,1
1,0,0.6109852,1
1,0,0.53474724,1
1,0,0.537689,1
1,0,0.58904886,1
1,0,0.57681423,1
1,0,0.5513921,1
1,0,0.59228104,1
1,0,0.52512246,1
1,0,0.5321024,1
1,0,0.551189,1
1,0,0.53793406,1
1,0,0.5307809,1
1,0,0.47337058,0
1,1,0.5146863,1
1,1,0.5033297,1
1,1,0.5187631,1
1,1,0.57921386,1
1,1,0.56520927,1
1,1,0.5559338,1
1,1,0.5742207,1
1,1,0.57216233,1
1,1,0.5644524,1
1,0,0.51830435,1
1,0,0.5581364,1
1,0,0.5760511,1
1,0,0.57906204,1
1,0,0.53409684,1
1,0,0.568129,1
1,0,0.56910276,1
1,0,0.49380356,0
1,0,0.53712255,1
1,0,0.5650436,1
1,0,0.5218876,1
1,0,0.5575417,1
1,0,0.53497785,1
1,0,0.5206581,1
1,0,0.544242,1
1,0,0.5297942,1
1,0,0.53206265,1
1,0,0.54750884,1
1,0,0.5385867,1
1,0,0.52474654,1
1,0,0.50523704,1
1,0,0.54293984,1
1,0,0.5057717,1
1,0,0.58660424,1
1,0,0.55838215,1
1,0,0.561307,1
1,0,0.557797,1
1,0,0.5699849,1
1,0,0.5140615,1
1,0,0.5340454,1
1,0,0.52418554,1
1,0,0.5206248,1
1,0,0.5581766,1
1,0,0.5981585,1
1,0,0.5655363,1
1,0,0.57972723,1
1,0,0.5530673,1
1,0,0.58844495,1
1,1,0.55855834,1
1,1,0.58238125,1
1,1,0.53895503,1
1,1,0.5124714,1
1,1,0.5282206,1
1,1,0.5118252,1
1,1,0.50375134,1
1,1,0.50615054,1
1,1,0.5371998,1
1,0,0.49277282,0
1,0,0.51222837,1
1,0,0.5078366,1
1,0,0.48271585,0
1,0,0.5050302,1
1,0,0.5172165,1
1,0,0.52641195,1
1,0,0.55218816,1
1,0,0.56689584,1
1,0,0.5525965,1
1,0,0.5551566,1
1,0,0.55750227,1
1,0,0.556826,1
1,0,0.49735492,0
1,0,0.52148646,1
1,0,0.51602066,1
1,0,0.48873323,0
1,0,0.5286396,1
1,0,0.5077272,1
1,0,0.5842688,1
1,0,0.5932294,1
1,0,0.5951667,1
1,0,0.58021384,1
1,0,0.52914685,1
1,0,0.55789673,1
1,0,0.5569766,1
1,0,0.5312956,1
1,1,0.5496184,1
1,1,0.56120765,1
1,1,0.58398205,1
1,1,0.5632409,1
1,1,0.5772862,1
1,1,0.57632035,1
1,1,0.5357563,1
1,1,0.5638265,1
1,1,0.5525648,1
1,0,0.5379741,1
1,0,0.57465845,1
1,0,0.49936336,0
1,0,0.5519218,1
1,0,0.51534873,1
1,0,0.5220529,1
1,0,0.5325978,1
1,1,0.54379106,1
1,1,0.5409901,1
1,1,0.5431122,1
1,1,0.47451112,0
1,1,0.5225127,1
1,1,0.5474923,1
1,1,0.56252015,1
1,1,0.576649,1
1,1,0.56127214,1
1,1,0.5160317,1
1,1,0.5252969,1
1,1,0.4986302,0
1,1,0.5365615,1
1,1,0.5528942,1
1,1,0.56601834,1
1,1,0.5509023,1
1,1,0.5375714,1
1,1,0.5725277,1
1,1,0.5939312,1
1,1,0.5477033,1
1,1,0.53751206,1
1,0,0.52509826,1
1,0,0.56213474,1
1,0,0.52652586,1
1,0,0.57563233,1
1,0,0.5689803,1
1,0,0.49668348,0
1,0,0.5395962,1
1,0,0.5045254,1
1,0,0.5279998,1
1,0,0.54942703,1
1,0,0.5353395,1
1,0,0.57975,1
1,0,0.5266311,1
1,0,0.566824,1
1,0,0.58587176,1
1,1,0.56929535,1
1,1,0.5286079,1
1,1,0.5344899,1
1,1,0.49890324,0
1,1,0.49640042,0
1,1,0.5449795,1
1,1,0.54525757,1
1,1,0.54399365,1
1,1,0.5821806,1
1,1,0.5277905,1
1,1,0.542474,1
1,1,0.49463266,0
1,1,0.5192925,1
1,1,0.48382777,0
1,1,0.5389595,1
1,1,0.5880026,1
1,1,0.58568746,1
1,0,0.5490192,1
1,0,0.5185542,1
1,0,0.5440894,1
1,0,0.56558067,1
1,0,0.52333236,1
1,0,0.56805915,1
1,0,0.53741175,1
1,0,0.5985285,1
1,0,0.49822906,0
1,0,0.543903,1
1,0,0.5325837,1
1,1,0.51029456,1
1,1,0.5657259,1
1,1,0.58655816,1
1,1,0.5655933,1
1,1,0.5123458,1
1,1,0.57021415,1
1,1,0.5540671,1
1,1,0.5432645,1
1,1,0.5503992,1
1,1,0.55403584,1
1,1,0.5630443,1
1,1,0.5770103,1
1,1,0.564918,1
1,1,0.49871638,0
1,1,0.5387161,1
1,1,0.56242687,1
1,1,0.5383965,1
1,1,0.5755903,1
1,1,0.54474473,1
1,1,0.59490865,1
1,1,0.5823016,1
1,1,0.55917984,1
1,1,0.51227564,1
1,1,0.5267019,1
1,1,0.5599446,1
1,1,0.46313018,0
1,1,0.52010155,1
1,1,0.55622935,1
1,1,0.5766615,1
1,1,0.5546689,1
1,1,0.56357074,1
1,1,0.5423643,1
1,1,0.5347426,1
1,1,0.5052723,1
1,1,0.5266601,1
1,1,0.53233606,1
1,1,0.52017623,1
1,1,0.51937646,1
1,1,0.54465985,1
1,1,0.585591,1
1,1,0.55983514,1
1,1,0.56993157,1
1,1,0.5437807,1
1,1,0.50573146,1
1,1,0.53690034,1
1,1,0.5177489,1
1,1,0.51715934,1
1,1,0.5248851,1
1,1,0.5569889,1
1,1,0.5425303,1
1,1,0.5698291,1
1,1,0.53972614,1
