Fold,Label,Prob,Preds
1,1,0.2629893,0
1,1,0.24188057,0
1,1,0.21734242,0
1,1,0.27667183,0
1,1,0.25292185,0
1,1,0.24622129,0
1,1,0.21439907,0
1,1,0.31840283,0
1,1,0.28443658,0
1,1,0.29885936,0
1,1,0.32888418,0
1,1,0.33716425,0
1,1,0.29833385,0
1,1,0.30846557,0
1,1,0.32456014,0
1,1,0.25769302,0
1,1,0.3057009,0
1,0,0.33204985,0
1,0,0.40713236,0
1,0,0.38391015,0
1,0,0.4648985,0
1,0,0.43160823,0
1,0,0.33837104,0
1,0,0.4239279,0
1,0,0.35609284,0
1,0,0.29219207,0
1,0,0.2610434,0
1,0,0.25029445,0
1,0,0.25742993,0
1,0,0.23921569,0
1,0,0.35648504,0
1,0,0.30669665,0
1,0,0.5476343,1
1,0,0.4445613,0
1,0,0.4417479,0
1,0,0.5087345,1
1,0,0.5077728,1
1,0,0.4314121,0
1,0,0.4873824,0
1,0,0.4377316,0
1,0,0.4417031,0
1,0,0.41944757,0
1,0,0.4547567,0
1,0,0.5032547,1
1,0,0.55007505,1
1,0,0.5041512,1
1,0,0.42658907,0
1,0,0.34937468,0
1,0,0.42852342,0
1,0,0.27866337,0
1,0,0.2350248,0
1,0,0.30043378,0
1,0,0.2190343,0
1,0,0.20998836,0
1,0,0.16346347,0
1,0,0.17571516,0
1,0,0.1822742,0
1,0,0.1583107,0
1,0,0.18582468,0
1,0,0.15741663,0
1,0,0.20691983,0
1,0,0.15685812,0
1,0,0.1711506,0
1,0,0.20203274,0
1,0,0.17377065,0
1,0,0.20338976,0
1,0,0.14039685,0
1,0,0.20444502,0
1,0,0.14991671,0
1,0,0.19244975,0
1,0,0.25086263,0
1,0,0.20067184,0
1,0,0.23663573,0
1,0,0.25819013,0
1,0,0.28939772,0
1,0,0.52288675,1
1,0,0.54380244,1
1,0,0.6395152,1
1,0,0.61630476,1
1,0,0.5219302,1
1,0,0.6372974,1
1,0,0.4786388,0
1,0,0.50426483,1
1,0,0.49467632,0
1,0,0.35392925,0
1,0,0.37578118,0
1,0,0.2964805,0
1,0,0.27552778,0
1,0,0.41814157,0
1,0,0.40932998,0
1,0,0.35476628,0
1,0,0.28667605,0
1,0,0.38703382,0
1,0,0.3982253,0
1,0,0.18731014,0
1,0,0.17194572,0
1,0,0.19616953,0
1,0,0.19716111,0
1,0,0.20804201,0
1,0,0.17166303,0
1,0,0.12591936,0
1,0,0.13660009,0
1,0,0.15179007,0
1,0,0.17896654,0
1,0,0.17080066,0
1,0,0.21137118,0
1,0,0.2065032,0
1,0,0.18391939,0
1,0,0.21669197,0
1,0,0.19372457,0
1,0,0.15988746,0
1,0,0.15943488,0
1,1,0.5844695,1
1,1,0.6917352,1
1,1,0.714723,1
1,1,0.75920427,1
1,1,0.76124984,1
1,1,0.74714494,1
1,1,0.73912174,1
1,1,0.5823306,1
1,1,0.6106794,1
1,1,0.5042619,1
1,1,0.56216896,1
1,1,0.58137715,1
1,1,0.6198974,1
1,1,0.6822763,1
1,1,0.6842123,1
1,1,0.70477533,1
1,1,0.68177915,1
1,1,0.61854863,1
1,1,0.5232761,1
1,1,0.4291828,0
1,1,0.43851447,0
1,1,0.43646967,0
1,1,0.33013135,0
1,1,0.34422946,0
1,1,0.34256563,0
1,1,0.38781345,0
1,1,0.3074601,0
1,1,0.28911313,0
1,1,0.2729456,0
1,1,0.4369258,0
1,1,0.72269714,1
1,1,0.7491154,1
1,1,0.6922419,1
1,1,0.7493145,1
1,1,0.6652965,1
1,1,0.6971998,1
1,1,0.5085828,1
1,1,0.6500113,1
1,1,0.5941792,1
1,1,0.5873339,1
1,1,0.5818078,1
1,1,0.46511754,0
1,1,0.5088902,1
1,1,0.6588605,1
1,1,0.43822142,0
1,1,0.4252825,0
1,1,0.46944866,0
1,1,0.5010001,1
1,1,0.5468028,1
1,1,0.48774403,0
1,1,0.18369646,0
1,1,0.16454089,0
1,1,0.17768449,0
1,1,0.18116075,0
1,1,0.18740793,0
1,1,0.1492819,0
1,1,0.18211488,0
1,1,0.206442,0
1,1,0.18378553,0
1,1,0.22082283,0
1,1,0.14867844,0
1,1,0.19829626,0
1,1,0.15013544,0
1,1,0.18468519,0
1,1,0.23536664,0
1,1,0.18825464,0
1,1,0.23064642,0
1,1,0.24848342,0
1,1,0.29085907,0
1,1,0.28372097,0
1,1,0.40490654,0
1,1,0.43343776,0
1,1,0.6465655,1
1,1,0.61441565,1
1,1,0.7465694,1
1,1,0.8171895,1
1,1,0.74877524,1
1,1,0.77155876,1
1,1,0.7188532,1
1,1,0.8142541,1
1,1,0.72734195,1
1,1,0.6881687,1
1,1,0.7852852,1
1,1,0.7552648,1
1,1,0.63531584,1
1,1,0.65388393,1
1,1,0.6810317,1
1,1,0.5931559,1
1,1,0.45713562,0
1,1,0.4818594,0
1,1,0.32794625,0
1,1,0.30381572,0
1,1,0.33138102,0
1,1,0.34249607,0
1,1,0.32674676,0
1,1,0.30281022,0
1,1,0.27239376,0
1,1,0.3599037,0
1,1,0.30531812,0
1,1,0.38068405,0
1,1,0.44037345,0
1,1,0.55925673,1
1,1,0.60134083,1
1,1,0.68606406,1
1,1,0.64532113,1
1,1,0.70061046,1
1,1,0.76268387,1
1,1,0.6666528,1
1,1,0.6219122,1
1,1,0.5924319,1
1,1,0.60459596,1
1,1,0.63104564,1
1,1,0.6751371,1
1,1,0.61353743,1
1,1,0.66395366,1
1,1,0.55493015,1
1,1,0.6255526,1
1,0,0.5356885,1
1,0,0.5612573,1
1,0,0.5815013,1
1,0,0.56022346,1
1,0,0.52187055,1
1,0,0.5182732,1
1,0,0.53584135,1
1,0,0.6221944,1
1,0,0.58662236,1
1,0,0.48415053,0
1,0,0.59948057,1
1,0,0.432372,0
1,0,0.4860753,0
1,0,0.45320755,0
1,0,0.255683,0
1,0,0.21340413,0
1,0,0.23807427,0
1,0,0.23923746,0
1,0,0.17454685,0
1,0,0.24866246,0
1,0,0.19592883,0
1,0,0.27339104,0
1,0,0.21425165,0
1,0,0.27109665,0
1,0,0.2458905,0
1,0,0.26574215,0
1,0,0.27923974,0
1,0,0.28706494,0
1,0,0.2629256,0
1,0,0.30116156,0
1,0,0.3161385,0
1,0,0.35393262,0
1,0,0.22072229,0
1,0,0.31013483,0
1,1,0.36623242,0
1,1,0.34833387,0
1,1,0.42033976,0
1,1,0.38492802,0
1,1,0.45979747,0
1,1,0.42049947,0
1,1,0.44524062,0
1,1,0.45841014,0
1,1,0.50900024,1
1,1,0.43616357,0
1,0,0.45168337,0
1,0,0.43578562,0
1,0,0.42935118,0
1,0,0.37522027,0
1,0,0.36229444,0
1,0,0.3131671,0
1,0,0.28372297,0
1,0,0.26579383,0
1,0,0.2455356,0
1,0,0.24397677,0
1,0,0.23297751,0
1,0,0.22491829,0
1,0,0.2628649,0
1,0,0.26194158,0
1,0,0.26237026,0
1,0,0.2570536,0
1,0,0.23764586,0
1,0,0.25244638,0
1,0,0.3202492,0
1,0,0.26636758,0
1,0,0.2515853,0
1,0,0.2902576,0
1,0,0.30231142,0
1,0,0.39230067,0
1,0,0.4056144,0
1,0,0.4048808,0
1,0,0.4784309,0
1,0,0.5438458,1
1,0,0.5670731,1
1,0,0.5443757,1
1,0,0.4463813,0
1,0,0.44701055,0
1,0,0.5550142,1
1,0,0.424251,0
1,0,0.4131042,0
1,0,0.5605414,1
1,0,0.41449428,0
1,0,0.4819262,0
1,0,0.5153498,1
1,0,0.4544422,0
1,0,0.5310351,1
1,0,0.4585499,0
1,0,0.51405126,1
1,0,0.45892668,0
1,0,0.46189794,0
1,0,0.49681014,0
1,0,0.2966843,0
1,0,0.38908195,0
1,0,0.46393764,0
1,0,0.37896788,0
1,0,0.2960259,0
1,0,0.35342678,0
1,0,0.30323747,0
1,0,0.25980124,0
1,0,0.20407805,0
1,0,0.22499034,0
1,0,0.18850179,0
1,0,0.12997593,0
1,0,0.14504743,0
1,0,0.23755455,0
1,0,0.21825588,0
1,0,0.26334125,0
1,0,0.19759646,0
1,0,0.2492638,0
1,0,0.4162649,0
1,0,0.2660907,0
1,0,0.27919206,0
1,0,0.31942937,0
1,0,0.3227216,0
1,0,0.3549532,0
1,0,0.3703166,0
1,0,0.35803005,0
1,0,0.3050222,0
1,0,0.34490156,0
1,0,0.38617742,0
1,0,0.30492243,0
1,0,0.31369045,0
1,0,0.3406483,0
1,0,0.33978602,0
1,0,0.23523454,0
1,0,0.2758399,0
1,0,0.26664943,0
1,0,0.26761436,0
1,0,0.27392897,0
1,0,0.279651,0
1,0,0.24046907,0
1,0,0.15801363,0
1,0,0.17260945,0
1,0,0.2213174,0
1,0,0.19699486,0
1,0,0.18070719,0
1,0,0.21679695,0
1,0,0.22105742,0
1,0,0.12627059,0
1,0,0.14476259,0
1,0,0.19459069,0
1,0,0.13507761,0
1,0,0.11535759,0
1,0,0.10460838,0
1,0,0.11029638,0
1,0,0.08328249,0
1,0,0.084934555,0
1,0,0.09742679,0
1,0,0.10448852,0
1,0,0.09858657,0
1,0,0.11070026,0
1,0,0.11663525,0
1,0,0.09992782,0
1,0,0.10598185,0
1,0,0.09635987,0
1,0,0.09967765,0
1,0,0.098828666,0
1,0,0.110993974,0
1,0,0.14865315,0
1,0,0.12970588,0
1,0,0.14527188,0
1,0,0.14651655,0
1,0,0.16151685,0
1,0,0.15616882,0
1,0,0.18552314,0
1,0,0.17388135,0
1,0,0.19651046,0
1,0,0.19728473,0
1,0,0.28782937,0
1,0,0.34260982,0
1,0,0.30138677,0
1,0,0.31094375,0
1,0,0.4247578,0
1,0,0.274763,0
1,0,0.27244133,0
1,0,0.20250672,0
1,0,0.19792412,0
1,0,0.1750297,0
1,0,0.17285915,0
1,0,0.13787188,0
1,0,0.12545593,0
1,0,0.12085165,0
1,0,0.120298296,0
1,0,0.15050785,0
1,0,0.15533827,0
1,0,0.13492441,0
1,0,0.119468816,0
1,0,0.13241518,0
1,0,0.17259607,0
1,0,0.17617932,0
1,0,0.22225368,0
1,0,0.19070116,0
1,0,0.1896563,0
1,0,0.20650479,0
1,0,0.18462172,0
1,0,0.23429935,0
1,0,0.2118894,0
1,0,0.22023316,0
1,0,0.22099984,0
1,0,0.27451056,0
1,0,0.2351972,0
1,0,0.23022796,0
1,0,0.24120721,0
1,0,0.23416333,0
1,0,0.2281072,0
1,0,0.19521612,0
1,0,0.22271982,0
1,0,0.21809353,0
1,0,0.14119369,0
1,0,0.23550195,0
1,0,0.25092533,0
1,0,0.26192075,0
1,0,0.2365174,0
1,0,0.34863076,0
1,0,0.38629314,0
1,0,0.45574284,0
1,0,0.3269769,0
1,0,0.45334953,0
1,0,0.2672013,0
1,0,0.30507302,0
1,0,0.28935555,0
1,0,0.22185148,0
1,0,0.23574102,0
1,0,0.21626979,0
1,0,0.23002821,0
1,0,0.27938253,0
1,0,0.2833957,0
1,0,0.22565287,0
1,0,0.2842964,0
1,0,0.38912907,0
1,0,0.2408388,0
1,0,0.18038653,0
1,0,0.28632164,0
1,0,0.22907515,0
1,0,0.24158037,0
1,0,0.20026112,0
1,0,0.2988402,0
1,0,0.29389995,0
1,0,0.26540005,0
1,0,0.30436423,0
1,0,0.28364906,0
1,0,0.27264097,0
1,0,0.2508432,0
1,0,0.32701153,0
1,0,0.21783794,0
1,0,0.2022529,0
1,0,0.25438923,0
1,0,0.18240777,0
1,0,0.22099103,0
1,0,0.22736032,0
1,0,0.17089082,0
1,0,0.21120282,0
1,0,0.27685863,0
1,0,0.2535139,0
1,0,0.17350867,0
1,0,0.28754532,0
1,0,0.18405657,0
1,0,0.15938412,0
1,0,0.14742947,0
1,0,0.16824612,0
1,0,0.14798707,0
1,0,0.14929804,0
1,0,0.1305434,0
1,0,0.12875965,0
1,0,0.11597804,0
1,0,0.17065899,0
1,0,0.14864565,0
1,0,0.14223808,0
1,0,0.14631271,0
1,0,0.16060159,0
1,0,0.20653042,0
1,0,0.219379,0
1,0,0.22491181,0
1,0,0.14144076,0
1,0,0.22585464,0
1,0,0.21455148,0
1,0,0.23321435,0
1,0,0.21298051,0
1,0,0.18733066,0
1,0,0.19094825,0
1,0,0.18060786,0
1,0,0.24697381,0
1,0,0.21870613,0
1,0,0.24226424,0
1,0,0.29293573,0
1,0,0.3878129,0
1,0,0.37165797,0
1,0,0.4029863,0
1,0,0.51494116,1
1,0,0.47374594,0
1,0,0.45667735,0
1,0,0.46946058,0
1,0,0.5431713,1
1,0,0.6061834,1
1,0,0.5230638,1
1,0,0.5893989,1
1,0,0.58532906,1
1,0,0.54124177,1
