Fold,Label,Prob,Preds
1,1,0.19927879,0
1,1,0.20236292,0
1,1,0.21294306,0
1,1,0.24711807,0
1,1,0.23518558,0
1,1,0.24963033,0
1,1,0.27994737,0
1,1,0.29846084,0
1,1,0.30708987,0
1,1,0.30295813,0
1,1,0.2731085,0
1,1,0.2731085,0
1,1,0.27685413,0
1,1,0.25653514,0
1,1,0.3016095,0
1,1,0.3547381,0
1,1,0.316528,0
1,1,0.33946422,0
1,1,0.34377423,0
1,1,0.32333776,0
1,1,0.32578307,0
1,1,0.25507528,0
1,1,0.23661794,0
1,1,0.26315978,0
1,1,0.23986134,0
1,1,0.26382792,0
1,1,0.28737736,0
1,1,0.251872,0
1,1,0.20974888,0
1,1,0.20476429,0
1,1,0.18408622,0
1,1,0.22179094,0
1,1,0.22961044,0
1,1,0.21284688,0
1,1,0.11679514,0
1,1,0.106377736,0
1,1,0.11681557,0
1,1,0.12224459,0
1,1,0.12224459,0
1,1,0.12224459,0
1,1,0.116335966,0
1,1,0.11701954,0
1,1,0.11599074,0
1,1,0.12815185,0
1,1,0.12240529,0
1,1,0.19927879,0
1,1,0.20236292,0
1,1,0.21294306,0
1,1,0.24711807,0
1,1,0.23518558,0
1,1,0.24963033,0
1,1,0.27994737,0
1,1,0.29846084,0
1,1,0.30708987,0
1,1,0.30295813,0
1,1,0.2731085,0
1,1,0.2731085,0
1,1,0.27685413,0
1,1,0.25653514,0
1,1,0.12832415,0
1,1,0.12879589,0
1,1,0.1337216,0
1,1,0.14333518,0
1,1,0.13088004,0
1,1,0.13088004,0
1,1,0.16172488,0
1,1,0.18317075,0
1,1,0.22210164,0
1,1,0.2531732,0
1,1,0.31673136,0
1,1,0.33031705,0
1,1,0.3115145,0
1,1,0.31178445,0
1,1,0.3662056,0
1,1,0.3572622,0
1,1,0.38490832,0
1,1,0.36024165,0
1,1,0.22779922,0
1,1,0.22439271,0
1,1,0.23186664,0
1,1,0.24763642,0
1,1,0.24706545,0
1,1,0.26790318,0
1,1,0.25951415,0
1,1,0.24075212,0
1,1,0.21836655,0
1,1,0.20105754,0
1,1,0.20462085,0
1,1,0.20462085,0
1,1,0.20908011,0
1,1,0.19537024,0
1,1,0.22861212,0
1,1,0.22861212,0
1,1,0.20726213,0
1,1,0.22103518,0
1,1,0.18957941,0
1,1,0.178039,0
1,1,0.20146695,0
1,1,0.24030161,0
1,1,0.22168462,0
1,1,0.21633215,0
1,1,0.25760964,0
1,1,0.3092716,0
1,1,0.34577727,0
1,1,0.33063278,0
1,1,0.30282086,0
1,1,0.30282086,0
1,1,0.2921693,0
1,1,0.31394354,0
1,1,0.28430387,0
1,1,0.14829853,0
1,1,0.14705664,0
1,1,0.16082674,0
1,1,0.17282152,0
1,1,0.17142867,0
1,1,0.16876107,0
1,1,0.16876107,0
1,1,0.16876107,0
1,1,0.22173184,0
1,1,0.19472094,0
1,1,0.2064574,0
1,1,0.2198036,0
1,1,0.21606809,0
1,1,0.20016158,0
1,1,0.2415721,0
1,1,0.26642224,0
1,1,0.30903542,0
1,1,0.29311368,0
1,1,0.27593622,0
1,1,0.28625652,0
1,1,0.28067115,0
1,1,0.27546802,0
1,1,0.25171077,0
1,1,0.23264708,0
1,1,0.28719184,0
1,1,0.25171077,0
1,1,0.20236292,0
1,1,0.21294306,0
1,1,0.24711807,0
1,1,0.23518558,0
1,1,0.24963033,0
1,1,0.27994737,0
1,1,0.29846084,0
1,1,0.30708987,0
1,1,0.30295813,0
1,1,0.2731085,0
1,1,0.2731085,0
1,1,0.27685413,0
1,1,0.25653514,0
1,1,0.24304207,0
1,1,0.23165311,0
1,1,0.2086515,0
1,1,0.23030192,0
1,1,0.20531449,0
1,1,0.16102943,0
1,1,0.16654623,0
1,1,0.1515705,0
1,1,0.15420796,0
1,1,0.14188164,0
1,1,0.16127026,0
1,1,0.157829,0
1,1,0.13138217,0
1,1,0.13653232,0
1,1,0.13840736,0
1,1,0.13026415,0
1,1,0.14566138,0
1,1,0.20688131,0
1,1,0.22124806,0
1,1,0.25664535,0
1,1,0.27154523,0
1,1,0.24034238,0
1,1,0.22370848,0
1,1,0.25317007,0
1,1,0.26592216,0
1,1,0.2712765,0
1,1,0.24888533,0
1,1,0.23659556,0
1,1,0.20412818,0
1,1,0.2164401,0
1,1,0.21601921,0
1,1,0.23274025,0
1,1,0.20409168,0
1,1,0.16414218,0
1,1,0.15580104,0
1,1,0.15514328,0
1,1,0.12773411,0
1,1,0.13395464,0
1,1,0.15366076,0
1,1,0.12729189,0
1,1,0.14719604,0
1,1,0.11437263,0
1,1,0.17754737,0
1,1,0.17754737,0
1,1,0.21261808,0
1,1,0.20106721,0
1,1,0.20001046,0
1,1,0.19832098,0
1,1,0.21169776,0
1,1,0.21169776,0
1,1,0.21240588,0
1,1,0.220715,0
1,1,0.18860447,0
1,1,0.18658242,0
1,1,0.18060094,0
1,1,0.16438286,0
1,1,0.202379,0
1,1,0.20361225,0
1,1,0.17979601,0
1,1,0.18343651,0
1,1,0.17844564,0
1,1,0.19545291,0
1,1,0.23805547,0
1,1,0.17832369,0
1,1,0.172495,0
1,1,0.172495,0
1,1,0.17754737,0
1,1,0.17754737,0
1,1,0.21261808,0
1,1,0.22870445,0
1,1,0.2275814,0
1,1,0.22457393,0
1,1,0.2343826,0
1,1,0.2343826,0
1,1,0.23625699,0
1,1,0.24523379,0
1,1,0.20985962,0
1,1,0.20761766,0
1,1,0.20105052,0
1,1,0.1833578,0
1,1,0.22527635,0
1,1,0.1800704,0
1,1,0.19015048,0
1,1,0.15276955,0
1,1,0.18049815,0
1,1,0.17593117,0
1,1,0.17423457,0
1,1,0.17219898,0
1,1,0.17963524,0
1,1,0.14323287,0
1,1,0.15802279,0
1,1,0.19516763,0
1,1,0.20961714,0
1,1,0.20467025,0
1,1,0.19168428,0
1,1,0.19379112,0
1,1,0.17697449,0
1,1,0.18997084,0
1,1,0.18849374,0
1,1,0.18327656,0
1,1,0.17713137,0
1,1,0.1725476,0
1,1,0.15514328,0
1,1,0.12773411,0
1,1,0.13395464,0
1,1,0.15366076,0
1,1,0.12729189,0
1,1,0.14719604,0
1,1,0.11437263,0
1,0,0.24090198,0
1,0,0.2380438,0
1,0,0.23599596,0
1,0,0.2647573,0
1,0,0.30085176,0
1,0,0.28816733,0
1,0,0.28816733,0
1,0,0.26519203,0
1,0,0.23083273,0
1,1,0.23402625,0
1,1,0.2222362,0
1,1,0.2222362,0
1,1,0.23592633,0
1,1,0.27307132,0
1,1,0.27540466,0
1,1,0.30128595,0
1,1,0.20361225,0
1,1,0.17979601,0
1,1,0.18343651,0
1,1,0.17844564,0
1,1,0.19545291,0
1,1,0.23805547,0
1,1,0.17832369,0
1,1,0.172495,0
1,1,0.172495,0
1,1,0.23525214,0
1,1,0.2376981,0
1,1,0.21799628,0
1,1,0.23424259,0
1,1,0.2333844,0
1,1,0.26790318,0
1,1,0.25951415,0
1,1,0.24075212,0
1,1,0.24044265,0
1,1,0.22061495,0
1,1,0.19654745,0
1,1,0.17432228,0
1,1,0.17199217,0
1,1,0.18947628,0
1,1,0.19681564,0
1,1,0.19945453,0
1,1,0.19327077,0
1,1,0.20488241,0
1,1,0.17586562,0
1,1,0.16886812,0
1,1,0.19101897,0
1,1,0.19095053,0
1,1,0.20927063,0
1,1,0.20324123,0
1,1,0.19144967,0
1,1,0.19144967,0
1,1,0.19144967,0
1,1,0.1788354,0
1,1,0.17349762,0
1,1,0.14433639,0
1,1,0.12844883,0
1,1,0.15542981,0
1,1,0.14136706,0
1,1,0.17834464,0
1,1,0.17942193,0
1,1,0.18789934,0
1,1,0.18829484,0
1,1,0.19927879,0
1,1,0.20236292,0
1,1,0.21294306,0
1,1,0.24711807,0
1,1,0.23518558,0
1,1,0.24963033,0
1,1,0.27994737,0
1,1,0.29846084,0
1,1,0.30708987,0
1,1,0.30295813,0
1,1,0.2731085,0
1,1,0.2731085,0
1,1,0.27685413,0
1,1,0.25653514,0
1,1,0.24304207,0
1,1,0.23165311,0
1,1,0.2086515,0
1,1,0.16227177,0
1,1,0.18795675,0
1,1,0.1753841,0
1,1,0.19583225,0
1,1,0.20321225,0
1,1,0.20923346,0
1,1,0.22052975,0
1,1,0.24741893,0
1,1,0.27601686,0
1,1,0.13164015,0
1,1,0.15532298,0
1,1,0.14925653,0
1,1,0.16488251,0
1,1,0.145153,0
1,1,0.15208821,0
1,1,0.17147166,0
1,1,0.19146332,0
1,1,0.17948008,0
1,1,0.18024409,0
1,1,0.19661847,0
1,1,0.19661847,0
1,1,0.19555072,0
1,1,0.30146968,0
1,1,0.25282857,0
1,1,0.23681532,0
1,1,0.23516448,0
1,1,0.23516448,0
1,1,0.25633848,0
1,1,0.23008685,0
1,1,0.24495563,0
1,1,0.23148128,0
1,1,0.21513619,0
1,1,0.21732368,0
1,1,0.22893855,0
1,1,0.24859323,0
1,1,0.25871783,0
1,1,0.2282377,0
1,1,0.22303198,0
1,1,0.2115485,0
1,1,0.21058163,0
1,1,0.21633215,0
1,1,0.25984675,0
1,1,0.34577727,0
1,1,0.33063278,0
1,1,0.37203765,0
1,1,0.37203765,0
1,1,0.36535448,0
1,1,0.3826623,0
1,1,0.355841,0
1,1,0.3817412,0
1,1,0.3910574,0
1,1,0.26000395,0
1,1,0.2455098,0
1,1,0.23712364,0
1,1,0.22859102,0
1,1,0.2900392,0
1,1,0.3394223,0
1,1,0.3223026,0
1,1,0.3376483,0
1,1,0.3376483,0
1,1,0.35064575,0
1,1,0.36875337,0
1,1,0.34469554,0
1,1,0.36875337,0
1,1,0.3718434,0
1,1,0.21831219,0
1,1,0.21562742,0
1,1,0.21373019,0
1,1,0.24271476,0
1,1,0.27971232,0
1,1,0.26684192,0
1,1,0.26684192,0
1,1,0.26519203,0
1,1,0.23083273,0
1,1,0.2302632,0
1,1,0.19530077,0
1,1,0.17074661,0
1,1,0.14779845,0
1,1,0.14101148,0
1,1,0.14481853,0
1,1,0.15234096,0
1,1,0.16289176,0
1,1,0.15898316,0
1,1,0.1414902,0
1,1,0.12168937,0
1,1,0.10753734,0
1,1,0.11985068,0
1,1,0.11584487,0
1,1,0.12654586,0
1,1,0.24805707,0
1,1,0.26216167,0
1,1,0.28194445,0
1,1,0.30001926,0
1,1,0.30001926,0
1,1,0.28248432,0
1,1,0.26156497,0
1,1,0.2696535,0
1,1,0.2696535,0
1,0,0.27690226,0
1,0,0.2721893,0
1,0,0.32105708,0
1,0,0.3218519,0
1,0,0.30754545,0
1,0,0.28451622,0
1,0,0.2208528,0
1,0,0.21009669,0
1,0,0.18113467,0
1,0,0.18191595,0
1,0,0.15040348,0
1,0,0.17865384,0
1,0,0.16668321,0
1,0,0.19492477,0
