Fold,Label,Prob,Preds
1,0,0.9221248,1
1,0,0.9160515,1
1,0,0.779994,1
1,0,0.9157075,1
1,0,0.89991415,1
1,0,0.853077,1
1,0,0.8522228,1
1,0,0.86088747,1
1,0,0.85796386,1
1,0,0.7956506,1
1,0,0.88100815,1
1,0,0.83238006,1
1,0,0.72833806,1
1,0,0.7249465,1
1,0,0.79978216,1
1,0,0.7210309,1
1,0,0.7821909,1
1,0,0.7944508,1
1,0,0.7479052,1
1,0,0.74258286,1
1,0,0.7540757,1
1,0,0.8106304,1
1,0,0.60772717,1
1,0,0.7774707,1
1,0,0.7089178,1
1,0,0.713492,1
1,0,0.7347987,1
1,0,0.81596506,1
1,0,0.7850246,1
1,0,0.8404001,1
1,0,0.6646315,1
1,0,0.70807904,1
1,0,0.8004026,1
1,0,0.51527286,1
1,0,0.91191775,1
1,0,0.71351784,1
1,0,0.89764494,1
1,0,0.6507496,1
1,0,0.8804297,1
1,0,0.71383625,1
1,0,0.8883572,1
1,0,0.8446884,1
1,0,0.8105243,1
1,0,0.66345644,1
1,0,0.7509273,1
1,0,0.8406351,1
1,0,0.5501829,1
1,0,0.6513551,1
1,0,0.6143442,1
1,0,0.419286,0
1,0,0.70839316,1
1,0,0.73944753,1
1,0,0.7081854,1
1,0,0.54385114,1
1,0,0.7083795,1
1,0,0.76924384,1
1,0,0.7678382,1
1,0,0.6625747,1
1,0,0.7298808,1
1,0,0.6632977,1
1,0,0.7143244,1
1,0,0.34759632,0
1,0,0.6677599,1
1,0,0.7259925,1
1,0,0.772065,1
1,0,0.7633247,1
1,0,0.8069665,1
1,0,0.8464344,1
1,0,0.7461498,1
1,0,0.7747159,1
1,0,0.76417375,1
1,0,0.75554895,1
1,0,0.66162264,1
1,0,0.63619983,1
1,0,0.80402774,1
1,0,0.76717937,1
1,0,0.821967,1
1,0,0.66552275,1
1,0,0.7272522,1
1,0,0.7927443,1
1,0,0.7207848,1
1,0,0.6835378,1
1,0,0.83727366,1
1,0,0.71377575,1
1,0,0.572607,1
1,0,0.73407596,1
1,0,0.8762914,1
1,0,0.8322612,1
1,0,0.8482763,1
1,0,0.7652492,1
1,0,0.8390856,1
1,0,0.90593004,1
1,0,0.83244187,1
1,0,0.88636315,1
1,0,0.8533495,1
1,0,0.7982886,1
1,0,0.7163015,1
1,0,0.7309005,1
1,0,0.8382184,1
1,0,0.6718651,1
1,0,0.7016307,1
1,0,0.75674474,1
1,0,0.7290054,1
1,0,0.8505898,1
1,0,0.80739623,1
1,0,0.8252787,1
1,0,0.86071354,1
1,0,0.92077357,1
1,0,0.7818213,1
1,0,0.8972763,1
1,0,0.87395716,1
1,0,0.5614375,1
1,0,0.72743034,1
1,0,0.81962687,1
1,0,0.75047314,1
1,0,0.78554785,1
