Fold,Label,Prob,Preds
1,1,0.5893532,1
1,1,0.58591765,1
1,1,0.57384366,1
1,1,0.5963769,1
1,1,0.58113724,1
1,1,0.5693672,1
1,1,0.56397706,1
1,1,0.5872291,1
1,1,0.5785379,1
1,1,0.5855586,1
1,1,0.5966852,1
1,1,0.5928683,1
1,1,0.5789358,1
1,1,0.57053536,1
1,1,0.5829392,1
1,1,0.58325785,1
1,1,0.5942344,1
1,1,0.58446014,1
1,1,0.58974564,1
1,1,0.58873993,1
1,1,0.5805649,1
1,1,0.59351295,1
1,1,0.57637817,1
1,1,0.57748115,1
1,1,0.5900302,1
1,1,0.6053347,1
1,1,0.59950054,1
1,1,0.5833958,1
1,1,0.57669073,1
1,1,0.55323154,1
1,1,0.56669647,1
1,1,0.5642728,1
1,1,0.5710247,1
1,1,0.54586726,1
1,1,0.5749124,1
1,0,0.4540922,0
1,0,0.5117538,1
1,0,0.5494701,1
1,0,0.5381962,1
1,0,0.49424493,0
1,0,0.4931527,0
1,0,0.5230871,1
1,0,0.5035491,1
1,0,0.48975626,0
1,0,0.49597418,0
1,0,0.4964315,0
1,0,0.49475837,0
1,0,0.48320702,0
1,0,0.49566063,0
1,0,0.48514134,0
1,0,0.4984661,0
1,0,0.50078905,1
1,0,0.49111497,0
1,0,0.52593863,1
1,0,0.5254763,1
1,0,0.52693594,1
1,0,0.5546757,1
1,0,0.5534848,1
1,0,0.58514726,1
1,0,0.56084245,1
1,0,0.5418613,1
1,0,0.5706628,1
1,0,0.5608595,1
1,0,0.5722635,1
1,0,0.5737825,1
1,0,0.56048405,1
1,0,0.57853913,1
1,0,0.5527909,1
1,0,0.5401039,1
1,0,0.5405827,1
1,0,0.54487175,1
1,0,0.5219014,1
1,0,0.5455722,1
1,0,0.5578237,1
1,0,0.5357014,1
1,0,0.552009,1
1,0,0.5508716,1
1,0,0.53390235,1
1,0,0.536641,1
1,0,0.56692696,1
1,0,0.5494718,1
1,0,0.57436824,1
1,0,0.58228993,1
1,0,0.5760474,1
1,0,0.59879804,1
1,0,0.58571017,1
1,0,0.57582736,1
1,0,0.56993324,1
1,0,0.58784205,1
1,0,0.5778753,1
1,0,0.55408806,1
1,0,0.5691605,1
1,0,0.5751987,1
1,0,0.5614133,1
1,0,0.57122964,1
1,0,0.54677385,1
1,0,0.572852,1
1,0,0.54506177,1
1,0,0.5510176,1
1,0,0.5507955,1
1,0,0.5807768,1
1,0,0.5764508,1
1,1,0.55791676,1
1,1,0.5655446,1
1,1,0.56534,1
1,1,0.56965685,1
1,1,0.5458971,1
1,1,0.58534557,1
1,1,0.56197697,1
1,1,0.56232,1
1,1,0.5270146,1
1,0,0.5506808,1
1,0,0.55461913,1
1,0,0.5598283,1
1,0,0.57947993,1
1,0,0.5598486,1
1,0,0.5774575,1
1,0,0.60230356,1
1,0,0.5811948,1
1,0,0.578583,1
1,0,0.5854527,1
1,0,0.5914219,1
1,0,0.5788937,1
1,0,0.59043264,1
1,0,0.60378635,1
1,0,0.56652033,1
1,0,0.5879163,1
1,0,0.5899995,1
1,0,0.60932326,1
1,0,0.6032464,1
1,0,0.59308857,1
1,0,0.5827676,1
1,0,0.5836331,1
1,0,0.5605331,1
1,0,0.5653436,1
1,0,0.5691831,1
1,0,0.55026376,1
1,0,0.55988073,1
1,0,0.54275554,1
1,0,0.5851054,1
1,0,0.5652552,1
1,0,0.5507038,1
1,0,0.55165863,1
1,0,0.52784073,1
1,0,0.57293975,1
1,0,0.5595328,1
1,0,0.58301026,1
1,0,0.56978846,1
1,0,0.5501583,1
1,0,0.5415071,1
1,0,0.5824515,1
1,0,0.5706985,1
1,0,0.5732836,1
1,0,0.5795731,1
1,0,0.58414686,1
1,0,0.5764292,1
1,0,0.5775738,1
1,0,0.56926095,1
1,0,0.5584618,1
1,0,0.58604556,1
1,0,0.552578,1
1,0,0.58328575,1
1,0,0.56693184,1
1,0,0.5683482,1
1,0,0.60950524,1
1,0,0.59936106,1
1,0,0.5930613,1
1,0,0.5938789,1
1,0,0.60272914,1
1,0,0.5857949,1
1,0,0.6012165,1
1,0,0.57070214,1
