Fold,Label,Prob,Preds
1,1,0.8502033,1
1,1,0.83524203,1
1,1,0.8127655,1
1,1,0.82956207,1
1,1,0.89296085,1
1,1,0.8954637,1
1,1,0.9127342,1
1,1,0.8563615,1
1,1,0.8689452,1
1,1,0.7605344,1
1,1,0.7229425,1
1,1,0.7938504,1
1,1,0.85413295,1
1,1,0.8449291,1
1,1,0.6916519,1
1,1,0.730657,1
1,1,0.58679056,1
1,1,0.4794224,0
1,1,0.48370102,0
1,1,0.41122293,0
1,1,0.35414398,0
1,1,0.48106268,0
1,1,0.6106428,1
1,1,0.5513047,1
1,1,0.46207428,0
1,1,0.38968074,0
1,1,0.4694326,0
1,1,0.6026686,1
1,1,0.6505012,1
1,1,0.76603943,1
1,1,0.6818173,1
1,1,0.7764332,1
1,1,0.7683181,1
1,1,0.8397311,1
1,1,0.73483723,1
1,1,0.8095802,1
1,1,0.68871117,1
1,1,0.4981324,0
1,1,0.5764308,1
1,1,0.552637,1
1,1,0.5010631,1
1,1,0.5189632,1
1,1,0.42288297,0
1,1,0.39446548,0
1,1,0.27219376,0
1,1,0.2750461,0
1,1,0.36418405,0
1,1,0.31226423,0
1,1,0.36357123,0
1,1,0.34856215,0
1,1,0.6651194,1
1,1,0.6502788,1
1,1,0.48656735,0
1,1,0.68448406,1
1,1,0.5027991,1
1,1,0.7904937,1
1,1,0.69771576,1
1,1,0.65785855,1
1,1,0.8459395,1
1,1,0.7935129,1
1,1,0.8270647,1
1,1,0.7133838,1
1,1,0.68778044,1
1,1,0.65772516,1
1,1,0.78802395,1
1,1,0.6021058,1
1,1,0.35682136,0
1,1,0.621579,1
1,1,0.6000277,1
1,1,0.5906226,1
1,1,0.59481704,1
1,1,0.5637196,1
1,1,0.61120856,1
1,1,0.42403105,0
1,1,0.6617719,1
1,1,0.5639535,1
1,1,0.51265174,1
1,1,0.5484853,1
1,1,0.54325557,1
1,1,0.5196801,1
1,1,0.6461628,1
1,1,0.47802463,0
1,1,0.26434234,0
1,1,0.39691055,0
1,1,0.34822318,0
1,1,0.43809396,0
1,1,0.4363982,0
1,1,0.43197945,0
1,1,0.53511554,1
1,1,0.42808354,0
1,1,0.3214826,0
1,0,0.35420936,0
1,0,0.37976727,0
1,0,0.44161043,0
1,0,0.30704167,0
1,0,0.48605883,0
1,0,0.5799057,1
1,0,0.53235215,1
1,0,0.4080998,0
1,0,0.4010494,0
1,1,0.41593304,0
1,1,0.58107644,1
1,1,0.48916015,0
1,1,0.20993975,0
1,1,0.44913414,0
1,1,0.34740928,0
1,1,0.50523967,1
1,1,0.84158206,1
1,1,0.80888796,1
1,1,0.8480971,1
1,1,0.90454787,1
1,1,0.9313417,1
1,1,0.8366258,1
1,1,0.8572891,1
1,1,0.9305619,1
1,1,0.7674328,1
1,1,0.88821423,1
1,1,0.886212,1
1,1,0.89877665,1
1,1,0.8985685,1
1,1,0.915472,1
1,1,0.8992962,1
1,1,0.91834974,1
1,1,0.8999514,1
1,1,0.90188897,1
1,1,0.8370519,1
1,1,0.8247458,1
1,1,0.8331009,1
1,1,0.90388817,1
1,1,0.83620495,1
1,1,0.7675016,1
1,1,0.6569189,1
1,1,0.8180222,1
1,1,0.74216187,1
1,1,0.75392413,1
1,1,0.70882887,1
1,1,0.71762365,1
1,1,0.67849994,1
1,1,0.55358845,1
1,1,0.683636,1
1,1,0.6918596,1
1,1,0.69511163,1
1,1,0.6979236,1
1,1,0.6746064,1
1,1,0.76603884,1
1,1,0.5647272,1
1,1,0.5474821,1
1,1,0.53212863,1
1,1,0.53083,1
1,1,0.56767976,1
1,1,0.50800776,1
1,1,0.6273852,1
1,1,0.6800612,1
1,1,0.71196675,1
1,1,0.65724844,1
1,1,0.68437225,1
1,1,0.7459332,1
1,1,0.7017779,1
1,1,0.7413028,1
1,1,0.57046926,1
1,1,0.5569219,1
1,1,0.5941581,1
1,1,0.5142648,1
1,1,0.61679924,1
1,1,0.67655,1
1,1,0.79777956,1
1,1,0.74507266,1
1,1,0.7610309,1
1,1,0.8246039,1
1,1,0.7512427,1
1,1,0.76601595,1
1,1,0.6819277,1
1,1,0.75044507,1
1,1,0.6539594,1
1,1,0.66037995,1
1,1,0.5568698,1
1,1,0.42591858,0
1,1,0.68573135,1
1,1,0.45347646,0
1,1,0.53698564,1
1,1,0.5201368,1
1,1,0.56720287,1
