Fold,Label,Prob,Preds
1,0,0.50402224,1
1,0,0.502804,1
1,0,0.50342923,1
1,0,0.50339836,1
1,0,0.5030012,1
1,0,0.5036992,1
1,0,0.50320125,1
1,0,0.5030126,1
1,0,0.50362873,1
1,0,0.5029687,1
1,0,0.5032131,1
1,0,0.5030288,1
1,0,0.5032345,1
1,0,0.50327855,1
1,0,0.5032178,1
1,0,0.5031385,1
1,0,0.5037262,1
1,0,0.50379586,1
1,0,0.5040075,1
1,0,0.5032307,1
1,0,0.5034456,1
1,0,0.5033224,1
1,0,0.5037391,1
1,0,0.5029911,1
1,0,0.50444806,1
1,0,0.50321513,1
1,0,0.5029978,1
1,0,0.50445884,1
1,0,0.5026975,1
1,0,0.5044523,1
1,0,0.5035235,1
1,0,0.5045908,1
1,0,0.5045963,1
1,0,0.50487727,1
1,0,0.50307024,1
1,0,0.5037398,1
1,0,0.50358707,1
1,0,0.5029177,1
1,0,0.5035661,1
1,0,0.50256956,1
1,0,0.50247043,1
1,0,0.50374407,1
1,0,0.5034874,1
1,0,0.503855,1
1,0,0.5025479,1
1,0,0.5041162,1
1,0,0.50509757,1
1,0,0.5038569,1
1,0,0.5041753,1
1,0,0.50350356,1
1,0,0.5033703,1
1,0,0.50301814,1
1,0,0.5040061,1
1,0,0.50441617,1
1,0,0.5034447,1
1,0,0.50267535,1
1,0,0.502657,1
1,0,0.5025427,1
1,0,0.5030731,1
1,0,0.5032608,1
1,0,0.5037402,1
1,0,0.5034537,1
1,0,0.5032037,1
1,0,0.50363606,1
1,0,0.50369966,1
1,0,0.50347686,1
1,0,0.50662756,1
1,0,0.504068,1
1,0,0.50410485,1
1,0,0.50352097,1
1,0,0.5038463,1
1,0,0.5029816,1
1,0,0.5031946,1
1,0,0.50336033,1
1,0,0.50420654,1
1,0,0.50260586,1
1,0,0.50241935,1
1,0,0.5030831,1
1,0,0.50417113,1
1,0,0.50291634,1
1,0,0.5025016,1
1,0,0.5026594,1
1,0,0.50269866,1
1,0,0.50409675,1
1,0,0.5024438,1
1,0,0.5036191,1
1,0,0.50259745,1
1,0,0.5024421,1
1,0,0.5028901,1
1,0,0.5039872,1
1,0,0.5029257,1
1,0,0.50260466,1
1,0,0.50397515,1
1,0,0.5026878,1
1,0,0.50249195,1
1,0,0.50251776,1
1,0,0.5043939,1
1,0,0.5028596,1
1,0,0.5024674,1
1,0,0.50287294,1
1,0,0.50452834,1
1,0,0.50283396,1
1,0,0.50296456,1
1,0,0.5037351,1
1,0,0.5031168,1
1,0,0.50310665,1
1,0,0.5040211,1
1,0,0.50370795,1
1,0,0.50198007,1
1,0,0.50229114,1
1,0,0.5037757,1
1,0,0.5022911,1
1,0,0.50238657,1
1,0,0.50398153,1
1,0,0.5076127,1
1,0,0.5031794,1
1,0,0.5039618,1
1,0,0.5037488,1
1,0,0.50571847,1
1,0,0.5048532,1
1,0,0.50503284,1
1,0,0.5060416,1
1,0,0.5058434,1
1,0,0.50542,1
1,0,0.5036242,1
1,0,0.5049187,1
1,0,0.5048567,1
1,0,0.50306046,1
1,0,0.50324655,1
1,0,0.50255215,1
1,0,0.50446403,1
1,0,0.50335366,1
1,0,0.5032377,1
1,0,0.5053548,1
1,0,0.5053757,1
1,0,0.5039723,1
1,0,0.50409603,1
1,0,0.5035994,1
1,0,0.5038048,1
1,0,0.5050267,1
1,0,0.503696,1
1,0,0.5067276,1
1,0,0.5039244,1
1,0,0.50389874,1
1,0,0.5030867,1
1,0,0.50419396,1
1,0,0.5027066,1
1,0,0.50269395,1
1,0,0.5025646,1
1,0,0.5027702,1
1,0,0.5027129,1
1,0,0.5032844,1
1,0,0.50221604,1
1,0,0.5028701,1
1,0,0.5036638,1
1,0,0.50337404,1
1,0,0.50207335,1
1,0,0.50380796,1
1,0,0.5022018,1
1,0,0.50337654,1
1,0,0.50289273,1
1,0,0.5028238,1
1,0,0.5034821,1
1,0,0.50299585,1
1,0,0.5040888,1
1,0,0.5037219,1
1,0,0.50297445,1
1,0,0.5031212,1
1,1,0.50260633,1
1,1,0.5022663,1
1,1,0.5032035,1
1,1,0.5020159,1
1,1,0.50279295,1
1,1,0.50292915,1
1,1,0.5029707,1
1,1,0.50350165,1
1,1,0.50255114,1
1,1,0.50394225,1
1,1,0.50464,1
1,1,0.5041299,1
1,1,0.5031538,1
1,1,0.50321835,1
1,1,0.5034059,1
1,0,0.5030877,1
1,0,0.5030224,1
1,0,0.5024443,1
1,0,0.5024656,1
1,0,0.50247115,1
1,0,0.50275683,1
1,0,0.5024784,1
1,0,0.502626,1
1,0,0.5024142,1
1,0,0.5025054,1
1,0,0.5022943,1
1,0,0.50296783,1
1,0,0.5027364,1
1,0,0.5026087,1
1,0,0.5023946,1
1,0,0.5028619,1
1,0,0.5025643,1
1,0,0.50295,1
1,0,0.5023956,1
1,0,0.50252056,1
1,0,0.502952,1
1,0,0.5023305,1
1,0,0.5027302,1
1,0,0.5027916,1
1,0,0.50355417,1
1,0,0.50291127,1
1,0,0.50254315,1
1,0,0.5028885,1
1,0,0.50278753,1
1,0,0.5028869,1
1,0,0.50270903,1
1,0,0.5030684,1
1,0,0.50349844,1
1,0,0.5031027,1
1,0,0.5026146,1
1,0,0.502552,1
1,0,0.5039942,1
1,0,0.50383615,1
1,0,0.50201476,1
1,0,0.5027213,1
1,0,0.50307095,1
1,0,0.5033957,1
1,0,0.5027597,1
1,0,0.50245273,1
1,0,0.5026364,1
