Fold,Label,Prob,Preds
1,1,0.3117973,0
1,1,0.30930182,0
1,1,0.2952443,0
1,1,0.25068435,0
1,1,0.2205198,0
1,1,0.24071136,0
1,1,0.30289757,0
1,1,0.22332458,0
1,1,0.18732625,0
1,1,0.19448255,0
1,1,0.15957597,0
1,1,0.15209317,0
1,1,0.2143292,0
1,1,0.18963489,0
1,1,0.20648506,0
1,1,0.2541403,0
1,1,0.27855405,0
1,1,0.38008305,0
1,1,0.47731704,0
1,1,0.43680313,0
1,1,0.43465042,0
1,1,0.43648106,0
1,1,0.43137023,0
1,1,0.41133395,0
1,1,0.40964463,0
1,1,0.48828125,0
1,1,0.26704782,0
1,1,0.25282252,0
1,1,0.27036923,0
1,1,0.27036923,0
1,1,0.25517836,0
1,1,0.28913745,0
1,1,0.27066702,0
1,1,0.3051092,0
1,1,0.3346335,0
1,1,0.34796122,0
1,1,0.43414795,0
1,1,0.43414795,0
1,1,0.4229067,0
1,1,0.36958313,0
1,1,0.42459264,0
1,1,0.41286606,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.4595747,0
1,0,0.77468437,1
1,0,0.70774287,1
1,0,0.5888776,1
1,0,0.60559326,1
1,0,0.48312154,0
1,0,0.5605551,1
1,0,0.5200153,1
1,0,0.53138554,1
1,0,0.45318028,0
1,0,0.2975139,0
1,0,0.36524943,0
1,0,0.371986,0
1,0,0.28639358,0
1,0,0.32444623,0
1,0,0.36032528,0
1,0,0.4008143,0
1,0,0.38002402,0
1,0,0.33694667,0
1,0,0.36137587,0
1,0,0.32985204,0
1,0,0.47979313,0
1,0,0.5311636,1
1,1,0.5262316,1
1,1,0.4715548,0
1,1,0.50665885,1
1,1,0.4576386,0
1,1,0.57002366,1
1,1,0.520102,1
1,1,0.4612789,0
1,1,0.44749665,0
1,1,0.43198657,0
1,1,0.4322953,0
1,1,0.43680313,0
1,1,0.43680313,0
1,1,0.43680313,0
1,1,0.4312032,0
1,1,0.45422724,0
1,1,0.39463902,0
1,0,0.40224093,0
1,0,0.52311784,1
1,0,0.603113,1
1,0,0.66285825,1
1,0,0.7459741,1
1,0,0.89327973,1
1,0,0.9574169,1
1,0,0.8520418,1
1,0,0.93412817,1
1,0,0.97787344,1
1,0,0.9592519,1
1,0,0.9683511,1
1,0,0.9668538,1
1,0,0.9657155,1
1,1,0.6269901,1
1,1,0.5863424,1
1,1,0.48634326,0
1,1,0.38259947,0
1,1,0.34822944,0
1,1,0.30898508,0
1,1,0.3188737,0
1,1,0.2857894,0
1,1,0.4264291,0
1,1,0.4332058,0
1,1,0.4184231,0
1,1,0.3575496,0
1,1,0.4485589,0
1,1,0.41172153,0
1,1,0.37503514,0
1,1,0.33281082,0
1,1,0.37700063,0
1,1,0.40224093,0
1,1,0.52311784,1
1,1,0.603113,1
1,1,0.66285825,1
1,1,0.7459741,1
1,1,0.89327973,1
1,1,0.9574169,1
1,1,0.8520418,1
1,1,0.93412817,1
1,1,0.97787344,1
1,1,0.9592519,1
1,1,0.9683511,1
1,1,0.9668538,1
1,1,0.9657155,1
1,1,0.85519886,1
1,1,0.8028521,1
1,1,0.4780238,0
1,1,0.44657016,0
1,1,0.555442,1
1,1,0.6917603,1
1,1,0.60149956,1
1,1,0.6486934,1
1,1,0.6207762,1
1,1,0.56383616,1
1,1,0.57549953,1
1,1,0.4704514,0
1,1,0.47691005,0
1,1,0.58161306,1
1,1,0.5385338,1
1,1,0.49972343,0
1,1,0.48034322,0
1,1,0.43554986,0
1,1,0.43554986,0
1,1,0.4212805,0
1,1,0.41887754,0
1,1,0.4878397,0
1,1,0.45708805,0
1,1,0.45625815,0
1,1,0.40377107,0
1,1,0.40649638,0
1,1,0.37881762,0
1,1,0.3811183,0
1,1,0.38977188,0
1,1,0.3740045,0
1,1,0.39690962,0
1,1,0.3061355,0
1,1,0.29866806,0
1,1,0.30338287,0
1,1,0.33903116,0
1,1,0.38307804,0
1,1,0.38307804,0
1,1,0.33766735,0
1,1,0.3607219,0
1,1,0.30366588,0
1,1,0.32613322,0
1,1,0.36333025,0
1,1,0.3640945,0
1,1,0.47046268,0
1,1,0.2744157,0
1,1,0.2281718,0
1,1,0.2887395,0
1,1,0.32739183,0
1,1,0.3316906,0
1,1,0.35115692,0
1,1,0.4265248,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.44202492,0
1,0,0.43680313,0
1,0,0.4361292,0
1,0,0.43533546,0
1,0,0.43680313,0
1,0,0.6061019,1
1,0,0.46112454,0
1,0,0.40341863,0
1,0,0.39503098,0
1,0,0.32846993,0
1,0,0.48603764,0
1,0,0.33611056,0
1,0,0.31507742,0
1,0,0.34100157,0
1,1,0.34100157,0
1,1,0.3851578,0
1,1,0.3706236,0
1,1,0.40074134,0
1,1,0.40074134,0
1,1,0.40810296,0
1,1,0.3927343,0
1,1,0.41139346,0
1,1,0.41999164,0
1,1,0.45272297,0
1,1,0.45363337,0
1,1,0.41993365,0
1,1,0.43680313,0
1,1,0.43324846,0
1,1,0.40777692,0
1,1,0.45140886,0
1,1,0.30500698,0
1,1,0.34010348,0
1,1,0.3663162,0
1,1,0.4618498,0
1,1,0.57475007,1
1,1,0.5248013,1
1,1,0.7060587,1
1,1,0.7060587,1
1,1,0.55393547,1
1,1,0.49659047,0
1,1,0.5524461,1
1,1,0.5508593,1
1,1,0.50557625,1
1,0,0.4651647,0
1,0,0.41320693,0
1,0,0.41081423,0
1,0,0.36044827,0
1,0,0.27415943,0
1,0,0.26480323,0
1,0,0.29058805,0
1,0,0.29572088,0
1,0,0.336394,0
1,0,0.36892465,0
1,0,0.42012027,0
1,0,0.43680313,0
1,0,0.473054,0
1,0,0.4889298,0
1,0,0.4442097,0
1,0,0.45885977,0
1,0,0.42248896,0
1,0,0.4174622,0
1,0,0.3780089,0
1,0,0.34124735,0
1,0,0.3354515,0
1,0,0.40301952,0
1,0,0.40523803,0
1,0,0.39299437,0
1,0,0.52190703,1
1,0,0.48375493,0
1,0,0.37588695,0
1,0,0.36571938,0
1,1,0.37809452,0
1,1,0.38186875,0
1,1,0.37809452,0
1,1,0.37809452,0
1,1,0.3796878,0
1,1,0.4329165,0
1,1,0.434857,0
1,1,0.38460863,0
1,1,0.38459167,0
1,1,0.4237261,0
1,1,0.45779198,0
1,1,0.35521778,0
1,0,0.35521778,0
1,0,0.3461158,0
1,0,0.40083593,0
1,0,0.48017973,0
1,0,0.4354245,0
1,0,0.4809796,0
1,0,0.59918594,1
1,0,0.7287476,1
1,0,0.6094303,1
1,0,0.8494295,1
1,0,0.84821403,1
1,0,0.51685035,1
1,0,0.65157247,1
1,0,0.83697534,1
1,0,0.9346019,1
1,0,0.83697534,1
1,0,0.9536931,1
1,0,0.8786075,1
1,0,0.8786075,1
1,0,0.5599352,1
1,0,0.6202308,1
1,0,0.5456098,1
1,0,0.5910003,1
1,0,0.5910003,1
1,0,0.6583835,1
1,0,0.6921585,1
1,0,0.69969136,1
1,0,0.85618263,1
1,0,0.7169661,1
1,0,0.7169661,1
1,0,0.7980806,1
1,0,0.6081424,1
1,0,0.56171095,1
1,0,0.4766938,0
1,0,0.4766938,0
1,0,0.43680313,0
1,0,0.617797,1
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.423787,0
1,0,0.42587718,0
1,0,0.46366352,0
1,0,0.44915596,0
1,0,0.42564976,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43559057,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.7287475,1
1,0,0.5522289,1
1,0,0.44014305,0
1,0,0.47703618,0
1,0,0.43264854,0
1,0,0.43189764,0
1,0,0.4244547,0
1,0,0.4277081,0
1,0,0.45251808,0
1,0,0.45598412,0
1,0,0.381574,0
1,0,0.4897509,0
1,0,0.5062938,1
1,0,0.49798742,0
1,0,0.49798742,0
1,0,0.43526304,0
1,0,0.43680313,0
1,0,0.5550556,1
1,0,0.4954078,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.45474833,0
1,0,0.46296597,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.44856206,0
1,0,0.5687374,1
1,0,0.5687374,1
1,0,0.49377245,0
1,0,0.52560985,1
1,0,0.6832149,1
1,0,0.8050566,1
1,0,0.85844415,1
1,0,0.5650873,1
1,0,0.59151167,1
1,0,0.65036774,1
1,0,0.58224416,1
1,0,0.7330681,1
1,0,0.67714095,1
1,0,0.626843,1
1,0,0.5894098,1
1,0,0.36164945,0
1,0,0.37528932,0
1,0,0.30923232,0
1,0,0.36652666,0
1,0,0.39623895,0
1,0,0.43680313,0
1,0,0.37521544,0
1,0,0.34848318,0
1,0,0.39383173,0
1,0,0.36989847,0
1,0,0.39787734,0
1,0,0.3812117,0
1,0,0.40225756,0
1,0,0.39993513,0
1,0,0.23849247,0
1,0,0.43868035,0
1,0,0.47716874,0
1,0,0.5400146,1
1,0,0.5416601,1
1,0,0.50468504,1
1,0,0.51032937,1
1,0,0.4699997,0
1,0,0.55519545,1
1,0,0.58319557,1
1,0,0.60007954,1
1,0,0.5902571,1
1,0,0.54793143,1
1,0,0.51575017,1
1,0,0.51575017,1
1,0,0.42382458,0
1,0,0.40787438,0
1,0,0.39543438,0
1,0,0.38261992,0
1,0,0.49296454,0
1,0,0.6025615,1
1,0,0.6005526,1
1,0,0.71169007,1
1,0,0.53715044,1
1,0,0.52654696,1
1,0,0.50566876,1
1,0,0.61766624,1
1,0,0.61766624,1
1,0,0.734205,1
1,0,0.78472,1
1,0,0.734205,1
1,0,0.6708225,1
1,0,0.6495141,1
1,0,0.6023392,1
1,0,0.46965793,0
1,0,0.43680313,0
1,0,0.44209823,0
1,0,0.48084015,0
1,0,0.5501155,1
1,0,0.55320233,1
1,0,0.5026229,1
1,0,0.45902094,0
1,0,0.51931,1
1,0,0.54027367,1
1,0,0.5831589,1
1,0,0.7438939,1
1,0,0.7438939,1
1,0,0.6252195,1
1,0,0.6368513,1
1,0,0.6368513,1
1,0,0.6480723,1
1,0,0.46975473,0
1,0,0.46975473,0
1,0,0.41430962,0
1,0,0.41331697,0
1,0,0.49919504,0
1,0,0.5199008,1
1,0,0.5199008,1
1,0,0.51355374,1
1,0,0.5368003,1
1,0,0.51773983,1
1,0,0.51773983,1
1,0,0.60915124,1
1,0,0.48716328,0
1,0,0.4327784,0
1,0,0.43077037,0
1,0,0.43226346,0
1,0,0.5002968,1
1,0,0.60169524,1
1,0,0.9016151,1
1,0,0.8736749,1
1,0,0.8908694,1
1,0,0.94143325,1
1,0,0.91378295,1
1,0,0.89980245,1
1,0,0.9300276,1
1,0,0.92230475,1
1,0,0.8665884,1
1,0,0.9392376,1
1,0,0.93129647,1
1,0,0.8989697,1
1,0,0.958991,1
1,0,0.858273,1
1,0,0.858273,1
1,0,0.81513584,1
1,0,0.750129,1
1,0,0.670059,1
1,0,0.51356846,1
1,0,0.5742022,1
1,0,0.5742022,1
1,0,0.5031414,1
1,0,0.5031414,1
1,0,0.6621122,1
1,0,0.4882219,0
1,0,0.437379,0
1,0,0.42370272,0
1,0,0.42370272,0
1,0,0.44664663,0
1,0,0.30150157,0
1,0,0.38994583,0
1,0,0.35654595,0
1,0,0.35654595,0
1,0,0.35058257,0
1,0,0.37526575,0
1,0,0.39730382,0
1,0,0.40284368,0
1,0,0.40222785,0
1,0,0.3607646,0
1,0,0.43680313,0
1,0,0.43390885,0
1,0,0.43107605,0
1,0,0.42095813,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.43680313,0
1,0,0.5856088,1
1,0,0.67196155,1
1,0,0.6751085,1
1,0,0.7173696,1
1,0,0.7163198,1
1,0,0.5968058,1
1,0,0.63252914,1
1,0,0.71558094,1
1,0,0.6946925,1
1,0,0.69267666,1
1,0,0.7391003,1
1,0,0.64556444,1
1,0,0.64556444,1
1,0,0.57267606,1
1,0,0.54299945,1
1,0,0.5395807,1
1,0,0.48720825,0
1,0,0.4584002,0
1,0,0.4899984,0
1,0,0.4253947,0
1,0,0.42522827,0
1,0,0.42522827,0
1,0,0.42283556,0
1,0,0.43898526,0
1,0,0.42283556,0
1,0,0.42674464,0
1,0,0.41539115,0
1,0,0.4064708,0
1,0,0.3582737,0
1,0,0.36875924,0
1,0,0.36875924,0
1,0,0.38254666,0
1,0,0.36816114,0
1,0,0.53461426,1
1,0,0.61600137,1
1,0,0.66076654,1
1,0,0.66076654,1
1,0,0.65278566,1
1,0,0.6064875,1
1,0,0.6627527,1
1,0,0.9098638,1
1,0,0.95839643,1
1,0,0.93401104,1
1,0,0.8762054,1
1,0,0.7142375,1
1,0,0.45366678,0
1,0,0.45254412,0
1,0,0.54302686,1
1,0,0.46166784,0
1,0,0.3834039,0
1,0,0.39460012,0
1,0,0.3877561,0
1,0,0.38547578,0
1,0,0.4154531,0
1,0,0.41741833,0
1,0,0.41941977,0
1,1,0.9962141,1
1,1,0.99556774,1
1,1,0.9903476,1
1,1,0.9749108,1
1,1,0.9749108,1
1,1,0.9749108,1
1,1,0.9355009,1
1,1,0.91881263,1
1,1,0.8843003,1
1,1,0.8843003,1
1,1,0.95206296,1
1,1,0.9255201,1
1,1,0.92471135,1
1,1,0.77378476,1
1,1,0.5297661,1
1,1,0.50221914,1
1,1,0.56535256,1
1,1,0.54559726,1
1,1,0.74118507,1
1,1,0.6822409,1
1,1,0.84062946,1
1,1,0.865447,1
1,1,0.8067586,1
1,1,0.8107376,1
1,1,0.49857146,0
1,1,0.68680394,1
1,1,0.5371241,1
1,1,0.4655449,0
1,1,0.37778986,0
1,1,0.45784697,0
1,1,0.35955092,0
1,1,0.44148463,0
1,1,0.402822,0
1,1,0.402822,0
1,1,0.2916169,0
1,1,0.4512513,0
1,1,0.4193918,0
1,1,0.60723644,1
1,1,0.43768853,0
1,1,0.4693641,0
1,1,0.5276041,1
1,1,0.48201755,0
1,1,0.47474363,0
1,1,0.54425305,1
1,1,0.5709837,1
1,1,0.584707,1
1,1,0.71580213,1
1,1,0.9374,1
1,1,0.9693133,1
1,1,0.8681308,1
1,1,0.9825941,1
1,1,0.9902928,1
1,1,0.98517334,1
1,1,0.96345633,1
1,1,0.97781634,1
