Fold,Label,Prob,Preds
1,0,0.79298705,1
1,0,0.78789544,1
1,0,0.60647833,1
1,0,0.46411157,0
1,0,0.8101033,1
1,0,0.4746953,0
1,0,0.7179867,1
1,0,0.41766956,0
1,0,0.4436358,0
1,0,0.3554354,0
1,0,0.7173187,1
1,0,0.6546892,1
1,0,0.6795295,1
1,0,0.8823893,1
1,0,0.8230328,1
1,0,0.70835733,1
1,0,0.8430559,1
1,0,0.90903395,1
1,0,0.77511525,1
1,0,0.74150544,1
1,0,0.9083462,1
1,0,0.92210543,1
1,0,0.8508678,1
1,0,0.77563834,1
1,0,0.89745086,1
1,0,0.91262233,1
1,0,0.89139706,1
1,0,0.94558895,1
1,0,0.39576676,0
1,0,0.5758407,1
1,0,0.5125896,1
1,0,0.5184284,1
1,0,0.84155375,1
1,0,0.6519564,1
1,0,0.84039664,1
1,0,0.84756,1
1,0,0.74771243,1
1,0,0.5737633,1
1,0,0.41829127,0
1,0,0.45266384,0
1,0,0.5051752,1
1,0,0.6002975,1
1,0,0.26912186,0
1,0,0.24855782,0
1,0,0.4364184,0
1,0,0.21173027,0
1,0,0.47000197,0
1,0,0.50516474,1
1,0,0.6884178,1
1,0,0.40532285,0
1,0,0.18263787,0
1,0,0.36348683,0
1,0,0.3992725,0
1,0,0.39551955,0
1,0,0.620232,1
1,0,0.46312702,0
1,0,0.5914442,1
1,0,0.8474452,1
1,0,0.6199177,1
1,0,0.49190465,0
1,0,0.35948244,0
1,0,0.5728887,1
1,0,0.5535941,1
1,0,0.7536357,1
1,0,0.80604523,1
1,0,0.494774,0
1,0,0.34088942,0
1,0,0.5153779,1
1,0,0.2535419,0
1,0,0.6636053,1
1,0,0.58629936,1
1,0,0.4618674,0
1,0,0.49299735,0
1,0,0.5188672,1
1,0,0.53162724,1
1,0,0.15066718,0
1,0,0.5137704,1
1,0,0.6700457,1
1,0,0.3951952,0
1,0,0.440402,0
1,0,0.52153236,1
1,0,0.80192924,1
1,0,0.8136885,1
1,0,0.7642289,1
1,0,0.7682264,1
1,0,0.3960161,0
1,0,0.5480726,1
1,0,0.493641,0
1,0,0.53159666,1
1,0,0.7038533,1
1,0,0.87265724,1
1,0,0.6337399,1
1,0,0.8776998,1
1,0,0.9198728,1
1,0,0.5703917,1
1,0,0.17351145,0
1,0,0.6129877,1
1,0,0.48152953,0
1,0,0.49068516,0
1,0,0.7485,1
1,0,0.84592855,1
1,0,0.8661408,1
1,0,0.9175137,1
1,0,0.8273366,1
1,0,0.87815326,1
1,0,0.7529886,1
1,0,0.82821894,1
1,0,0.50744045,1
1,0,0.7723849,1
1,0,0.88019484,1
1,0,0.44177,0
1,0,0.7547257,1
1,0,0.80578387,1
1,0,0.6931207,1
1,0,0.7583235,1
1,0,0.66728103,1
1,0,0.850988,1
1,0,0.6597004,1
1,0,0.5576568,1
1,0,0.9591571,1
1,0,0.7285334,1
1,0,0.77020985,1
1,0,0.7825881,1
1,0,0.5334341,1
1,0,0.5612509,1
