Fold,Label,Prob,Preds
1,1,0.55771446,1
1,1,0.559713,1
1,1,0.5351007,1
1,1,0.5333664,1
1,1,0.56709784,1
1,1,0.55441654,1
1,1,0.5112945,1
1,1,0.5549291,1
1,1,0.5172911,1
1,1,0.57142633,1
1,1,0.597247,1
1,1,0.5930544,1
1,1,0.58708364,1
1,1,0.5853814,1
1,1,0.5972526,1
1,1,0.5950257,1
1,1,0.5931956,1
1,1,0.5653989,1
1,1,0.60322225,1
1,1,0.60504067,1
1,1,0.600773,1
1,1,0.5864067,1
1,1,0.5908783,1
1,1,0.6096958,1
1,1,0.5730787,1
1,1,0.58300185,1
1,1,0.592513,1
1,1,0.59229445,1
1,1,0.5353953,1
1,1,0.5283703,1
1,1,0.5509801,1
1,1,0.5367226,1
1,1,0.5836281,1
1,1,0.5519585,1
1,1,0.5701211,1
1,0,0.50452733,1
1,0,0.5433768,1
1,0,0.5108918,1
1,0,0.51933885,1
1,0,0.5106643,1
1,0,0.4992241,0
1,0,0.5104422,1
1,0,0.47674623,0
1,0,0.4705731,0
1,0,0.49593922,0
1,0,0.4617123,0
1,0,0.45198175,0
1,0,0.48277345,0
1,0,0.43492377,0
1,0,0.46972424,0
1,0,0.46189263,0
1,0,0.4561812,0
1,0,0.4626069,0
1,0,0.48145056,0
1,0,0.46444353,0
1,0,0.49183226,0
1,0,0.52124107,1
1,0,0.5399496,1
1,0,0.5346324,1
1,0,0.53690815,1
1,0,0.559157,1
1,0,0.56270975,1
1,0,0.55126876,1
1,0,0.5568921,1
1,0,0.5412249,1
1,0,0.5270489,1
1,0,0.54937565,1
1,0,0.53919685,1
1,0,0.5252618,1
1,0,0.53229433,1
1,0,0.5688968,1
1,0,0.54916143,1
1,0,0.5930601,1
1,0,0.53541625,1
1,0,0.6035196,1
1,0,0.53260106,1
1,0,0.5726836,1
1,0,0.57340366,1
1,0,0.63201207,1
1,0,0.5821126,1
1,0,0.57704276,1
1,0,0.5442035,1
1,0,0.57766503,1
1,0,0.57040393,1
1,0,0.6229694,1
1,0,0.6002592,1
1,0,0.58774835,1
1,0,0.5687001,1
1,0,0.5897058,1
1,0,0.5839152,1
1,0,0.61131483,1
1,0,0.559897,1
1,0,0.60305625,1
1,0,0.54106563,1
1,0,0.5954809,1
1,0,0.5560519,1
1,0,0.572984,1
1,0,0.54302984,1
1,0,0.54554206,1
1,0,0.5387848,1
1,0,0.52368945,1
1,0,0.52886176,1
1,1,0.5212061,1
1,1,0.5181212,1
1,1,0.52930313,1
1,1,0.5759197,1
1,1,0.5608273,1
1,1,0.59291446,1
1,1,0.56631523,1
1,1,0.59931964,1
1,1,0.55298585,1
1,0,0.5906796,1
1,0,0.5815862,1
1,0,0.5817255,1
1,0,0.5713061,1
1,0,0.5784232,1
1,0,0.5759431,1
1,0,0.5761525,1
1,0,0.5770908,1
1,0,0.578016,1
1,0,0.59106326,1
1,0,0.55801016,1
1,0,0.565937,1
1,0,0.5634396,1
