Fold,Label,Prob,Preds
1,1,0.33289754,0
1,1,0.28918895,0
1,1,0.33865353,0
1,1,0.3788513,0
1,1,0.36876747,0
1,1,0.33624443,0
1,1,0.32217747,0
1,1,0.315665,0
1,1,0.29647642,0
1,1,0.28809574,0
1,1,0.32604182,0
1,1,0.32604182,0
1,1,0.30445763,0
1,1,0.3130861,0
1,1,0.3233698,0
1,1,0.35339767,0
1,1,0.39360344,0
1,1,0.37440756,0
1,1,0.33414245,0
1,1,0.35477215,0
1,1,0.5052642,1
1,1,0.5647318,1
1,1,0.53448427,1
1,1,0.54841286,1
1,1,0.48912337,0
1,1,0.47770754,0
1,1,0.4972509,0
1,1,0.46828303,0
1,1,0.44499433,0
1,1,0.39593402,0
1,1,0.4171791,0
1,1,0.43089437,0
1,1,0.37670758,0
1,1,0.41239738,0
1,1,0.3759915,0
1,1,0.36576772,0
1,1,0.35243452,0
1,1,0.37344193,0
1,1,0.3435985,0
1,1,0.34771055,0
1,1,0.35716596,0
1,1,0.31428635,0
1,1,0.35483032,0
1,1,0.36098573,0
1,1,0.3359593,0
1,1,0.22853267,0
1,1,0.23219495,0
1,1,0.22214761,0
1,1,0.24737933,0
1,1,0.28949937,0
1,1,0.3301885,0
1,1,0.34701118,0
1,1,0.3802083,0
1,1,0.35063502,0
1,1,0.3060869,0
1,1,0.34250936,0
1,1,0.36547425,0
1,1,0.35997444,0
1,1,0.33903304,0
1,1,0.32571268,0
1,1,0.3195571,0
1,1,0.27703825,0
1,1,0.27537373,0
1,1,0.2587268,0
1,1,0.22112463,0
1,1,0.2193781,0
1,1,0.24393307,0
1,1,0.22793256,0
1,0,0.22793256,0
1,0,0.2514058,0
1,0,0.2849023,0
1,0,0.2849023,0
1,0,0.30652228,0
1,0,0.3044127,0
1,0,0.32173207,0
1,0,0.36131337,0
1,0,0.38360453,0
1,0,0.38038945,0
1,0,0.39593402,0
1,0,0.4178121,0
1,0,0.4315493,0
1,0,0.3768382,0
1,0,0.41275728,0
1,0,0.375335,0
1,1,0.36505893,0
1,1,0.351755,0
1,1,0.37273964,0
1,1,0.34385523,0
1,1,0.3479415,0
1,1,0.3570285,0
1,1,0.31418833,0
1,1,0.35477182,0
1,1,0.36410496,0
1,1,0.33592173,0
1,1,0.35053816,0
1,1,0.34029207,0
1,1,0.3471375,0
1,1,0.30820507,0
1,0,0.30820507,0
1,0,0.28622535,0
1,0,0.28903562,0
1,0,0.28114927,0
1,0,0.28114927,0
1,0,0.30488396,0
1,0,0.309658,0
1,0,0.3330728,0
1,0,0.3330728,0
1,0,0.3330728,0
1,0,0.32037294,0
1,0,0.29806134,0
1,0,0.31987217,0
1,0,0.30594283,0
1,0,0.31341892,0
1,0,0.31185278,0
1,0,0.31437728,0
1,0,0.31437728,0
1,0,0.2930292,0
1,0,0.29701537,0
1,0,0.28319773,0
1,0,0.2620595,0
1,0,0.2573444,0
1,0,0.24807282,0
1,0,0.24523848,0
1,0,0.26473394,0
1,0,0.28734648,0
1,0,0.29210353,0
1,0,0.26622975,0
1,0,0.28509375,0
1,0,0.28276467,0
1,0,0.29692495,0
1,0,0.319438,0
1,0,0.33724555,0
1,0,0.31881937,0
1,0,0.30712682,0
1,0,0.32300222,0
1,0,0.3465694,0
1,0,0.3657762,0
1,0,0.363946,0
1,0,0.35946786,0
1,0,0.33290967,0
1,0,0.32800063,0
1,0,0.3620599,0
1,0,0.3663724,0
1,0,0.388593,0
1,0,0.35371798,0
1,0,0.31914097,0
1,0,0.30939904,0
1,0,0.31940356,0
1,0,0.33146444,0
1,0,0.29378274,0
1,0,0.27857706,0
1,0,0.26723588,0
1,0,0.27226084,0
1,0,0.2735058,0
1,0,0.30096835,0
1,0,0.30096835,0
1,0,0.27586314,0
1,0,0.28226286,0
1,0,0.28080124,0
1,0,0.2988848,0
1,0,0.32697067,0
1,0,0.38457355,0
1,0,0.38775724,0
1,0,0.41105953,0
1,0,0.40262687,0
1,0,0.38840145,0
1,0,0.3695099,0
1,0,0.38526267,0
1,0,0.41774684,0
1,0,0.42305204,0
1,0,0.39886013,0
1,0,0.42461133,0
1,0,0.4004075,0
1,0,0.36305454,0
1,0,0.3173185,0
1,0,0.28575993,0
1,0,0.26014414,0
1,0,0.26125306,0
1,0,0.25572658,0
1,0,0.26374865,0
1,0,0.2614215,0
1,0,0.26566833,0
1,0,0.26438695,0
1,0,0.2371152,0
1,0,0.23743467,0
1,0,0.26511696,0
1,0,0.25030294,0
1,0,0.26120502,0
1,0,0.2826499,0
1,0,0.29975155,0
1,0,0.29975155,0
1,0,0.29325038,0
1,0,0.29021233,0
1,0,0.29535782,0
1,0,0.2928312,0
1,0,0.31477168,0
1,0,0.31477168,0
1,0,0.32033888,0
1,0,0.32132286,0
1,0,0.30726334,0
1,0,0.29619184,0
1,0,0.3088555,0
1,0,0.30888444,0
1,0,0.28621912,0
1,0,0.27360633,0
1,0,0.27706096,0
1,0,0.26743257,0
1,0,0.2784338,0
1,0,0.2780082,0
1,0,0.27208924,0
1,0,0.2699718,0
1,0,0.24980506,0
1,0,0.24950027,0
1,0,0.25329286,0
1,0,0.28912055,0
1,0,0.29842368,0
1,0,0.33200407,0
1,0,0.33364868,0
1,0,0.31508332,0
1,0,0.31459984,0
1,0,0.31459984,0
1,0,0.31459984,0
1,0,0.32354394,0
1,0,0.3123657,0
1,0,0.32658702,0
1,0,0.36776584,0
1,0,0.3912265,0
1,0,0.3686552,0
1,0,0.39193335,0
1,0,0.39193335,0
1,1,0.41399574,0
1,1,0.42656243,0
1,1,0.39699286,0
1,1,0.43087217,0
1,1,0.4095292,0
1,1,0.39166722,0
1,1,0.3789193,0
1,1,0.36785346,0
1,1,0.3717918,0
1,1,0.36982113,0
1,1,0.35568276,0
1,1,0.37285134,0
1,1,0.3736894,0
1,1,0.35846347,0
1,0,0.32055154,0
1,0,0.34712753,0
1,0,0.32446867,0
1,0,0.30800435,0
1,0,0.29423073,0
1,0,0.29402155,0
1,0,0.33371025,0
1,0,0.32284978,0
1,0,0.30333906,0
1,0,0.29106313,0
1,0,0.32095057,0
1,0,0.3401589,0
1,0,0.33710647,0
1,0,0.33410707,0
1,0,0.34372833,0
1,0,0.33618483,0
1,1,0.30054516,0
1,1,0.2670539,0
1,1,0.31370252,0
1,1,0.36330378,0
1,1,0.38909218,0
1,1,0.35348454,0
1,1,0.33476242,0
1,1,0.38717255,0
1,1,0.38717255,0
1,1,0.3913588,0
1,1,0.33425036,0
1,1,0.30469337,0
1,1,0.31045744,0
1,1,0.33903804,0
1,0,0.36814478,0
1,0,0.39022475,0
1,0,0.407472,0
1,0,0.3863243,0
1,0,0.407472,0
1,0,0.3932179,0
1,0,0.39163414,0
1,0,0.41691735,0
1,0,0.385618,0
1,0,0.40780073,0
1,0,0.37132517,0
1,0,0.37132517,0
1,0,0.3566646,0
1,0,0.3481272,0
1,0,0.35113624,0
1,0,0.38612387,0
1,0,0.3340424,0
1,0,0.31190747,0
1,0,0.2999417,0
1,0,0.2999417,0
1,0,0.30640575,0
1,0,0.31603408,0
1,0,0.30640575,0
1,0,0.3717983,0
1,0,0.3745742,0
1,0,0.3399269,0
1,0,0.3003788,0
1,0,0.32675654,0
1,0,0.29410607,0
1,0,0.30100247,0
1,0,0.3045864,0
1,0,0.29858035,0
1,0,0.2799345,0
1,0,0.31586558,0
1,0,0.30050486,0
1,0,0.29443297,0
1,0,0.27856496,0
1,0,0.31421226,0
1,0,0.28655574,0
1,0,0.297632,0
1,0,0.2760236,0
1,0,0.24517618,0
1,0,0.2707461,0
1,0,0.28958276,0
1,0,0.34107628,0
1,0,0.35541728,0
1,0,0.3801673,0
1,0,0.36586455,0
1,0,0.3350921,0
1,0,0.32202566,0
1,0,0.30225408,0
1,0,0.33236173,0
1,0,0.29015654,0
1,0,0.29512993,0
1,0,0.31844044,0
1,0,0.31844044,0
1,0,0.32897842,0
1,0,0.2969198,0
1,0,0.30747122,0
1,0,0.2938443,0
1,0,0.29454443,0
1,0,0.24542803,0
1,0,0.23293068,0
1,0,0.21972239,0
1,0,0.25096002,0
1,0,0.26326168,0
1,0,0.23719914,0
