Fold,Label,Prob,Preds
1,1,0.61433786,1
1,1,0.61724967,1
1,1,0.64303166,1
1,1,0.6248875,1
1,1,0.6224184,1
1,1,0.61713856,1
1,1,0.6306108,1
1,1,0.63279295,1
1,1,0.60488313,1
1,1,0.6119308,1
1,1,0.6006396,1
1,1,0.6016859,1
1,1,0.6228951,1
1,1,0.6175815,1
1,1,0.61428857,1
1,1,0.6173136,1
1,1,0.61563224,1
1,1,0.63254595,1
1,1,0.6196869,1
1,1,0.6290656,1
1,1,0.6345876,1
1,1,0.6290953,1
1,1,0.63547623,1
1,1,0.631309,1
1,1,0.62649316,1
1,1,0.6213626,1
1,1,0.6212848,1
1,1,0.61381626,1
1,1,0.59010077,1
1,1,0.5613911,1
1,1,0.61371773,1
1,1,0.5674322,1
1,1,0.6325048,1
1,1,0.5878141,1
1,1,0.63846225,1
1,0,0.5537062,1
1,0,0.56326246,1
1,0,0.5446186,1
1,0,0.5447697,1
1,0,0.5407059,1
1,0,0.53463674,1
1,0,0.5553362,1
1,0,0.5197311,1
1,0,0.5247998,1
1,0,0.5338131,1
1,0,0.53407544,1
1,0,0.52389807,1
1,0,0.525655,1
1,0,0.5084066,1
1,0,0.5438623,1
1,0,0.51862746,1
1,0,0.5427108,1
1,0,0.5374014,1
1,0,0.53980476,1
1,0,0.5534283,1
1,0,0.5466341,1
1,0,0.5783207,1
1,0,0.62136114,1
1,0,0.61000305,1
1,0,0.6238094,1
1,0,0.60274464,1
1,0,0.62573093,1
1,0,0.6231245,1
1,0,0.62632114,1
1,0,0.58787054,1
1,0,0.6126029,1
1,0,0.5933948,1
1,0,0.6017709,1
1,0,0.586529,1
1,0,0.58571655,1
1,0,0.5904624,1
1,0,0.59126824,1
1,0,0.601763,1
1,0,0.59346503,1
1,0,0.648949,1
1,0,0.5833395,1
1,0,0.6409547,1
1,0,0.592534,1
1,0,0.60305244,1
1,0,0.607313,1
1,0,0.60690814,1
1,0,0.59794533,1
1,0,0.6208681,1
1,0,0.6235851,1
1,0,0.6413663,1
