Fold,Label,Prob,Preds
1,1,0.9441319,1
1,1,0.9635673,1
1,1,0.9397197,1
1,1,0.95920175,1
1,1,0.96683586,1
1,1,0.95584047,1
1,1,0.9603789,1
1,1,0.9369993,1
1,1,0.9212372,1
1,1,0.97631216,1
1,1,0.93204415,1
1,1,0.94324684,1
1,1,0.8875228,1
1,1,0.9461605,1
1,1,0.5024257,1
1,1,0.8067544,1
1,1,0.91390574,1
1,1,0.7840155,1
1,1,0.5402316,1
1,1,0.756638,1
1,1,0.55310154,1
1,1,0.55713314,1
1,1,0.69295716,1
1,1,0.8359796,1
1,1,0.7414517,1
1,1,0.8795455,1
1,1,0.7930374,1
1,1,0.45722252,0
1,1,0.69325066,1
1,1,0.6204877,1
1,1,0.5756614,1
1,1,0.63739395,1
1,1,0.30529052,0
1,1,0.83850116,1
1,1,0.846869,1
1,1,0.8919237,1
1,1,0.8253301,1
1,1,0.9025719,1
1,1,0.9179011,1
1,1,0.94499767,1
1,1,0.8349871,1
1,1,0.8692532,1
1,1,0.8527093,1
1,1,0.9111673,1
1,1,0.9442456,1
1,1,0.9654057,1
1,1,0.94006616,1
1,1,0.9563512,1
1,1,0.96332264,1
1,1,0.9494517,1
1,1,0.9583958,1
1,1,0.96308243,1
1,1,0.9458086,1
1,1,0.9510512,1
1,1,0.95123106,1
1,1,0.9828456,1
1,1,0.9818364,1
1,1,0.76770794,1
1,1,0.8728294,1
1,1,0.8600989,1
1,1,0.84422475,1
1,1,0.8598728,1
1,1,0.79920954,1
1,1,0.8502259,1
1,1,0.9794422,1
1,1,0.98137075,1
1,1,0.99248135,1
1,1,0.98237497,1
1,1,0.9853845,1
1,1,0.9832076,1
1,1,0.981026,1
1,1,0.9510528,1
1,1,0.94184947,1
1,1,0.9378744,1
1,1,0.6949697,1
1,1,0.6542626,1
1,1,0.76296836,1
1,1,0.7681123,1
1,1,0.7199378,1
1,1,0.6586832,1
1,1,0.6262546,1
1,1,0.9180966,1
1,1,0.8041284,1
1,1,0.9680922,1
1,1,0.89857996,1
1,1,0.9401947,1
1,1,0.73021024,1
1,1,0.5957966,1
1,1,0.75784796,1
1,1,0.6962401,1
1,1,0.52142185,1
1,1,0.66662794,1
1,1,0.59110385,1
1,1,0.47517902,0
1,1,0.7339117,1
1,1,0.71532726,1
1,1,0.5162724,1
1,1,0.78921944,1
1,1,0.62650776,1
1,1,0.42996216,0
1,1,0.661061,1
1,1,0.8447464,1
1,1,0.590823,1
1,1,0.8095059,1
1,1,0.87521386,1
1,1,0.7815458,1
