Fold,Label,Prob,Preds
1,1,0.57975996,1
1,1,0.6229881,1
1,1,0.6276425,1
1,1,0.5961224,1
1,1,0.62297726,1
1,1,0.6700438,1
1,1,0.6687034,1
1,1,0.687264,1
1,1,0.6826949,1
1,1,0.7260096,1
1,1,0.62322646,1
1,1,0.64175373,1
1,1,0.5929397,1
1,1,0.65233815,1
1,1,0.8064246,1
1,1,0.8063582,1
1,1,0.80573076,1
1,1,0.80560774,1
1,1,0.8034493,1
1,1,0.8047364,1
1,1,0.80614007,1
1,1,0.80452174,1
1,1,0.8060022,1
1,1,0.8058974,1
1,1,0.8057826,1
1,1,0.80416,1
1,1,0.80991894,1
1,1,0.8022363,1
1,1,0.80645096,1
1,1,0.80644596,1
1,1,0.80563015,1
1,1,0.8062442,1
1,1,0.8061921,1
1,1,0.80447775,1
1,1,0.8062336,1
1,1,0.80638456,1
1,1,0.8069362,1
1,1,0.80525726,1
1,1,0.80580443,1
1,1,0.8061015,1
1,1,0.8056249,1
1,1,0.8051004,1
1,1,0.8050733,1
1,1,0.80610627,1
1,1,0.80424714,1
1,1,0.71878874,1
1,1,0.73173803,1
1,1,0.7448502,1
1,1,0.74433106,1
1,1,0.74032986,1
1,1,0.7186343,1
1,1,0.7265724,1
1,1,0.74623495,1
1,1,0.71331775,1
1,1,0.70816225,1
1,1,0.7252779,1
1,1,0.7215481,1
1,1,0.7823448,1
1,1,0.7814142,1
1,1,0.71210563,1
1,1,0.6759825,1
1,1,0.716064,1
1,1,0.7229938,1
1,1,0.7800928,1
1,1,0.6438387,1
1,1,0.6399127,1
1,1,0.65911746,1
1,1,0.7148004,1
1,1,0.7114955,1
1,1,0.65483063,1
1,1,0.6547955,1
1,1,0.6639901,1
1,1,0.64293975,1
1,1,0.73536825,1
1,1,0.6380403,1
1,1,0.6470819,1
1,1,0.6303567,1
1,1,0.6354576,1
1,1,0.6391604,1
1,1,0.63383406,1
1,1,0.65602905,1
1,1,0.5688153,1
1,1,0.5046463,1
