Fold,Label,Prob,Preds
1,1,0.552662,1
1,1,0.5375605,1
1,1,0.5356379,1
1,1,0.5438162,1
1,1,0.55345005,1
1,1,0.55392224,1
1,1,0.5359263,1
1,1,0.53942966,1
1,1,0.5462166,1
1,1,0.54604787,1
1,1,0.54069555,1
1,1,0.5374699,1
1,1,0.5350015,1
1,1,0.5422013,1
1,1,0.50186056,1
1,1,0.49679866,0
1,1,0.48337066,0
1,1,0.49000967,0
1,1,0.504936,1
1,1,0.48118463,0
1,1,0.48275638,0
1,1,0.48909923,0
1,1,0.47069588,0
1,1,0.48693532,0
1,1,0.48687217,0
1,1,0.48996794,0
1,1,0.48685706,0
1,1,0.5043693,1
1,1,0.49968615,0
1,1,0.60534173,1
1,1,0.5834472,1
1,1,0.5831346,1
1,1,0.5811403,1
1,1,0.59369,1
1,1,0.58153635,1
1,1,0.59618366,1
1,1,0.605409,1
1,1,0.7136902,1
1,1,0.72636634,1
1,1,0.716615,1
1,1,0.71601,1
1,1,0.6914888,1
1,1,0.69539934,1
1,1,0.71817565,1
1,1,0.7253797,1
1,1,0.70425195,1
1,1,0.69843894,1
1,1,0.6743332,1
1,1,0.61319095,1
1,1,0.6637169,1
1,1,0.6957237,1
1,1,0.72279644,1
1,1,0.67581844,1
1,1,0.68993884,1
1,1,0.6958186,1
1,1,0.6866732,1
1,1,0.65236557,1
1,1,0.6955935,1
1,1,0.69055545,1
1,1,0.6632355,1
1,1,0.6728937,1
1,1,0.6675759,1
1,1,0.71705157,1
1,1,0.671163,1
1,1,0.6375887,1
1,1,0.62017626,1
1,1,0.6469308,1
1,1,0.6004142,1
1,1,0.5588336,1
1,1,0.5444627,1
1,1,0.6171495,1
1,1,0.6024253,1
1,1,0.55939543,1
1,1,0.5592974,1
1,1,0.545679,1
1,1,0.5524183,1
1,1,0.51590675,1
1,1,0.59460807,1
1,1,0.5620019,1
1,1,0.5556317,1
1,1,0.52622396,1
1,1,0.55221885,1
1,1,0.60235614,1
1,1,0.597784,1
1,1,0.6299223,1
1,1,0.6642249,1
1,1,0.61228186,1
1,1,0.65231025,1
1,1,0.682789,1
1,1,0.6649123,1
1,1,0.68554336,1
1,0,0.5146613,1
1,0,0.52538073,1
1,0,0.5069322,1
1,0,0.5053114,1
1,0,0.5074337,1
1,0,0.4893668,0
1,0,0.50262296,1
1,0,0.49711862,0
1,0,0.50049347,1
1,1,0.5011036,1
1,1,0.51869935,1
1,1,0.53757113,1
1,1,0.5479124,1
1,1,0.52144516,1
1,1,0.5551886,1
1,1,0.50539327,1
1,1,0.42078066,0
1,1,0.43061867,0
1,1,0.4025073,0
1,1,0.44281211,0
1,1,0.39462587,0
1,1,0.38933954,0
1,1,0.34374502,0
1,1,0.46077773,0
1,1,0.37744242,0
1,1,0.5796094,1
1,1,0.5636878,1
1,1,0.55393815,1
1,1,0.5496404,1
1,1,0.5610721,1
1,1,0.54951656,1
1,1,0.55967915,1
1,1,0.54154325,1
1,1,0.5516941,1
