Fold,Label,Prob,Preds
1,1,0.6383312,1
1,1,0.63062346,1
1,1,0.63563305,1
1,1,0.62967825,1
1,1,0.62621385,1
1,1,0.6247758,1
1,1,0.62196267,1
1,1,0.6255208,1
1,1,0.6238791,1
1,1,0.6623394,1
1,1,0.65824825,1
1,1,0.6712986,1
1,1,0.6483563,1
1,1,0.6454962,1
1,1,0.6538569,1
1,1,0.6625178,1
1,1,0.64537585,1
1,1,0.64984685,1
1,1,0.6584765,1
1,1,0.66722596,1
1,1,0.63947546,1
1,1,0.64886653,1
1,1,0.65647674,1
1,1,0.65180975,1
1,1,0.6650266,1
1,1,0.6558577,1
1,1,0.7215096,1
1,1,0.67336124,1
1,1,0.72259504,1
1,1,0.6023654,1
1,1,0.5871201,1
1,1,0.5996381,1
1,1,0.611425,1
1,1,0.6136915,1
1,1,0.6332527,1
1,1,0.6577136,1
1,1,0.65525496,1
1,1,0.68060577,1
1,1,0.6838646,1
1,1,0.6879736,1
1,1,0.71164554,1
1,1,0.707444,1
1,1,0.7083891,1
1,1,0.7009222,1
1,1,0.72148067,1
1,1,0.62569463,1
1,1,0.6247163,1
1,1,0.6074613,1
1,1,0.60079145,1
1,1,0.5925626,1
1,1,0.5945383,1
1,1,0.5816516,1
1,1,0.5800201,1
1,1,0.58166224,1
1,1,0.58182657,1
1,1,0.5850958,1
1,1,0.5850707,1
1,1,0.58688533,1
1,1,0.5857924,1
1,1,0.58928514,1
1,1,0.5907855,1
1,1,0.69633394,1
1,1,0.6980265,1
1,1,0.68157816,1
1,1,0.6997727,1
1,1,0.710152,1
1,1,0.68884325,1
1,1,0.6889442,1
1,1,0.7132882,1
1,1,0.7114677,1
1,1,0.64375436,1
1,1,0.6630596,1
1,1,0.6803343,1
1,1,0.6706319,1
1,1,0.6465714,1
1,1,0.6494288,1
1,1,0.6159366,1
1,1,0.7186679,1
1,1,0.6677945,1
1,1,0.709313,1
1,1,0.70257837,1
1,1,0.6384824,1
1,1,0.6788123,1
1,1,0.70893836,1
1,1,0.69017625,1
1,1,0.6888681,1
1,1,0.6703874,1
1,1,0.71258914,1
1,1,0.70544326,1
1,1,0.70821255,1
1,1,0.57056534,1
1,1,0.5669448,1
1,1,0.5689017,1
1,1,0.57184577,1
1,1,0.5708856,1
1,1,0.5740889,1
1,1,0.5856181,1
1,1,0.58824855,1
1,1,0.59904754,1
1,1,0.6063845,1
1,1,0.6163958,1
1,1,0.6337788,1
1,1,0.62618995,1
1,1,0.63301456,1
1,1,0.6289405,1
1,1,0.6551516,1
1,1,0.5896329,1
1,1,0.58454674,1
1,1,0.5764807,1
1,1,0.5744036,1
1,1,0.5745669,1
1,1,0.5743786,1
1,1,0.5705662,1
1,1,0.57169425,1
1,1,0.57295716,1
1,1,0.572553,1
1,1,0.5757017,1
1,1,0.5750626,1
1,1,0.5762175,1
1,1,0.5760254,1
1,1,0.57718873,1
1,1,0.5784907,1
1,1,0.61004484,1
1,1,0.61363775,1
1,1,0.6150632,1
1,1,0.6145778,1
