pathogen,checkpoint,model size,mode,Fold,Label,Prob,Preds
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.37980857,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.4601891,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.3960684,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.2774364,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.3192684,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.3793352,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.4563128,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5937603,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.28136432,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.33669922,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.41843817,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.43190688,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.47078013,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.75999516,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.40894124,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.59670764,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.475082,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5983456,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.558227,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.57447404,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5182951,1
