Fold,Label,Prob,Preds
1,1,0.36440343,0
1,1,0.3801836,0
1,1,0.23501681,0
1,1,0.25488606,0
1,1,0.39145207,0
1,1,0.20290814,0
1,1,0.42133942,0
1,1,0.3966215,0
1,1,0.52419156,1
1,1,0.8255806,1
1,1,0.72201395,1
1,1,0.2909957,0
1,1,0.35003245,0
1,1,0.60460156,1
1,1,0.38976207,0
1,1,0.5235816,1
1,1,0.477775,0
1,1,0.42927003,0
1,1,0.4757003,0
1,1,0.25550136,0
1,1,0.1713392,0
1,1,0.02568674,0
1,1,0.10492546,0
1,1,0.04702357,0
1,1,0.032729607,0
1,1,0.24228068,0
1,1,0.4045879,0
1,1,0.06907477,0
1,1,0.06742855,0
1,1,0.20194113,0
1,1,0.40882477,0
1,0,0.46393964,0
1,0,0.26576632,0
1,0,0.5700136,1
1,0,0.32431462,0
1,0,0.6071027,1
1,0,0.357104,0
1,0,0.458994,0
1,0,0.35282192,0
1,0,0.8883279,1
1,0,0.752374,1
1,0,0.93333846,1
1,0,0.81590116,1
1,0,0.87908804,1
1,0,0.54804426,1
1,0,0.62435746,1
1,1,0.6581113,1
1,1,0.5133767,1
1,1,0.680828,1
1,1,0.78626543,1
1,1,0.724027,1
1,1,0.6338607,1
1,1,0.65843946,1
1,1,0.5714788,1
1,1,0.6903321,1
1,1,0.7665203,1
1,1,0.8205302,1
1,1,0.58199453,1
1,1,0.46953708,0
1,1,0.55087316,1
1,1,0.65815306,1
1,0,0.3501557,0
1,0,0.16307358,0
1,0,0.13484369,0
1,0,0.20760949,0
1,0,0.11574695,0
1,0,0.14231756,0
1,0,0.4367815,0
1,0,0.63079494,1
1,0,0.7471636,1
1,0,0.41772106,0
1,0,0.368074,0
1,0,0.16833791,0
1,0,0.16566889,0
1,0,0.57281744,1
1,0,0.29015028,0
1,1,0.7283471,1
1,1,0.46133035,0
1,1,0.19256729,0
1,1,0.21647407,0
1,1,0.5762989,1
1,1,0.19085495,0
1,1,0.69369495,1
1,1,0.27800933,0
1,1,0.6930037,1
1,1,0.3160105,0
1,1,0.60952777,1
1,1,0.6498633,1
1,1,0.5338979,1
1,1,0.15989429,0
1,1,0.70723677,1
1,0,0.22749113,0
1,0,0.8432924,1
1,0,0.9616929,1
1,0,0.4290001,0
1,0,0.48726818,0
1,0,0.8251989,1
1,0,0.7869417,1
1,0,0.83309853,1
1,0,0.48413154,0
1,0,0.75755596,1
1,0,0.92590535,1
1,0,0.4335961,0
1,0,0.4160092,0
1,0,0.8075769,1
1,0,0.73162305,1
1,0,0.45140785,0
1,0,0.19822763,0
1,0,0.36806607,0
1,0,0.7180117,1
1,0,0.22791344,0
1,0,0.4308496,0
1,0,0.24075921,0
1,0,0.18332158,0
1,0,0.099869564,0
1,0,0.1723181,0
1,0,0.6095496,1
1,0,0.05892572,0
1,0,0.09761426,0
1,0,0.08700977,0
1,0,0.054058246,0
1,1,0.9191916,1
1,1,0.6196115,1
1,1,0.517227,1
1,1,0.960451,1
1,1,0.9509316,1
1,1,0.9707737,1
1,1,0.8718726,1
1,1,0.9987388,1
1,1,0.97706294,1
1,1,0.9536883,1
1,1,0.9566229,1
1,1,0.7001292,1
1,1,0.9877764,1
1,1,0.9946983,1
1,1,0.9908811,1
1,1,0.9129157,1
1,1,0.943677,1
1,1,0.9956399,1
1,0,0.23157893,0
1,0,0.16858481,0
1,0,0.074473105,0
1,0,0.029853089,0
1,0,0.046749495,0
1,0,0.023570338,0
1,0,0.028695378,0
1,0,0.09560224,0
1,0,0.21523044,0
1,0,0.09217499,0
1,0,0.03645087,0
1,0,0.27888238,0
1,0,0.40706208,0
1,0,0.5817086,1
1,0,0.45340922,0
1,0,0.5602879,1
1,0,0.2809466,0
1,0,0.37998953,0
1,0,0.71549565,1
1,0,0.61867034,1
1,0,0.637247,1
1,0,0.86580926,1
1,0,0.7410935,1
1,0,0.61879337,1
1,0,0.5790549,1
1,0,0.23868847,0
1,0,0.5367897,1
1,0,0.69222724,1
1,0,0.5250863,1
1,0,0.5351048,1
1,0,0.7370626,1
1,0,0.6381024,1
1,0,0.47318202,0
1,1,0.07133324,0
1,1,0.116339736,0
1,1,0.48774767,0
1,1,0.30283287,0
1,1,0.25105008,0
1,1,0.029763103,0
1,1,0.08193782,0
1,1,0.07379355,0
1,1,0.18530974,0
1,1,0.02231425,0
1,1,0.25507575,0
1,1,0.46224076,0
1,1,0.18164541,0
1,1,0.13568538,0
1,1,0.2869168,0
1,0,0.19586188,0
1,0,0.23416567,0
1,0,0.1298985,0
1,0,0.71566063,1
1,0,0.49151745,0
1,0,0.12080612,0
1,0,0.10101005,0
1,0,0.02501446,0
1,0,0.014257319,0
1,0,0.04991084,0
1,0,0.111479566,0
1,0,0.05689864,0
1,0,0.18363905,0
1,0,0.12358413,0
1,0,0.021802098,0
1,1,0.1761263,0
1,1,0.06420554,0
1,1,0.4564355,0
1,1,0.49885827,0
1,1,0.13015045,0
1,1,0.2032628,0
1,1,0.38300192,0
1,1,0.71949697,1
1,1,0.12458345,0
1,1,0.12084375,0
1,1,0.439972,0
1,1,0.3993574,0
1,1,0.13444486,0
1,1,0.29104447,0
1,1,0.24104181,0
1,0,0.010897387,0
1,0,0.05151521,0
1,0,0.00851321,0
1,0,0.0045587504,0
1,0,0.037676986,0
1,0,0.030968403,0
1,0,0.017754812,0
1,0,0.036589373,0
1,0,0.26745114,0
1,0,0.19612554,0
1,0,0.10505913,0
1,0,0.034372583,0
1,0,0.11154346,0
1,0,0.09254164,0
1,0,0.10513903,0
1,0,0.26237702,0
1,0,0.68084925,1
1,0,0.28457853,0
1,0,0.17421912,0
1,0,0.27988672,0
1,0,0.18825,0
1,0,0.092755444,0
1,0,0.6302779,1
1,0,0.06323045,0
1,0,0.05139468,0
1,0,0.050452046,0
1,0,0.3345089,0
1,0,0.40197435,0
1,0,0.024479568,0
1,0,0.86362684,1
1,0,0.01758287,0
1,0,0.63814425,1
1,0,0.8700971,1
1,0,0.7304318,1
1,0,0.7348982,1
1,0,0.8808334,1
1,0,0.59269357,1
1,0,0.8163148,1
1,0,0.73190546,1
1,0,0.6522971,1
1,0,0.65236914,1
1,0,0.5904533,1
1,0,0.7880501,1
1,0,0.9397555,1
1,0,0.9287448,1
1,0,0.7648082,1
1,0,0.49759972,0
1,0,0.4599085,0
1,0,0.3027447,0
1,0,0.41752198,0
1,0,0.90518683,1
1,0,0.78484523,1
1,0,0.8907905,1
1,0,0.9120118,1
1,0,0.7205648,1
1,0,0.8271735,1
1,0,0.5509462,1
1,0,0.7950359,1
1,0,0.86158526,1
1,0,0.650338,1
1,0,0.25079414,0
1,0,0.14791675,0
1,0,0.27574843,0
1,0,0.5469503,1
1,0,0.40275908,0
1,0,0.56893224,1
1,0,0.1678441,0
1,0,0.14938898,0
1,0,0.15246329,0
1,0,0.76485443,1
1,0,0.5650336,1
1,0,0.5015169,1
1,0,0.39946985,0
1,0,0.4664631,0
1,0,0.26415363,0
1,0,0.3684761,0
1,0,0.91232264,1
1,0,0.85957855,1
1,0,0.73717517,1
1,0,0.6460859,1
1,0,0.45822623,0
1,0,0.95941705,1
1,0,0.4414232,0
1,0,0.15790409,0
1,0,0.27215785,0
1,0,0.45941833,0
1,0,0.49776566,0
1,0,0.7229746,1
1,0,0.12784705,0
1,0,0.8822623,1
1,0,0.62592757,1
1,0,0.59133184,1
1,0,0.66632086,1
1,0,0.88825095,1
1,0,0.7339944,1
1,0,0.28016624,0
1,0,0.69400716,1
1,0,0.59575784,1
1,0,0.48911378,0
1,1,0.700696,1
1,1,0.57681197,1
1,1,0.27190378,0
1,1,0.36746222,0
1,1,0.4796809,0
1,1,0.3960318,0
1,1,0.74741733,1
1,1,0.36913496,0
1,1,0.28656834,0
1,1,0.27177688,0
1,1,0.39024138,0
1,1,0.31735802,0
1,1,0.27003503,0
1,1,0.20402174,0
1,1,0.23750499,0
1,0,0.3156359,0
1,0,0.28151223,0
1,0,0.59176505,1
1,0,0.37773183,0
1,0,0.4442245,0
1,0,0.5289493,1
1,0,0.34505022,0
1,0,0.61655456,1
1,0,0.2234914,0
1,0,0.45134336,0
1,0,0.6978898,1
1,0,0.3751638,0
1,0,0.4699157,0
1,0,0.48532006,0
1,0,0.7341794,1
1,0,0.20318702,0
1,0,0.8085965,1
1,0,0.29296756,0
1,0,0.6110753,1
1,0,0.80080324,1
1,0,0.81011367,1
1,0,0.8646556,1
1,0,0.6354346,1
1,0,0.22498776,0
1,0,0.41195643,0
1,0,0.23951645,0
1,0,0.11887582,0
1,0,0.12630938,0
1,0,0.19746535,0
1,0,0.30680633,0
1,1,0.1265193,0
1,1,0.039158747,0
1,1,0.038140368,0
1,1,0.1834085,0
1,1,0.12888809,0
1,1,0.64171934,1
1,1,0.8919795,1
1,1,0.048628185,0
1,1,0.26320687,0
1,1,0.35686514,0
1,1,0.5542978,1
1,1,0.13231248,0
1,1,0.54805017,1
1,1,0.22112496,0
1,1,0.041400794,0
1,0,0.30032,0
1,0,0.29851925,0
1,0,0.23145324,0
1,0,0.06411971,0
1,0,0.14926033,0
1,0,0.1359814,0
1,0,0.111681774,0
1,0,0.17551401,0
1,0,0.26526046,0
1,0,0.023626018,0
1,0,0.08662969,0
1,0,0.080313936,0
1,0,0.115655266,0
1,0,0.38808358,0
1,0,0.090655014,0
1,0,0.1653032,0
1,0,0.07729265,0
1,0,0.109985776,0
1,0,0.16366968,0
1,0,0.26251525,0
1,0,0.2173882,0
1,0,0.66528684,1
1,0,0.6406952,1
1,0,0.7960212,1
1,0,0.5820677,1
1,0,0.90254897,1
1,0,0.95277363,1
1,0,0.9854694,1
1,0,0.92533684,1
1,0,0.8084862,1
1,1,0.6410671,1
1,1,0.96693313,1
1,1,0.9527334,1
1,1,0.9570813,1
1,1,0.93517673,1
1,1,0.83610165,1
1,1,0.97947156,1
1,1,0.8850539,1
1,1,0.8818114,1
1,1,0.8550982,1
1,1,0.81145346,1
1,1,0.3133234,0
1,1,0.46166307,0
1,1,0.47021577,0
1,1,0.21173714,0
1,1,0.25521103,0
1,1,0.62237185,1
1,1,0.925179,1
1,0,0.74792284,1
1,0,0.68293697,1
1,0,0.32073125,0
1,0,0.70158863,1
1,0,0.5406471,1
1,0,0.80281794,1
1,0,0.48957548,0
1,0,0.50053585,1
1,0,0.48016536,0
1,0,0.33801702,0
1,0,0.3176898,0
1,0,0.6168271,1
1,0,0.43997365,0
1,0,0.4184838,0
1,0,0.37377077,0
1,0,0.46301827,0
1,0,0.5833985,1
1,0,0.32608047,0
1,0,0.54738015,1
1,0,0.43055215,0
1,0,0.24784932,0
1,0,0.3041396,0
1,0,0.39912513,0
1,0,0.7170341,1
1,0,0.3054841,0
1,0,0.49459052,0
1,0,0.7325384,1
1,0,0.67226833,1
1,0,0.45713428,0
1,0,0.35389373,0
1,0,0.57373244,1
1,0,0.25610402,0
1,0,0.51319784,1
1,0,0.44534278,0
1,0,0.5530463,1
1,0,0.35791114,0
1,0,0.51585984,1
1,0,0.45295617,0
1,0,0.7177641,1
1,0,0.58617514,1
1,0,0.4355548,0
1,0,0.48980582,0
1,0,0.38352022,0
1,0,0.56191164,1
1,0,0.47062567,0
1,0,0.5766398,1
1,0,0.35205337,0
1,0,0.5102921,1
1,0,0.58369756,1
1,0,0.6616307,1
1,0,0.50366586,1
1,0,0.5501739,1
1,0,0.648439,1
1,0,0.4343796,0
