Fold,Label,Prob,Preds
1,1,0.8875841,1
1,1,0.9370082,1
1,1,0.9514194,1
1,1,0.9444705,1
1,1,0.95158863,1
1,1,0.9179693,1
1,1,0.96288943,1
1,1,0.9600307,1
1,1,0.97323155,1
1,1,0.9470459,1
1,1,0.9854174,1
1,1,0.9678541,1
1,1,0.96767163,1
1,1,0.9177834,1
1,1,0.94847834,1
1,1,0.94580686,1
1,1,0.9777714,1
1,1,0.96745247,1
1,1,0.980445,1
1,1,0.9786527,1
1,1,0.966835,1
1,1,0.8535834,1
1,1,0.97483283,1
1,1,0.9244658,1
1,1,0.9823115,1
1,1,0.9768599,1
1,1,0.99684155,1
1,1,0.9894673,1
1,1,0.9804761,1
1,1,0.9409332,1
1,1,0.9653765,1
1,1,0.9021191,1
1,1,0.9468852,1
1,1,0.97727513,1
1,1,0.89750963,1
1,1,0.9708279,1
1,1,0.95547426,1
1,1,0.9539772,1
1,1,0.93519765,1
1,1,0.8759567,1
1,1,0.96997076,1
1,1,0.95776063,1
1,1,0.9532446,1
1,1,0.9394314,1
1,1,0.9020484,1
1,1,0.9855574,1
1,1,0.9877108,1
1,1,0.9898425,1
1,1,0.9874222,1
1,1,0.9859687,1
1,1,0.973252,1
1,1,0.9623963,1
1,1,0.99359703,1
1,1,0.99455124,1
1,1,0.99008185,1
1,1,0.9971928,1
1,1,0.9607147,1
1,1,0.8678877,1
1,1,0.95314866,1
1,1,0.8933908,1
1,1,0.9490979,1
1,1,0.8394447,1
1,1,0.99192506,1
1,1,0.8519395,1
1,1,0.98420376,1
1,1,0.80854106,1
1,1,0.9352612,1
1,1,0.92383254,1
1,1,0.8593304,1
1,1,0.886118,1
1,1,0.8359159,1
1,1,0.9241015,1
1,1,0.9202779,1
1,1,0.97098786,1
1,1,0.8948706,1
1,1,0.9292733,1
1,1,0.96521753,1
1,1,0.9304383,1
1,1,0.8895581,1
1,1,0.92756414,1
1,1,0.9730602,1
1,1,0.4533184,0
1,1,0.41986382,0
1,1,0.3812823,0
1,1,0.47522435,0
1,1,0.7610136,1
1,1,0.60629326,1
1,1,0.72677016,1
1,1,0.67299414,1
1,1,0.6376242,1
1,1,0.65782976,1
1,1,0.590912,1
1,1,0.7100127,1
1,1,0.7569144,1
1,1,0.7432504,1
1,1,0.6300107,1
1,1,0.6590943,1
1,1,0.5788455,1
1,1,0.61483586,1
1,1,0.5979384,1
1,1,0.58283067,1
1,1,0.58278686,1
1,1,0.4760855,0
1,1,0.5892047,1
1,1,0.5787896,1
1,1,0.5333049,1
1,1,0.47349605,0
1,1,0.81269383,1
1,1,0.5902946,1
1,1,0.66903406,1
1,1,0.5003813,1
1,1,0.64767176,1
1,1,0.5666557,1
1,1,0.6488955,1
1,1,0.63169926,1
1,1,0.5016657,1
1,1,0.70242906,1
1,1,0.61239254,1
1,1,0.56871486,1
1,1,0.4881562,0
1,1,0.5037924,1
1,1,0.6687331,1
1,1,0.31084758,0
1,0,0.6426117,1
1,0,0.5422229,1
1,0,0.6500129,1
1,0,0.6041141,1
1,0,0.72924095,1
1,0,0.5434863,1
1,0,0.6603072,1
1,0,0.57131565,1
1,0,0.59068966,1
1,0,0.78599524,1
1,0,0.7017485,1
1,0,0.55177146,1
1,0,0.5731532,1
1,0,0.64590883,1
1,0,0.6894281,1
1,0,0.5576223,1
1,0,0.3826302,0
1,0,0.51035005,1
1,0,0.32275695,0
1,0,0.45726067,0
1,0,0.39012298,0
1,0,0.4862108,0
1,0,0.56136644,1
1,0,0.51424134,1
1,0,0.31706044,0
1,0,0.604033,1
1,0,0.51744723,1
1,0,0.52296096,1
1,1,0.685957,1
1,1,0.43183738,0
1,1,0.42768082,0
1,1,0.35290217,0
1,1,0.4128014,0
1,1,0.33733425,0
1,1,0.58406943,1
1,1,0.4676011,0
1,1,0.39711455,0
1,1,0.3866868,0
1,1,0.3771412,0
1,1,0.31621137,0
1,1,0.33243704,0
1,1,0.33232352,0
1,1,0.35748833,0
1,1,0.41118687,0
1,0,0.31824863,0
1,0,0.4584383,0
1,0,0.32217112,0
1,0,0.34142745,0
1,0,0.36444274,0
1,0,0.46831217,0
1,0,0.47394627,0
1,0,0.3749707,0
1,0,0.3398894,0
1,0,0.47190228,0
1,0,0.3375374,0
1,0,0.45371604,0
1,0,0.56733406,1
1,0,0.58067304,1
1,1,0.70240855,1
1,1,0.6558967,1
1,1,0.59736234,1
1,1,0.7318702,1
1,1,0.4489996,0
1,1,0.66002685,1
1,1,0.6414578,1
1,1,0.527944,1
1,1,0.43849763,0
1,1,0.5198646,1
1,1,0.63966864,1
1,1,0.5770759,1
1,1,0.5608806,1
1,1,0.67326593,1
1,1,0.94633174,1
