Fold,Label,Prob,Preds
1,0,0.5246569,1
1,0,0.14701353,0
1,0,0.11308533,0
1,0,0.38374698,0
1,0,0.47060108,0
1,0,0.24833742,0
1,0,0.38743168,0
1,0,0.63533264,1
1,0,0.52890086,1
1,0,0.40345332,0
1,0,0.48709467,0
1,0,0.47247037,0
1,1,0.40870923,0
1,1,0.4936628,0
1,1,0.3237653,0
1,1,0.17202497,0
1,1,0.17595929,0
1,1,0.33843812,0
1,1,0.08815934,0
1,1,0.048338745,0
1,1,0.8765775,1
1,1,0.50858057,1
1,1,0.84267795,1
1,1,0.64736253,1
1,1,0.85912275,1
1,1,0.7739359,1
1,1,0.75217855,1
1,1,0.87246555,1
1,1,0.7864502,1
1,1,0.8487447,1
1,1,0.8230853,1
1,1,0.75568557,1
1,1,0.7347337,1
1,0,0.7047641,1
1,0,0.7594591,1
1,0,0.78096765,1
1,0,0.75727534,1
1,0,0.70735013,1
1,0,0.72372705,1
1,0,0.83009124,1
1,0,0.69845515,1
1,0,0.78485155,1
1,0,0.8587258,1
1,0,0.83008635,1
1,1,0.79695743,1
1,1,0.84032935,1
1,1,0.7504288,1
1,1,0.78113085,1
1,1,0.76341283,1
1,0,0.78789234,1
1,0,0.7821398,1
1,0,0.81354225,1
1,0,0.80072176,1
1,0,0.81800765,1
1,0,0.80809665,1
1,0,0.7900926,1
1,0,0.79733557,1
1,0,0.87416184,1
1,0,0.75209427,1
1,0,0.835593,1
1,0,0.81020653,1
1,0,0.8491398,1
1,0,0.8036958,1
1,0,0.6829634,1
1,0,0.6793157,1
1,0,0.6845814,1
1,0,0.66041785,1
1,0,0.7811704,1
1,0,0.6909679,1
1,0,0.7140838,1
1,0,0.78993565,1
1,0,0.6625862,1
1,1,0.6556155,1
1,1,0.7324726,1
1,1,0.6655649,1
1,1,0.75861996,1
1,1,0.78412664,1
1,1,0.8402668,1
1,1,0.8257341,1
1,1,0.8060734,1
1,1,0.7989954,1
1,0,0.67650676,1
1,0,0.8219384,1
