Fold,Label,Prob,Preds
1,1,0.47627327,0
1,1,0.4404759,0
1,1,0.4820856,0
1,1,0.48139903,0
1,1,0.53010255,1
1,1,0.5883582,1
1,1,0.5978149,1
1,1,0.59117633,1
1,1,0.6092092,1
1,1,0.59057707,1
1,1,0.5811331,1
1,1,0.5811331,1
1,1,0.54888743,1
1,1,0.5006179,1
1,1,0.48142594,0
1,1,0.5176365,1
1,1,0.49154305,0
1,1,0.49910563,0
1,1,0.4575956,0
1,1,0.45364872,0
1,1,0.4613379,0
1,1,0.33554485,0
1,1,0.31441066,0
1,1,0.33692575,0
1,1,0.32125878,0
1,1,0.32771206,0
1,1,0.32160282,0
1,1,0.3305493,0
1,1,0.27105525,0
1,1,0.3562249,0
1,1,0.41028708,0
1,1,0.38545153,0
1,1,0.40172008,0
1,1,0.44403118,0
1,1,0.54528487,1
1,1,0.49538302,0
1,1,0.53451794,1
1,1,0.58727294,1
1,1,0.58727294,1
1,1,0.58727294,1
1,1,0.67792004,1
1,1,0.63125354,1
1,1,0.5829949,1
1,1,0.56828946,1
1,1,0.504853,1
1,1,0.47627327,0
1,1,0.4404759,0
1,1,0.4820856,0
1,1,0.48139903,0
1,1,0.53010255,1
1,1,0.5883582,1
1,1,0.5978149,1
1,1,0.59117633,1
1,1,0.6092092,1
1,1,0.59057707,1
1,1,0.5811331,1
1,1,0.5811331,1
1,1,0.54888743,1
1,1,0.5006179,1
1,1,0.4311489,0
1,1,0.41859207,0
1,1,0.4113613,0
1,1,0.39613482,0
1,1,0.38651106,0
1,1,0.38651106,0
1,1,0.38825315,0
1,1,0.34262356,0
1,1,0.39139047,0
1,1,0.41486156,0
1,1,0.5855898,1
1,1,0.58631486,1
1,1,0.538481,1
1,1,0.3775044,0
1,1,0.4101628,0
1,1,0.3012198,0
1,1,0.33449093,0
1,1,0.30212238,0
1,1,0.54050773,1
1,1,0.47125047,0
1,1,0.4753547,0
1,1,0.47053313,0
1,1,0.46084842,0
1,1,0.46547285,0
1,1,0.47076163,0
1,1,0.4699716,0
1,1,0.4512436,0
1,1,0.44310978,0
1,1,0.48069817,0
1,1,0.48069817,0
1,1,0.47581175,0
